Gene	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK
SLC41A2	1.09	0.28	27	60.395	14	407.395	16.38	11.42	0.265	0.065	0.025
SLC43A3	0.73	0.89	188.5	252.87	129.5	2363.37	37.815	10.64	8.44	0.385	0.24
SLCO4A1	0.07	0.05	25.5	31.07	6	312.57	6.91	0.86	0.02	0	0.03
SLFN12L	0.04	25.2	1697	2410.155	1973	1669.155	0.025	0.05	0.155	0.06	5.24
SMIM30	1.02	3.94	171	387.535	211	989.035	14.57	23.86	2.645	0.005	0.785
SNHG16	14.53	24.26	4152	518.215	4234.5	2026.715	12.005	14.22	7	5.18	1.54
SNRPD2	39.26	100.31	4950	2257.54	5927	3470.54	39.545	75.33	21.01	0.705	18.13
SNX10	3.42	1.14	482.5	465.54	692	2013.04	134.49	140.82	15.065	26.49	1.16
SNX2	75.39	12.73	2733	974.48	3069.5	1387.48	24.105	100.67	22.23	6.64	1.845
SNX22	8.31	0.06	36.5	9.56	18.5	8.56	0.215	0.06	0.105	0.1	0.115
SOCS3	1.84	27.75	2185.5	57.375	1168	294.875	11.685	0.17	31.855	28.485	0.38
STMN3	2.92	15.95	481	365.315	816	201.815	0.035	0.07	0.21	0.23	0.16
STRBP	16.28	6.4	268	1407.535	223	1622.535	1.585	3.03	0.29	0.12	0.275
STX3	1.19	1.55	146.5	197.86	239.5	466.36	6.46	18.7	4.73	47.39	0.35
SULF2	0.1	0.02	25.5	8.505	30	11.505	0.39	1.93	31.59	28.24	0.005
SWAP70	18.69	0.47	168.5	161.81	209.5	254.81	5.885	5.21	2.39	0.215	0.305
SYNE2	5.17	24.88	21010.5	10507.535	25373	7914.035	0.035	0.27	0.295	16.875	13.155
TALDO1	2.53	9.04	296.5	979.805	399	2182.305	101.05	168.14	49.16	108.855	2.845
TC2N	2.44	60.84	2570	2994.715	2277	1022.715	0.06	0.09	0.265	0.01	3.7
TCF7	0.19	75.09	12728	3300.2	4840.5	596.7	0.02	0.54	0.21	0.075	0.945
TESPA1	0.97	34.13	376.5	1191.71	837.5	3965.21	0.02	0.01	0.115	0.04	1.425
TFEB	6.84	0.64	319.5	285.395	237.5	411.895	9.38	1.91	6.31	12.595	1.97
TGFBI	0.17	0.12	110.5	28.37	30.5	3.37	21.935	7.11	66.705	0.01	0.03
THEM4	0.32	15.14	177	372.585	422	786.585	2.05	5.4	0.27	0.01	0.5
TIAM1	0.01	16.41	31.5	109.08	106	1239.58	7.03	22.38	7.72	0	0.18
TMEM117	1.19	0.8	53	132.795	80	86.295	3.09	22.72	0.07	0	0.21
TMEM156	7.7	3.47	241	200.41	278.5	252.91	1.09	0.19	0.145	0.1	1.06
TMEM91	0.26	2.25	60.5	26.155	29.5	35.655	14.25	251.83	3.615	12.13	0.905
TNFRSF12A	0.1	0.03	38	29.105	15	34.105	11.145	14.52	0.315	2.14	0.04
TNIP3	0	0.22	299.5	1283.785	146.5	352.785	7.15	0.01	0.105	0	0.035
TRABD2A	2.4	69.71	351.5	160.71	731.5	396.21	0.415	1.11	0.145	0.035	0.03
TRAC	0.16	147.72	4082	10558.835	4546.5	6667.335	0.18	0.01	0.68	0	1.48
TRAT1	0	53.62	4188.5	3301.845	1614.5	2681.845	0	0	0.145	0	0.16
TRAV23DV6	0	8.53	35	90.625	41	40.125	0	0	0	0	0
TRBC2	11.45	233.57	1311	3311.16	1491.5	1812.66	0	0	0.89	0.015	14.87
TRBV28	0.01	66.97	468	172.405	325	718.405	0	0	0.265	0	8.085
TSC22D3	672.67	154.18	63939	1407.34	60063	949.84	2.145	1.8	12.61	74.515	23.695
TSEN54	1.36	9.92	2345.5	538.685	2054	554.685	1.5	1.07	0.76	0.02	7.92
TSPAN18	0.05	4.08	45.5	14.1	85.5	46.1	0.005	0	0.03	0.005	0
TTC39C	3.74	26.51	3420.5	3677.52	3517.5	2021.52	2.495	4.67	2.585	0.15	2.31
TUBG1	0.21	0.71	77	95.66	63	430.66	5.495	7.38	0.485	0.04	0.275
TXN	1.09	6.09	1211.5	519.105	1839	4824.105	143.73	145.02	9.875	18.585	2.38
TYMP	0.74	0.28	47	110.02	63.5	745.02	55.49	10.7	45.11	43.91	0.485
VAMP8	6.99	16.3	983.5	1011.4	1371.5	1301.4	53.875	146.61	24.355	0.28	9.54
VAT1	2.02	3	105.5	707.615	252.5	353.115	51.53	116.83	1.755	0.295	0.76
VAV2	4.57	0.16	41	106.7	27	210.7	0.495	2.13	1.345	0	0.04
VIM	18.76	101.09	5847.5	1223.75	8611.5	1881.75	1007.145	821.75	360.29	62.935	8.745
VIPR1	0.21	8.39	21	21.67	26	35.17	0.025	11.6	2.74	0.08	0.01
VMP1	5.93	10.86	1406	1322.6	1384	2885.6	37.685	62.49	41.925	161.125	2.715
VNN2	2.02	5.83	208.5	741.395	196	96.395	3.295	1.19	29.67	181.93	1.425
YPEL4	0.01	0.19	71.5	142.01	30.5	1.51	1.745	13.48	0.065	0	0.025
ZAP70	0.43	46.46	2863.5	1913.89	2367	2266.89	0.015	0.07	0.23	0.01	29.04
ZNF219	0.54	0.63	100.5	92.485	140	79.485	2.285	10.99	0.355	0.15	0.15
ADAM28	43.03	0.06	7	33.075	0.035	0.035	2.67	0.41	1.765	1.625	0.335
ADAM9	0.66	0.32	269.5	65.785	212	201.785	35.78	56.71	6.16	2.265	0.15
ADGRE1	0.06	1.21	14.5	9.585	24	33.585	4.44	0.02	4.71	1.03	0.02
AK5	0	14.5	3.345	1.845	24.5	4.345	0.785	0.23	0.05	0	0.48
ANXA2	4.9	5.5	2404	1585.88	3320	3259.38	564.1	853.55	85.995	0.04	9.915
APOO	0.28	2.19	20.5	29.45	32.5	130.95	15.59	6.62	0.335	0.255	0.54
ARL4C	3.58	38.05	50408.5	3616.565	46020.5	2349.065	0.195	3.25	3.7	0.01	30.565
ATP5MC3	9.44	18.42	2313	1092.755	2936.5	2577.755	86.275	161.22	12.25	0.535	6.095
BEX3	0.02	8.36	43.5	9.505	33.5	63.005	7.375	1.8	0.24	0	0.065
BOLA3	0.39	4.76	72	105.02	126	401.02	14.105	17.08	0.5	0.015	1.115
BTK	16.12	0.08	4.01	0.015	0.015	2.01	9.7	16.55	12.455	4.04	0.025
BTLA	11.39	3.7	14.5	246.47	58	193.47	0	0.01	0.015	0.23	0.005
C20orf27	1.25	2.47	90	160.215	138.5	476.715	5.095	6.29	5.565	0.075	0.64
C5AR1	0.15	0.09	9.01	6.51	4	2.01	33.83	10.56	15.44	59.79	0.015
CAPG	6.93	2.57	17.955	23.955	38	160.955	754.635	682.5	55.845	2.785	0.035
CAPN2	4.01	22.07	5284	2090.395	6450	1925.395	6.67	9.97	20.3	0.035	7.965
CD27	0.06	17.15	334.5	2523.2	217	162.2	0	0	0.095	0	0.07
CD5	0.48	23.8	14161.5	3424.99	10625	1564.49	0	0.02	0.115	0.015	0.03
CD80	0.69	0.02	28	6.65	16	183.65	3.99	0.01	0.235	0	0
CD84	1.53	3.79	3459.5	8452.91	3534	2289.91	29.97	7.94	3.225	0.495	0.25
CEBPA	0.11	0.03	69.5	30.695	34.5	14.695	15.275	44.12	5.155	1.255	0.405
CEBPB	0.53	1.33	697.5	145.345	621.5	262.345	28.275	23.9	10.88	40.63	1.01
CFP	0.06	4.96	16	0.325	8	2.19	0.395	0.06	81.025	35.04	0.005
COL6A2	0.05	2.78	3798.5	206.755	2818	332.255	8.365	0.65	0.025	0	2.525
COMT	2	4.07	96.5	308.095	117	381.595	33.575	31.14	14.445	0.085	2.77
COPRS	0.71	1.01	14	50.64	38.5	281.64	18.1	31.56	1.345	0.115	0.335
COX6C	22.29	64.53	4537	1618.765	6937	2764.765	65.005	153	17.885	0.23	11.415
CPNE5	1.9	0.08	5	26.035	2	15.535	0.01	0	0.03	0.02	0.01
CTTN	0.02	0.17	1.09	11.09	0.105	267.59	13.95	36.34	0.165	0	0.005
DHRS11	0.52	0.75	5.5	11.36	8.5	32.86	4.49	34.98	0.17	0.065	0.105
DOCK4	0.05	0.13	1.055	13.555	2.5	28.055	12.865	0.87	1.095	8.45	0.01
DOK2	0.72	5.71	3539.5	651.395	3951.5	731.895	2.205	22.42	16.96	0.135	13.02
DPP4	0.02	17.54	152	247.855	342	2167.355	0.37	0	0.075	0	0.015
EAF2	5.76	1.71	57	26.61	47.5	81.61	2.025	1.79	4.98	1.285	0.265
EMILIN1	0.02	0.04	1.015	15.515	8	37.015	9.25	0.9	0.115	0	0.02
EPHX2	0.15	17.82	25	54.675	50	37.175	0.01	0.01	0.055	0	0.06
ESYT1	7.62	32.37	1178.5	3482.105	1494	3989.105	16.29	32.66	6.055	0.85	10.83
FABP3	0	0	0.5	11.5	1.5	6	28.265	130.71	0	0	0.005
FAM13A	0.26	12.75	230	57.85	253	26.85	1.375	26.79	3.33	0.78	0.185
FAM89A	0.12	0.79	23.5	64.425	22	124.925	2.83	23.74	0.465	0	0.135
FCGRT	5.37	6.67	184	190.42	210	84.92	30.35	200.62	51.375	56.215	0.275
FGFBP2	0.03	0.17	511	1044.835	1204.5	49.335	0	0	0.135	0.02	50.795
FGR	6.71	0.08	233	265.88	78.5	46.38	47.835	66.1	72.385	86.405	20.855
FHL1	0.37	2.61	91	67.805	189.5	213.805	2.89	58.41	0.11	0	0.065
GGCT	0.54	3.25	58	104.13	100.5	394.63	15.995	23.98	1.835	0.1	0.94
GIMAP5	0.01	60.94	102.5	466.79	104	253.29	1.135	0.4	1.61	0.025	7.715
GPR171	0.21	8.97	374.5	3110.31	418.5	9108.31	0	0	0.04	0.055	0.59
GPR183	11.62	51.56	10922.5	2523.31	7190.5	831.31	2.54	2.8	29.5	0.02	0.125
GRASP	90.63	5.61	680	24.475	898	120.475	0.21	0.01	3.5	0.02	0.405
GZMB	0.04	0.05	233.53	790.03	1598	7178.03	0.12	0	0.18	0	115.34
HHEX	18.29	0.06	20.5	2.28	11.5	0.33	2.36	5.29	5.145	5.43	0.29
HILPDA	1.35	0.27	1	22.63	10	110.13	1.6	18.27	0.16	0.075	0.09
HLA-DRA	549.25	1.32	160.43	12.27	12.27	12.27	66.32	255.15	339.775	1.665	0.525
ICAM2	5.38	20	178	455.58	217	497.08	1.12	3.88	6.08	0.375	8.705
IFT57	67.36	9.51	976	292.01	1286	1639.01	1.18	1.85	1.215	0.815	0.92
IL1B	0.06	0.01	5.01	1.01	0	0.01	92.09	0.15	740.04	20.045	0.04
IMPA2	0.51	0.86	9.5	40.87	24	95.87	1.22	5.92	8.37	15.93	0.165
ITGA6	0.04	93.95	698.5	334.805	481.5	449.805	18.53	3.38	0.165	0.165	3.8
JAML	0.01	23.47	471.5	6937.12	726.5	9952.62	3.345	1.68	75.185	160.475	0.075
KLF2	60.14	30.96	14121.5	942.67	11591.5	61.67	0.02	0.03	2.615	10.995	2.645
KLRG1	0.13	3.34	1359	3531.285	1089	417.785	0.46	1.46	0.235	0	6.955
LHFPL2	1.48	0.02	11	17.52	9.5	10.52	30.835	19.46	0.74	0.26	0.01
LRRK1	2.15	0.03	5.5	9.52	10.5	21.02	2.38	2.6	2.135	1.85	0
LYL1	2.61	0.42	8	18.375	6	26.375	2.965	3.07	4.865	2.585	0.04
LYN	24.42	0.07	512.5	133.85	606.5	157.35	20.535	13.48	17.835	79.63	2.445
MANEAL	0.1	0.13	19.5	40.62	15.5	47.12	0.735	8.9	0.04	0	0.13
MBOAT2	0.07	0.41	7	34.7	16.5	64.7	0.61	0.54	1.32	21.78	0.055
MSANTD3	0.83	2.19	530.5	227.56	699.5	260.56	13.23	7.09	0.29	0.025	0.54
MYDGF	2.24	4.55	998.5	368.005	1250.5	881.005	33.06	53.89	5.925	0.075	3.47
MYLK	0.05	0.03	0.11	21.1	0.6	18.6	3.1	0.19	0.21	0	0.005
NCS1	0	0	93	53.135	63	180.135	7.325	4.95	0	0	0.035
NDUFAB1	2.92	9.33	865.5	464.685	1251	1280.185	31.405	43.01	5.97	0.525	3.295
NDUFS5	12.86	47.37	2995	1143.115	3531	2044.115	54.855	171.76	14.3	0.645	6.56
NET1	0.72	5.03	291	17.67	419	248.67	0.69	0.34	0.265	0.04	0.23
NPL	0.07	0.83	38.5	81.12	36	184.12	30.555	41.7	7.93	25.745	0.21
NQO1	0.05	0.47	8	33.82	12	119.32	28.245	19.11	0.24	0	0.365
NRIP3	0.02	0.06	483.5	33.16	215.5	46.66	8.405	6.13	0.175	0.04	0
OXNAD1	0.83	43.57	2603	518.39	3745.5	696.89	2.27	4.93	0.735	0.31	1.005
PCNX2	2.65	8.75	1312	1054.215	1422	665.715	1.06	0.72	1.015	0.2	0.555
PDLIM7	0.25	0.24	24.5	37.935	22.5	84.435	9.28	6.52	3.59	27.94	0.09
PFKFB4	0.09	0.45	5	37.655	7	10.155	1.72	6.76	4.075	18.795	0.035
PLBD1	0.03	0.01	7	8.03	5.5	2.03	17.525	70.96	45.72	26.57	0
PLTP	0.15	0.01	4	13.64	5.5	44.64	42.165	5.97	0.095	0.045	0.115
POU2AF1	7.99	0.12	0	3.04	0.04	38.04	0	0	0.02	0	0.005
PPCDC	0.33	1.99	46	82.055	31.5	122.055	1.35	5.19	3.43	24.52	0.565
PRDX4	1.66	2.39	83.5	160.945	115	688.945	20.24	40.96	2.145	0.01	1.14
PSEN2	0.74	0.13	28.5	93.57	19	180.07	13.395	12.11	0.9	0.095	0.775
RAMP1	0	0.12	1.135	14.635	6.5	20.135	0.825	209.65	0.005	0	0.915
RAPGEF3	0.23	0.02	0.005	22.515	0.02	69.015	1.225	28.9	0.08	0.05	0.01
RASSF4	0.01	0.11	20	23.83	15	10.83	49.66	25.25	16.03	0.045	2.15
RCAN3	2.59	41.48	1926.5	1190.89	2794.5	2860.39	2.025	6.18	1.265	0.04	0.075
RGMB	1.17	2.59	17	6.255	44.5	32.755	0.055	0.09	0.01	0	0.005
RHOH	72.27	38.53	7057	3200.615	8642	2117.115	0.205	0.02	0.56	0.185	2.075
RPS15A	608.44	1604.28	8523	3047.66	8660.5	2254.16	139.385	313.44	239.635	14.04	127.21
RRAGD	0.1	1.01	120	40.84	187	252.34	9.685	59.41	1.04	2.985	0
SCARB1	0.66	0.24	12.5	64.68	16	151.18	6.32	28.69	1.345	0.19	0.015
SELENOH	12.02	17.6	297.5	454.42	292	609.42	25.02	69.41	12.11	0.36	5.17
SELENOM	1.98	7.46	502	170.145	380.5	103.145	0.72	0.55	0.205	0.09	0.295
SELENOP	0.01	0.08	8	24.15	8	37.15	2.225	0.15	0.01	0.02	0.075
SERPINF1	0.27	0.39	4.5	26.82	15	28.82	3.415	0.17	0.785	0	0.02
SIT1	1.08	6.11	739.5	597.585	826.5	257.585	0.225	1.08	0.055	0	0.01
SLAMF8	0	0.01	2.5	22.36	11	113.86	20.005	3.56	0.245	0.01	0.12
SLC19A1	0.2	0.86	23	37.785	26	434.785	0.45	0.49	2.465	22.44	0.035
SLC25A19	1.28	1.46	66	96.75	63.5	375.75	13.155	2.41	1.52	0.23	0.635
SLC37A2	0.07	0.03	1.025	13.025	0.04	4.525	10.245	72.77	5.595	0.175	0.015
SLC38A6	1.07	3.36	48	46.665	47.5	51.165	23.815	73.84	1.555	0.045	0.165
SLC7A7	2.51	0.06	46.5	7.505	16.5	8.505	33.525	29.22	34.96	5.73	0.015
SPOCK2	26.01	56.34	97038	13983.465	114572.5	4109.965	0.005	0	0.235	1.27	6.53
SPSB1	0.13	0.2	32.5	59.24	49.5	19.74	4.905	30.76	0.07	0.01	0.02
SQOR	1.58	5.91	263.5	260.775	325	647.275	97.315	81.54	13.065	16.45	2.59
SRC	0.33	0.12	26	50.22	25	62.72	13.23	6.08	2.465	0.12	0.05
SRD5A3	0.1	0.43	11	42.54	30	129.04	9.315	28.2	0.765	0.005	0.34
STAP1	13.48	2.25	0.13	2.115	7	12.115	0.05	0	0.005	0.005	0.46
SUSD3	0.92	15.29	24.5	285.57	72.5	69.07	0.64	2.65	1.27	0.245	0.025
TENT5C	18.15	2.67	29245	1368.725	30545	224.225	0	0.01	0.09	0.465	2.27
THEMIS	0	20	220.5	929.755	422.5	696.755	0	0	0.09	0	0.04
THOC3	2.14	23.31	133	122.67	138	203.67	4.06	6.05	1.935	0.105	1.43
TMEM107	11.45	6.01	25	189.095	36.5	62.095	3.385	7.84	49.33	0.715	6.44
TMEM14C	1.24	6.47	41	146.525	157	512.025	18.325	66.77	6.445	0.23	0.24
TMEM53	0.24	0.2	26.5	24.195	17	36.695	2.76	12.88	0.41	0.03	0.145
TNFRSF13C	28.4	0.36	567	313.03	438.5	254.53	0	0	0.01	0	0.01
TNFSF13	0.72	0.19	0.205	15.17	0.33	21.67	2.41	6.57	24.125	1.73	0.045
TNFSF8	0.32	17.51	1327.5	388.025	886.5	1485.025	2.99	2.82	5.78	1.295	0.105
TPD52	15.36	3.56	671	233.165	484	608.665	1.41	1.6	0.08	0	0.88
TRAF3IP3	13.53	107.28	321.5	2147.425	475.5	2341.925	2.155	0.65	15.7	9.045	13.005
TRAV13-1	0	15.98	246.5	550.13	386	1102.13	0	0	0.03	0	0
TRAV13-2	0	7.42	72	154.09	166.5	340.09	0	0	0	0	0.065
TRAV14DV4	0	5.33	105	412.535	126.5	228.535	0	0	0	0	0.02
TRAV19	0	6.28	107.5	381.58	188	240.08	0	0	0.035	0	0
TRAV9-2	0	10.53	75	109.84	120	192.84	0	0	0.03	0	0
TRBV27	0	5.01	76	258.825	74	139.825	0	0	0.015	0	0
TRPV2	3.63	10.52	417	498.64	398.5	321.64	50.93	186.73	4.81	0.77	7.385
TSEN34	0.81	2.18	68.5	93.82	52	65.82	4.045	7.46	4.78	24.69	0.74
TSTD1	18.57	23.48	107.5	150.51	183	140.01	4.135	17.07	0.77	5.72	5.04
TUBA1C	2.63	3.35	639.5	301.665	464.5	1423.165	65.125	76.1	4.745	2.895	0.905
UCP3	0.64	0.86	25	29.63	30.5	63.13	0.195	35.87	0.17	0.35	0.21
USP6NL	12.4	1.03	116	55.65	107	87.65	1.52	2.28	1.3	0.515	0.03
AIFM2	0.3	0.56	81.5	141.54	78	451.04	4.105	10.34	0.105	0.04	0.135
ALCAM	2.62	0.7	386.5	271.42	348	634.92	87.345	95.06	1.96	2.645	0.03
ALOX5	27.74	0.34	0.115	0.06	6.5	6.525	0.355	0.05	25.985	65.275	0.025
AVPI1	0.39	0.64	198	33.72	225	20.22	3.635	20.91	0.575	0.01	0.365
BCL7A	10.42	0.49	20.5	4.73	60	64.23	0.39	6.36	0.05	0	0.005
CNR2	5.22	0.05	275.5	174.675	33.5	27.675	0	0	0.01	0.045	0.215
CPM	0.17	0.15	4	0.125	11	14.105	63.825	110.96	1.79	0.06	0
CTNS	0.46	0.95	43.5	299.34	67.5	638.34	5.595	22.29	1.025	0.31	0.25
CTSL	0	1.51	0.02	0.035	0	7.02	204.715	350.62	1.82	0.01	0.005
CXCR2	0	0	0.28	0.28	7	0.28	0.025	0.2	0.855	164.58	2.05
DHX34	1.14	1.65	193	343.245	170	630.745	1.48	1.73	1.47	16.24	0.465
DPYSL2	0.66	2.09	61	391.08	127	289.58	27.785	3.45	15.99	0.035	1.07
EOMES	0	0.26	2594.5	10939.31	1366	2004.31	0	0	0.04	0	5.195
EPHA1	0	4.38	24.5	264.825	39	94.825	0.015	0.03	0.065	0.04	0.005
GAL3ST4	0.04	1.37	6.5	4.06	3	2.06	0.075	0	0.01	0.1	0
GPR35	0.32	0.87	107.5	73.295	113	134.795	2.51	0.74	3.235	0.06	0.215
GZMH	0.01	0.4	1114	608.28	2974	1524.28	0	0	0.355	0	33.205
IL4I1	0.02	0.07	75.5	209.685	43	1026.185	13.325	0.42	0.335	0.01	0.01
ITGA3	0.13	1.01	34.5	217.805	36.5	366.305	11.155	73.18	0.015	0	0.065
ITGAX	0.32	0.05	29.5	8.525	37.5	15.525	48.055	55.22	19.15	119.485	3.45
KCTD12	0.08	0.68	11.045	3.045	53	234.545	16.305	17.47	21.58	2.03	0
LINC01336	0	2.44	7	11.88	7.5	2.38	0.08	0.02	0.055	0	0.02
LRP1	0.04	0.36	113.5	141.76	87.5	44.26	8.705	30.02	19.415	0.01	0.01
LYSMD2	3.69	5.74	761.5	826.395	735	524.395	4.785	0.27	3.995	7	1.33
MEF2C	25.79	0.11	1.05	0.015	0.065	0.015	0.725	0.24	10.335	3.15	0.27
MRPL23	4.98	9.28	376	229.76	554	591.76	15.2	31.81	8.145	0.535	2.71
P2RX7	0.3	0.96	55	193.9	73	307.9	11.095	2.02	3.965	0	0.37
PDIA4	1.62	8.07	363.5	1471.795	596	2942.795	31.05	54.44	5.37	0.27	4.98
PDLIM1	19.42	0.14	170.5	54.555	87	21.055	0.48	0.14	0.29	0.06	0.395
PIP5K1B	2.47	0.05	3.51	4.01	8	6.01	0.105	0.06	0.42	1.065	0
PLCG2	32.62	0.17	662	836.605	203.5	244.105	3.57	17.99	6.01	28.17	3.21
PODXL	0.07	0.03	20.5	38.1	60.5	81.1	0.22	8.99	0.04	0.015	0.015
PPM1F	1.33	2.76	289.5	606.745	248.5	654.745	2.77	5.14	9.3	19.67	0.775
PROCR	0.01	0.05	26	11.93	69	35.93	2.445	0.04	0.09	0	0.4
PTK2	7.81	4	2.1	1.1	2.5	76.1	2.685	6.65	1.195	0.025	0.08
RENBP	0.76	2.29	5	7.89	17.5	29.39	7.885	17.46	3.485	3.225	0.615
RPS28	150.24	297.31	27478	5775.48	23997	3618.98	84.79	164.26	82.92	3.41	33.87
SLAMF7	0.33	0.29	1931.5	7409.105	1414.5	1909.105	58.71	28.24	1.4	0.165	7.81
SLC16A5	0.15	1.63	9.5	13.77	16.5	14.27	0.79	3.14	2.95	4.025	0.07
SLC9A9	2.13	4.31	194.5	148.28	298.5	35.78	4.475	0.3	4.11	0.035	0.765
SMARCD3	0.17	0.93	37	70.105	62	73.105	0.365	1.43	9.68	1.74	0.07
SP140	17.45	12.45	1035.5	1531.165	1592.5	2102.665	1.475	2.66	1.145	6.525	2.495
TNFRSF9	0	0.01	2166	12437.615	236.5	22385.115	5.375	0.02	0.145	1.185	0.17
TRAV2	0	6.17	276.5	119.37	149.5	123.37	0	0	0.01	0	0
TRAV40	0	0.95	0.19	0.33	6.5	4.67	0	0	0	0	0
TRAV41	0	4.99	12.5	11.575	24.5	47.075	0	0	0	0	0
TRBV18	0	8.46	2.18	1.305	2.18	2.055	0	0	0	0	0
TRPM2	0.4	0.17	4	0.3	19	47.66	3.475	0.49	2.09	0.335	0.345
TSPAN17	1.58	2.83	386.5	1038.165	485	911.165	6.46	68.19	1.49	0.095	1.6
WDFY4	36.4	0.17	0	0	3.015	0	11.705	18.1	4.005	8.775	0.015
A2M	0	0.02	546	401.095	274.5	68.595	77.2	265.98	0.055	0	0.075
AFF3	33.53	3.42	144.5	37.23	42	4.23	0.01	0.47	0.385	0.005	0.025
AKR7A2	1.64	4.09	64.5	266.65	74.5	249.15	8.905	41.63	2.695	0.14	1.73
ALDH2	0.3	0.14	0.565	2.065	2	12.565	5.95	2.67	24.065	0.56	0
APOL3	7.87	22.18	3848	2862.65	3783.5	1600.65	7.98	0.4	13.14	0.175	3
ARMC9	0.07	0.1	3	15.57	1.07	52.57	4.105	4.92	0	0.01	0.015
BICDL1	0.71	10.08	1700	3811.04	936.5	1794.04	0.12	2.07	0.04	0.03	0.645
CAMK1	0.02	0.09	1.06	0.08	1.5	20.56	7.845	7.42	7.235	0.085	0.385
CAMK4	0.07	33.08	9776	3986.825	11181.5	3356.325	0	0	0.08	0	0.01
CCL5	0.09	2.72	8892.5	10127.885	9252.5	6323.385	33.92	0.01	1.48	0.01	59.59
CCRL2	0.25	0.14	86	118.22	66.5	51.22	14.075	28.29	5.93	0.9	0.13
CD28	0	29.23	13791	8723.12	5063.5	6360.12	0	0.11	0.1	0	0.005
CSGALNACT1	2.7	11.4	19	2.445	249.5	35.285	0.265	1.23	1.235	5.495	0.235
CXCL16	1.45	0.11	332	30.59	219.5	29.59	20.715	15.48	4.635	11.11	0.005
DOCK5	0	0.05	6.5	0.17	173	33.115	4.06	5.52	7.005	61.775	0.38
ECM1	0.03	0.05	1.04	2.54	0.54	15.04	6.36	17.92	0.015	0.01	0.005
FABP5P7	0	0.02	4.5	2.8	1.3	28.3	4.205	22.28	0.22	0	0
FLVCR2	0.02	0.18	11	33.23	5	33.23	5.205	37.19	3.175	0.06	0.055
FUOM	1.79	1.87	37	48.73	35	175.73	12.78	24.56	2.695	0.015	0.42
ITM2A	2.57	29.66	6458	2935.465	6509.5	1486.465	0	0	0.195	0.015	5.135
LEF1-AS1	0	8.8	0.335	0.72	4	6.96	0	0	0.005	0	0.005
LINC00861	0	48	293.5	1904.46	377	631.46	0	0	0.055	0	4.425
LINC01871	0	4.61	368	447.655	908	1578.655	0	0	0.05	0	7.24
LINC02446	0	0.05	196.5	101.125	1092	671.625	0	0	0.02	0	0.065
LY96	0.84	2.08	7	7.205	20	34.205	24.78	64.71	10.305	28.585	0.01
MAP4K3-DT	0.37	0.64	18	21.89	19.5	43.89	3.74	11.86	0.22	0	0.13
MARCKS	6.71	0.02	5	0	0	3	30.08	0.19	19.98	17.435	0.01
MCTP1	0.09	0.32	37	93.045	24	46.045	18.77	3.39	17.555	11.86	0.06
MRPL12	0.58	1.3	26	16.72	9	78.72	9.14	5.33	1.175	0.05	0.785
MYO1E	6.5	0.06	0.09	0.09	0.155	18.58	26.96	40.02	1.905	0.02	0.29
NDUFB2	5.71	19.95	379.5	272.3	479.5	392.3	43.455	106.68	13.51	0.405	12.455
NRP1	0	0.01	0	0	0.005	22.005	25.3	29.19	0.435	0	0
OAF	0.04	0.31	11.5	5.09	9.5	29.09	0.815	0.2	3.07	0	0.055
P2RY10	26.11	15.56	3233.5	2347.385	4063	645.885	0	0	0.09	3.2	0.985
PAWR	10.91	0.31	2.07	2.07	2.07	17.57	0.005	0	0.03	0.05	0.025
PCSK5	0	5.23	12.5	4.365	47.5	23.865	0.76	9.09	1.78	0.15	0.485
PHACTR1	16.54	0.02	12.5	8.01	6.5	9.01	0.685	7.18	8.335	7.27	0.015
PHOSPHO1	0.02	0	55.5	37.515	54.5	21.515	0.67	14.84	0.06	32.93	0.05
PLIN2	3.83	8.76	3272.5	671.65	3618	648.15	42.225	324.08	15.16	0.08	1.38
PLPPR2	0.13	0.49	41.5	14.745	34.5	34.745	0.69	1.29	3.09	10.435	0.06
PLXNB2	0.13	0.09	4	0.05	6	13.04	14.66	7.31	18.285	0.01	0.01
PPP2R3A	0.01	0.06	114.5	69.05	106.5	41.05	2.07	10.98	0.065	0	0.015
PROK2	0	0.01	4.5	5.32	302	12.82	0	0	2.21	47.215	0.02
RASAL3	2.89	15.72	1163.5	3776.58	919.5	2762.58	0.46	0.41	2.545	2.51	6.96
RASGRP4	0.02	0.01	3.005	3.005	4	8.505	0.17	0.3	6.92	21.24	0.005
RPL17	364.51	971.68	491.5	268	449	766	181.1	279.28	195.635	17.545	101.495
RPL3	490.99	884.97	130050	34071.285	125404.5	33116.785	87.405	121.92	104.645	5.98	95.295
RPL36A	263.17	820.79	242	118.2	162	350.815	87.82	190.99	157.035	2.5	48.87
RPL39	1067.98	2141.86	27477.5	8703.685	29857	5073.685	242.355	565.43	309.4	23.69	120.56
RPL41	951.89	1937.71	31954.5	9718.98	32177.5	13375.98	309.475	648.34	319.67	54.135	233.145
SLAMF6	3.38	9.41	279.5	3686.875	278.5	1003.375	1.76	0.12	0.06	0.27	5.5
SLC25A37	2.7	4.63	841.5	270.135	872.5	403.135	1.29	0.73	7.145	148.94	0.17
SORT1	0	0.03	6	3.555	4	18.055	6.66	83.03	4.25	2.165	0.015
STAG3	3.88	0.97	181	174.96	111	96.46	0.685	7.09	0.06	0.1	0.105
