Gene	V2
DOK4	1974
DOK5	1765
DOK6	8857
DOLK	1890
DOLPP1	1944
DONSON	1517
DOP1A	4975
DOP1B	5586
DOT1L	4134
DPAGT1	1672
DPCD	579
DPEP1	1053
DPEP2	1087
DPEP3	1488
DPF1	2103
DPF2	1437
DPF3	2295
DPH1	1959
DPH2	1643
DPH5	865
DPH6	998
DPH7	1477
DPM1	882
DPM2	1227
DPM3	223
DPP10	2566
DPP3	2149
DPP4	3196
DPP6	3568
DPP7	1236
DPP8	3760
DPP9	3044
DPPA2	1183
DPPA4	997
DPT	1519
DPY19L1	2918
DPY19L3	2490
DPY30	480
DPYD	3911
DPYS	1922
DPYSL2	4047
DPYSL3	4620
DPYSL4	2464
DPYSL5	4928
DQX1	830
DR1	3036
DRAM1	2672
DRAM2	992
DRAP1	612
DRC1	1400
DRC3	1770
DRC7	345
DRD1	3831
DRD2	1293
DRD3	1341
DRD4	1175
DRD5	2176
DRG1	1391
DRG2	1659
DRICH1	1100
DROSHA	3203
DRP2	6635
DSC1	4054
DSC2	5757
DSC3	6953
DSCAM	6507
DSCAML1	5899
DSCC1	1952
DSCR8	566
DSE	2977
DSEL	9208
DSG1	1657
DSG2	5452
DSG3	5379
DSG4	4349
DSN1	1730
DSP	8602
DSPP	4131
DST	8908
DSTN	1160
DSTNP2	905
DSTYK	7758
DTD1	1237
DTD2	1453
DTL	2768
DTNA	1894
DTNB	1583
DTNBP1	1205
DTWD1	1123
DTX1	3255
DTX2	1695
DTX3	1515
DTX3L	4888
DTX4	4008
DTYMK	821
DUOX1	3972
DUOX2	6145
DUOXA1	1132
DUS1L	1264
DUS2	1671
DUS3L	1095
DUS4L	1526
DUSP1	1813
DUSP10	2306
DUSP11	1459
DUSP12	1000
DUSP13	1231
DUSP14	1324
DUSP15	1010
DUSP16	3507
DUSP18	2034
DUSP19	4975
DUSP2	1474
DUSP21	668
DUSP22	1712
DUSP23	526
DUSP26	1554
DUSP27	3397
DUSP3	3676
DUSP4	5177
DUSP5	2277
DUSP6	2019
DUSP7	3159
DUSP8	1807
DUSP9	2089
DUT	740
DVL1	2712
DVL2	2113
DVL3	3901
DXO	1331
DYDC1	438
DYDC2	1340
DYM	1417
DYNC1H1	4085
DYNC1I1	1327
DYNC1I2	1740
DYNC1LI1	2105
DYNC1LI2	2538
DYNC2H1	12899
DYNC2LI1	790
DYNLL1	467
DYNLL2	6607
DYNLRB1	479
DYNLRB2	214
DYNLT1	541
DYNLT3	1871
DYRK1A	3563
DYRK1B	2003
DYRK2	4497
DYRK3	4047
DYRK4	747
DYSF	6572
DZANK1	2977
DZIP1	2675
DZIP1L	2160
DZIP3	4171
E2F1	2490
E2F2	4996
E2F3	4476
E2F4	1779
E2F5	1296
E2F6	1878
E2F7	3778
E2F8	2705
E4F1	2366
EAF1	3933
EAF2	724
EAPP	1081
EARS2	3429
EBAG9	987
EBF1	2766
EBF2	4966
EBF4	2392
EBI3	958
EBLN2	1460
EBNA1BP2	1105
EBP	891
EBPL	700
ECD	1732
ECE1	3924
ECE2	1750
ECEL1	2671
ECH1	990
ECHDC1	1245
ECHDC2	837
ECHDC3	1242
ECHS1	1077
ECI1	839
ECI2	1015
ECM1	1831
ECM2	2374
ECPAS	4710
ECRG4	553
ECSIT	1335
ECT2	2193
EDA	4762
EDA2R	3253
EDAR	3862
EDARADD	1845
EDC3	2273
EDC4	3677
EDDM3A	732
EDDM3B	719
EDEM1	4599
EDEM2	1682
EDEM3	4268
EDF1	468
EDIL3	3572
EDN1	1835
EDN2	1022
EDN3	2118
EDNRA	2763
EDNRB	2607
EDRF1	3997
EEA1	4961
EED	1714
EEF1A1	1609
EEF1A2	1262
EEF1AKMT1	723
EEF1AKMT3	2215
EEF1AKNMT	2313
EEF1B2	612
EEF1D	580
EEF1DP3	1076
EEF1E1	650
EEF1G	1246
EEF2	2910
EEF2K	6717
EEF2KMT	1604
EEFSEC	1981
EEPD1	1546
EFCAB1	1546
EFCAB11	782
EFCAB12	2707
EFCAB13	2804
EFCAB14	3153
EFCAB2	731
EFCAB3	1074
EFCAB6	2440
EFCAB7	1822
EFCC1	1903
EFEMP1	1467
EFEMP2	1438
EFHB	1202
EFHC1	1091
EFHC2	3057
EFHD1	1428
EFHD2	2214
EFL1	3274
EFNA1	1340
EFNA2	2224
EFNA3	1357
EFNA4	1016
EFNA5	2198
EFNB1	3103
EFNB2	4356
EFNB3	3016
EFR3A	3269
EFR3B	5962
EFS	2457
EFTUD2	1812
EGF	3957
EGFEM1P	526
EGFL6	2192
EGFL7	1008
EGFL8	1112
EGFLAM	3287
EGFR	7706
EGLN1	2547
EGLN2	1923
EGLN3	2506
EGR1	2937
EGR2	2768
EGR3	4314
EGR4	2020
EHBP1	2209
EHD1	2987
EHD2	3273
EHD3	4625
EHD4	6126
EHF	1737
EHHADH	2128
EHMT1	2950
EHMT2	2930
EI24	1835
EID1	1840
EID2	1255
EID2B	1666
EIF1	698
EIF1AD	1683
EIF1AX	2635
EIF1AY	709
EIF1B	785
EIF2A	1145
EIF2AK1	2836
EIF2AK2	4962
EIF2AK3	3809
EIF2B1	2073
EIF2B2	871
EIF2B3	1404
EIF2B4	1543
EIF2B5	2194
EIF2D	1793
EIF2S1	1055
EIF2S2	2356
EIF2S3	2922
EIF3A	4550
EIF3B	2307
EIF3C	1701
EIF3D	1541
EIF3E	930
EIF3F	1283
EIF3G	883
EIF3H	913
EIF3I	1210
EIF3J	1217
EIF3K	567
EIF3L	965
EIF3M	714
EIF4A1	1053
EIF4A2	1418
EIF4A3	1376
EIF4B	2551
EIF4E	987
EIF4E2	812
EIF4EBP1	627
EIF4EBP2	7291
EIF4EBP3	493
EIF4ENIF1	3350
EIF4G1	3948
EIF4G2	2358
EIF4G3	3964
EIF4H	2244
EIF5	1558
EIF5A	1062
EIF5A2	1405
EIF5AL1	3640
EIF5B	4615
EIF6	850
EIPR1	1424
ELAC1	1222
ELAC2	2001
ELANE	828
ELAVL1	1930
ELAVL2	3577
ELAVL3	1504
ELAVL4	2170
ELF1	2075
ELF2	2092
ELF3	1483
ELF4	3954
ELF5	2122
ELFN2	8170
ELK1	2512
ELK3	3249
ELK4	3855
ELL	3636
ELL2	2872
ELL3	1555
ELMO1	2628
ELMO2	2762
ELMO3	2291
ELMOD1	1609
ELMOD3	1551
ELMSAN1	5733
ELN	2590
ELOA	3581
ELOA2	2850
ELOB	350
ELOC	704
ELOF1	798
ELOVL1	1114
ELOVL2	3788
ELOVL3	1200
ELOVL4	2813
ELOVL5	2429
ELOVL6	2700
ELOVL7	2826
ELP1	4033
ELP2	1756
ELP3	1762
ELP4	1331
ELP5	594
ELP6	936
ELSPBP1	510
EMB	1715
EMC1	4267
EMC2	600
EMC3	980
EMC4	789
EMC6	474
EMC7	867
EMC8	1586
EMC9	683
EMCN	1529
EMD	1038
EME1	2018
EME2	5117
EMG1	961
EMID1	1601
EMILIN1	3325
EMILIN2	4799
EMILIN3	3591
EML1	3595
EML2	1849
EML4	4318
EML5	6894
EMP1	2202
EMP2	2752
EMP3	440
EMSY	3777
EMX1	1037
EMX2	1843
EN1	2257
EN2	3195
ENAH	2494
ENAM	5479
ENC1	4054
ENDOD1	4451
ENDOG	945
ENDOU	1313
ENG	2847
ENGASE	2312
ENKD1	1330
ENKUR	2095
ENO1	1534
ENO2	1894
ENO3	804
ENOPH1	1864
ENOSF1	998
ENOX1	2782
ENOX2	1786
ENPEP	4526
ENPP1	5961
ENPP2	2475
ENPP3	2818
ENPP4	4444
ENPP5	2535
ENPP6	2065
ENSA	1370
ENTHD1	2480
ENTPD1	2336
ENTPD2	1902
ENTPD3	2471
ENTPD4	3456
ENTPD5	4318
ENTPD6	2042
ENTPD7	8348
ENTR1	1586
ENY2	529
EOMES	2785
EP300	7600
EP400	9541
EPAS1	4438
EPB41	3760
EPB41L1	2157
EPB41L2	2462
EPB41L3	2700
EPB41L4A	4010
EPB41L4B	3806
EPB41L5	2298
EPB42	1515
EPC1	3135
EPC2	3490
EPCAM	1162
EPDR1	2137
EPG5	6875
EPHA1	2673
EPHA2	3303
EPHA3	4434
EPHA4	2647
EPHA5	6017
EPHA7	6421
EPHA8	1802
EPHB1	4474
EPHB2	3525
EPHB3	4034
EPHB4	3650
EPHB6	2347
EPHX1	1329
EPHX2	980
EPHX3	1620
EPM2A	1720
EPM2AIP1	7889
EPN1	1842
EPN2	2065
EPN3	2148
EPO	1462
EPOR	1842
EPPIN	1854
EPPK1	15802
EPRS1	4167
EPS15	4020
EPS15L1	2670
EPS8	2953
EPS8L1	1335
EPS8L2	2211
EPS8L3	903
EPSTI1	1458
EPX	2519
EPYC	1282
EQTN	525
ERAL1	1635
ERAP1	2372
ERAP2	3403
ERAS	626
ERBB2	3752
ERBB3	3959
ERBB4	7580
ERBIN	4320
ERC1	6438
ERC2	1207
ERCC1	1088
ERCC2	2382
ERCC3	2304
ERCC4	4234
ERCC5	2734
ERCC6	3020
ERCC6L	4044
ERCC8	1495
EREG	4119
ERF	1599
ERFE	2062
ERG	2458
ERG28	2120
ERGIC1	2610
ERGIC2	907
ERGIC3	1092
ERH	590
ERI1	2798
ERI2	1620
ERI3	1403
ERICH1	1438
ERICH3	7001
ERICH5	1303
ERICH6	1001
ERICH6B	1055
ERLEC1	1992
ERLIN1	2334
ERLIN2	2313
ERMAP	2808
ERMARD	1688
ERMN	3560
ERMP1	4986
ERN1	4180
ERN2	2721
ERO1A	3116
ERO1B	3024
ERP27	1018
ERP29	1367
ERP44	4608
ERRFI1	2641
ERV3-1	2342
ERVV-1	2002
ERVW-1	1842
ESAM	1590
ESCO1	4320
ESCO2	1477
ESD	933
ESF1	2749
ESM1	1568
ESPL1	4761
ESPN	1312
ESR1	5215
ESR2	2852
ESRP1	2993
ESRP2	3026
ESRRA	2004
ESRRB	4809
ESRRG	4994
ESS2	1887
ESX1	1295
ESYT1	3922
ESYT2	4414
ESYT3	3550
ETAA1	4667
ETF1	2382
ETFA	843
ETFB	706
ETFDH	1853
ETFRF1	859
ETHE1	713
ETNK1	1749
ETNK2	2185
ETNPPL	1690
ETS1	3478
ETS2	2744
ETV1	2131
ETV2	495
ETV3	4820
ETV4	1869
ETV5	3100
ETV6	5341
ETV7	1368
EVA1A	844
EVA1B	680
EVA1C	1364
EVC	5580
EVC2	4182
EVI2A	1600
EVI2B	1541
EVI5	2467
EVI5L	3465
EVL	1503
EVPL	6245
EVX1	1797
EWSR1	1776
EXD1	927
EXD2	3188
EXD3	1373
EXO1	2265
EXO5	1307
EXOC1	2172
EXOC2	3529
EXOC3	2531
EXOC3L2	2764
EXOC3L4	1173
EXOC4	2800
EXOC5	2005
EXOC6	3042
EXOC6B	4064
EXOC7	3241
EXOC8	4900
EXOG	1867
EXOSC1	738
EXOSC10	2588
EXOSC2	1224
EXOSC3	742
EXOSC4	622
EXOSC5	792
EXOSC6	4963
EXOSC7	882
EXOSC8	844
EXOSC9	1328
EXPH5	7615
EXT1	2912
EXT2	2586
EXTL1	1501
EXTL2	2132
EXTL3	4596
EYA1	2481
EYA2	2104
EYA3	3978
EYA4	3029
EZH1	2499
EZH2	2270
EZR	2858
F10	1330
F11	1412
F11R	2651
F12	1711
F13A1	2424
F13B	1197
F2	1012
F2R	3490
F2RL1	2241
F2RL2	3198
F2RL3	3134
F3	1462
F5	7202
F7	1513
F8	4868
F8A1	1513
F9	1390
FA2H	2189
FAAH	1734
FAAH2	1365
FAAP100	3481
FAAP20	726
FAAP24	1618
FABP1	1043
FABP2	2026
FABP3	543
FABP4	511
FABP5	477
FABP5P3	614
FABP6	273
FABP7	585
FADD	1641
FADS1	3119
FADS2	2620
FADS3	1602
FAF1	1547
FAF2	4171
FAH	1143
FAHD1	1652
FAHD2A	1285
FAHD2B	1140
FAIM	798
FAIM2	1401
FAM104A	2474
FAM104B	812
FAM107A	2794
FAM107B	1841
FAM110A	1499
FAM110B	1605
FAM110D	2599
FAM111A	2416
FAM114A1	1885
FAM114A2	1263
FAM117A	2034
FAM117B	5692
FAM118A	1175
FAM118B	1683
FAM120A	2585
FAM120AOS	1685
FAM120B	3336
FAM120C	4250
FAM122A	2036
FAM122B	2113
FAM122C	1405
FAM124A	3882
FAM124B	2318
FAM126A	2872
FAM131A	1919
FAM131B	3964
FAM135A	3091
FAM135B	386
FAM136A	1588
FAM13A	3430
FAM13B	3494
FAM13C	2453
FAM149A	1451
FAM151B	980
FAM153B	659
FAM155B	3813
FAM156A	979
FAM160A2	3130
FAM160B1	4023
FAM160B2	3120
FAM161A	3232
FAM161B	3566
FAM162A	726
FAM162B	832
FAM163A	2709
FAM167A	3867
FAM167B	747
FAM168A	4300
FAM168B	5227
FAM169A	2195
FAM170B	1201
FAM171A1	3797
FAM171B	5531
FAM172A	2163
FAM174C	569
FAM178B	878
FAM181A	1108
FAM181B	3725
FAM184A	3622
FAM184B	6531
FAM185A	1321
FAM186A	4309
FAM186B	2744
FAM187B	984
FAM189A1	1695
FAM189A2	2045
FAM189B	2714
FAM193A	4544
FAM193B	1129
FAM199X	5702
FAM200A	2216
FAM204A	887
FAM207A	684
FAM209A	466
FAM20A	2187
FAM20B	5630
FAM20C	2592
FAM210A	1586
FAM210B	2760
FAM214A	2802
FAM214B	2153
FAM216A	999
FAM216B	3074
FAM217A	1001
FAM217B	2455
FAM218A	1974
FAM219A	2506
FAM219B	2385
FAM220A	2011
FAM222A	3094
FAM222B	2855
FAM227B	832
FAM234A	2000
FAM234B	4486
FAM237A	407
FAM241A	8644
FAM241B	854
FAM24A	487
FAM24B	503
FAM32A	1227
FAM3A	1543
FAM3B	907
FAM3C	2105
FAM3D	881
FAM43A	2955
FAM43B	2248
FAM47A	2356
FAM47B	1920
FAM49A	2460
FAM49B	1265
FAM50A	1123
FAM50B	1443
FAM53A	1151
FAM53B	4653
FAM53C	3842
FAM71A	2102
FAM71B	2315
FAM71C	1664
FAM71D	1406
FAM71E1	973
FAM71F1	991
FAM76A	1974
FAM76B	1419
FAM78B	1717
FAM81A	1554
FAM81B	1342
FAM83A	3109
FAM83B	6044
FAM83C	2969
FAM83D	2172
FAM83E	1726
FAM83F	5033
FAM86B1	1852
FAM86C1	1726
FAM89B	1082
FAM8A1	4526
FAM90A1	2142
FAM91A1	2566
FAM92A	710
FAM98A	1203
FAM98C	1069
FAM9A	1331
FAM9B	1738
FAM9C	2643
FAN1	3873
FANCA	2473
FANCB	2808
FANCC	3609
FANCD2	4096
FANCD2OS	480
FANCE	2354
FANCF	2752
FANCG	1456
FANCI	2332
FANCL	1168
FANCM	3993
FANK1	720
FAP	2379
FAR1	2027
FAR2	1420
FARP1	3176
FARP2	3132
FARS2	1387
FARSA	1509
FARSB	6561
FAS	1451
FASLG	1605
FASN	6707
FASTK	1508
FASTKD1	1940
FASTKD2	3101
FASTKD3	1427
FASTKD5	2642
FAT1	9314
FAT2	14334
FAT3	18818
FAT4	14801
FATE1	872
FAU	309
FAXC	1118
FAXDC2	1653
FBF1	3307
FBH1	3057
FBL	920
FBLIM1	2337
FBLN1	2341
FBLN2	3978
FBLN5	1947
FBLN7	1679
FBN1	9587
FBN2	10727
FBN3	8908
FBP1	1253
FBP2	1136
FBRS	3886
FBRSL1	1392
FBXL12	1562
FBXL13	1184
FBXL14	2327
FBXL15	1534
FBXL16	2383
FBXL17	2221
FBXL18	5180
FBXL19	3542
FBXL2	1582
FBXL20	4713
FBXL21P	1124
FBXL3	2387
FBXL4	4556
FBXL5	2410
FBXL6	1570
FBXL7	4202
FBXL8	1242
FBXO10	2699
FBXO11	3090
FBXO15	1276
FBXO16	970
FBXO17	1984
FBXO2	1102
FBXO21	3044
FBXO22	1517
FBXO24	345
FBXO25	2810
FBXO27	1242
FBXO28	2792
FBXO3	2190
FBXO30	8851
FBXO31	2391
FBXO32	2537
FBXO34	3055
FBXO36	2297
FBXO38	3717
FBXO39	1485
FBXO4	1103
FBXO40	5469
FBXO41	4584
FBXO42	3793
FBXO44	1453
FBXO45	4198
FBXO46	2323
FBXO5	1922
FBXO6	1215
FBXO7	1760
FBXO8	1187
FBXO9	1161
FBXW10	3021
FBXW11	2864
FBXW2	3189
FBXW4	1083
FBXW4P1	2039
FBXW5	2089
FBXW7	936
FBXW8	3429
FBXW9	1524
FCAMR	1846
FCAR	1370
FCER1A	965
FCER1G	387
FCER2	1282
FCF1	1328
FCGBP	9688
FCGR1A	806
FCGR1B	872
FCGR2A	1734
FCGR2B	1299
FCGR2C	876
FCGR3A	1914
FCGR3B	736
FCGRT	1132
FCHO1	2047
FCHO2	2144
FCHSD1	2041
FCHSD2	2688
FCMR	1296
FCN1	7388
FCN2	802
FCN3	825
FCRL1	2578
FCRL2	2159
FCRL3	3849
FCRL4	3266
FCRL5	3294
FCRLA	1527
FCRLB	1782
FCSK	3022
FDFT1	1758
FDPS	836
FDX1	2944
FDX2	798
FDXACB1	2441
FDXR	1654
FECH	1641
FEM1A	9340
FEM1B	5892
FEM1C	5497
FEN1	1810
FER	4613
FER1L4	2091
FER1L5	6082
FERD3L	440
FERMT1	4488
FERMT2	2758
FERMT3	1907
FES	1820
FETUB	1109
FEV	1012
FEZ1	711
FEZ2	1224
FEZF2	1810
FFAR1	2111
FFAR2	1933
FFAR3	1600
FGA	1423
FGB	833
FGD1	4143
FGD2	2831
FGD3	2679
FGD4	3945
FGD5	4853
FGD6	4850
FGF1	3460
FGF10	1993
FGF11	1840
FGF12	674
FGF13	1440
FGF14	2085
FGF16	1466
FGF17	1400
FGF18	1798
FGF19	1621
FGF2	5329
FGF20	1640
FGF21	920
FGF22	1099
FGF23	2279
FGF3	682
FGF4	1661
FGF5	509
FGF6	349
FGF7	1174
FGF8	671
FGF9	4330
FGFBP1	1151
FGFBP2	905
FGFBP3	2353
FGFR1	2710
FGFR1OP	1480
FGFR1OP2	1285
FGFR2	3160
FGFR3	3867
FGFR4	2051
FGFRL1	2899
FGG	1573
FGGY	974
FGL1	893
FGL2	4056
FGR	2158
FH	1537
FHAD1	2337
FHDC1	6383
FHIT	1083
FHL1	2166
FHL2	1359
FHL3	1381
FHL5	1795
FHOD1	3430
FHOD3	4727
FIBCD1	2919
FIBP	1027
FICD	2823
FIG4	2761
FIGN	4747
FIGNL1	2784
FILIP1	5481
FILIP1L	2945
FIP1L1	1611
FIS1	667
FITM1	994
FITM2	4428
FIZ1	1940
FJX1	2206
FKBP10	2283
FKBP11	623
FKBP14	2692
FKBP15	4467
FKBP1A	1090
FKBP1B	787
FKBP2	380
FKBP3	1096
FKBP4	3202
FKBP5	3640
FKBP6	1268
FKBP7	873
FKBP8	1511
FKBP9	2643
FKBPL	1142
FKRP	2050
FKTN	3917
FLACC1	1508
FLAD1	1398
FLCN	3086
FLG	12547
FLI1	2370
FLII	3028
FLNA	8018
FLNB	8792
FLNC	8988
FLOT1	959
FLOT2	2458
FLRT1	3749
FLRT2	5490
FLRT3	3168
FLT1	4832
FLT3	3642
FLT3LG	739
FLT4	5470
FLVCR1	1816
FLVCR2	2344
FLYWCH1	2234
FLYWCH2	762
FMC1	530
FMN2	6229
FMNL1	2442
FMNL2	5365
FMNL3	5638
FMO1	1608
FMO2	3402
FMO3	1859
FMO4	1957
FMO5	1853
FMO9P	1249
FMOD	2718
FMR1	2256
FMR1NB	587
FN1	6734
FN3K	1218
FN3KRP	1622
FNBP1	2743
FNBP1L	4378
FNBP4	2278
FNDC1	6348
FNDC11	604
FNDC3A	5704
FNDC3B	2687
FNDC4	1412
FNDC7	2178
FNDC8	1152
FNIP1	4525
FNIP2	4144
FNTA	1584
FNTB	2189
FOCAD	4602
FOLH1	2148
FOLH1B	1854
FOLR1	768
FOLR2	891
FOLR3	488
FOPNL	1459
FOS	1610
FOSB	2808
FOSL1	1453
FOSL2	6038
FOXA1	2763
FOXA2	2216
FOXA3	1723
FOXB1	2671
FOXC1	3783
FOXC2	2700
FOXD1	2312
FOXD2	4475
FOXD3	2362
FOXD4	1774
FOXD4L1	2291
FOXE1	3292
FOXE3	1568
FOXF1	3320
FOXF2	2251
FOXG1	3291
FOXH1	1817
FOXI1	1965
FOXJ1	2387
FOXJ2	5324
FOXJ3	3284
FOXK1	10323
FOXK2	2251
FOXL1	3455
FOXL2	2714
FOXM1	2604
FOXN1	3236
FOXN2	1975
FOXN3	4377
FOXN4	2096
FOXO1	4548
FOXO3	5686
FOXO3B	2141
FOXO4	2739
FOXP1	2997
FOXP2	3280
FOXP3	2019
FOXP4	3627
FOXQ1	2461
FOXR2	2593
FOXRED1	1606
FOXRED2	3383
FOXS1	1102
FPGS	1417
FPGT	1227
FPR1	1610
FPR2	1374
FPR3	2418
FRA10AC1	2912
FRAS1	14985
FRAT1	2445
FRAT2	2033
FREM1	6184
FREM3	6529
FRG1	792
FRG2DP	723
FRK	13163
FRMD1	2868
FRMD4A	1518
FRMD4B	1778
FRMD5	3577
FRMD6	3248
FRMD7	1900
FRMD8	3122
FRMD8P1	1324
FRMPD1	569
FRMPD2	1634
FRMPD3	7104
FRMPD4	5930
FRRS1L	6733
FRS2	2591
FRS3	1771
FRY	4218
FRZB	2437
FSCB	2935
FSCN1	2566
FSCN2	732
FSCN3	823
FSD1	868
FSD1L	2658
FSD2	2925
FSHB	1452
FSHR	1259
FSIP1	2616
FST	2117
FSTL1	2609
FSTL3	2123
FSTL4	844
FSTL5	2489
FTCD	1690
FTH1	648
FTH1P3	385
FTHL17	609
FTL	671
FTMT	752
FTO	1707
FTSJ1	1083
FTSJ3	2995
FUBP1	1965
FUBP3	2854
FUCA1	1847
FUCA2	2144
FUNDC1	854
FUNDC2	815
FURIN	3997
FUS	1668
FUT1	3680
FUT10	1656
FUT11	1763
FUT2	2206
FUT3	1879
FUT4	5859
FUT5	1918
FUT6	1216
FUT7	2384
FUT8	1575
FUT9	10982
FUZ	1369
FXN	945
FXR1	1739
FXR2	2483
FXYD1	387
FXYD2	388
FXYD3	475
FXYD4	466
FXYD5	684
FXYD6	1278
FXYD7	468
FYB1	2692
FYB2	2401
FYCO1	7106
FYN	1577
FYTTD1	1946
FZD1	6694
FZD10	3081
FZD2	3579
FZD3	5487
FZD4	7187
FZD5	6839
FZD6	2536
FZD7	3659
FZD8	3830
FZD9	2143
FZR1	2362
G0S2	676
G2E3	1519
G3BP1	2059
G3BP2	2643
G6PC	1513
G6PC2	1586
G6PC3	983
G6PD	1844
GAA	2794
GAB1	3051
GAB2	5272
GAB3	4321
GAB4	2325
GABARAP	484
GABARAPL1	1636
GABARAPL2	767
GABBR1	2049
GABBR2	4514
GABPA	4525
GABPB1	1784
GABPB2	2424
GABRA1	2110
GABRA2	955
GABRA3	1330
GABRA4	2981
GABRA5	908
GABRA6	1037
GABRB1	701
GABRB2	3146
GABRB3	1475
GABRD	1714
GABRE	2868
GABRG1	6558
GABRG2	379
GABRG3	2081
GABRP	786
GABRQ	6268
GABRR1	2116
GABRR2	4538
GABRR3	2387
GAD1	1270
GAD2	2094
GADD45A	1099
GADD45B	1171
GADD45G	861
GADD45GIP1	1569
GAGE1	1633
GAGE2C	330
GAK	3424
GAL	549
GAL3ST1	1435
GAL3ST2	1252
GAL3ST3	1659
GAL3ST4	2181
GALC	2707
GALE	1197
GALK1	1187
GALK2	1175
GALM	1738
GALNS	2025
GALNT1	1988
GALNT10	2947
GALNT11	1958
GALNT12	2418
GALNT13	3310
GALNT14	2155
GALNT15	3724
GALNT16	4120
GALNT17	2926
GALNT2	4185
GALNT3	2492
GALNT4	5185
GALNT5	10144
GALNT6	2218
GALNT7	2922
GALNT8	738
GALNT9	1104
GALNTL5	1260
GALP	492
GALR1	4992
GALR2	1173
GALR3	947
GALT	1259
GAMT	819
GAN	3093
GANAB	3464
GANC	1676
GAP43	1491
GAPDH	1066
GAPDHS	717
GAPT	656
GAPVD1	3769
GAR1	724
GAREM1	6692
GAREM2	3132
GARNL3	1089
GARS1	2114
GART	2179
GAS1	2945
GAS2	918
GAS2L1	2411
GAS2L2	2814
GAS6	2306
GAS7	5764
GAS8	1497
GASK1B	2943
GAST	270
GATA1	1039
GATA2	2180
GATA3	2418
GATA4	1782
GATA5	2420
GATA6	3052
GATAD1	3445
GATAD2A	2403
GATAD2B	4964
GATB	1363
GATD3A	1276
GATM	1614
GBA	1977
GBA2	2428
GBA3	1818
GBAP1	1028
GBE1	2645
GBF1	5999
GBGT1	1592
GBP1	2426
GBP2	2139
GBP3	2211
GBP4	4027
GBP5	2298
GBP6	2787
GBX1	892
GBX2	1257
GC	1004
GCA	735
GCAT	1090
GCC1	3928
GCC2	3266
GCDH	1299
GCFC2	2166
GCG	638
GCGR	907
GCH1	2439
GCHFR	525
GCK	2060
GCKR	1487
GCLC	1575
GCLM	2303
GCM1	2580
GCM2	2241
GCN1	7874
GCNA	2591
GCNT1	2323
GCNT2	3250
GCNT3	3116
GCNT4	2819
GCNT7	1509
GCOM1	4699
GCSAML	3574
GCSAML-AS1	1712
GCSH	951
GDA	5140
GDAP1	2338
GDAP1L1	1464
GDAP2	3789
GDE1	2525
GDF1	2317
GDF10	2477
GDF11	4151
GDF15	922
GDF2	3109
GDF3	1036
GDF5	2168
GDF7	9067
GDF9	1596
GDI1	1972
GDI2	1983
GDNF	3971
GDPD2	1919
GDPD3	1106
GDPD4	1006
GDPD5	2903
GEM	1877
GEMIN2	703
GEMIN4	3281
GEMIN5	5204
GEMIN6	1091
GEMIN7	676
GEMIN8	994
GET1	1247
GET3	1080
GET4	1883
GFAP	645
GFER	574
GFI1	2440
GFI1B	1443
GFM1	2648
GFM2	2223
GFOD1	6898
GFOD2	2204
GFPT1	5212
GFPT2	2365
GFRA1	7345
GFRA2	4791
GFRA3	1788
GFRA4	759
GGA1	2111
GGA2	1817
GGA3	3142
GGACT	809
GGCT	887
GGCX	2576
GGH	1031
GGN	1522
GGNBP2	2490
GGPS1	1591
GGT1	1250
GGT3P	2140
GGT5	1864
GGT6	2321
GGT7	2329
GGTA1P	1295
GGTLC1	831
GGTLC2	752
GH1	190
GH2	658
GHDC	2151
GHITM	2182
GHR	3212
GHRH	276
GHRHR	821
GHRL	805
GHSR	1763
GID4	3534
GID8	4028
GIGYF1	5648
GIGYF2	3311
GIMAP1	4164
GIMAP2	1243
GIMAP4	1289
GIMAP5	1737
GIMAP7	1014
GIMAP8	3985
GIN1	1738
GINM1	1736
GINS1	2983
GINS2	2428
GINS3	1910
GINS4	2602
GIP	516
GIPC1	1597
GIPC2	3578
GIPC3	4210
GIPR	847
GIT1	2784
GIT2	3417
GJA1	2460
GJA10	1452
GJA3	5014
GJA4	1325
GJA5	2982
GJA9	2081
GJB1	1387
GJB2	2090
GJB3	1828
GJB4	1244
GJB5	1155
GJB6	1156
GJC1	4548
GJC2	1965
GJD2	2722
GJD3	3886
GJD4	1449
GK	1967
GK2	1668
GK3P	1668
GKAP1	1341
GKN1	498
GKN2	523
GLA	1050
GLB1	2061
GLB1L	2071
GLB1L2	2978
GLB1L3	2746
GLCCI1	1732
GLCE	3883
GLDC	1494
GLE1	3093
GLG1	4653
GLI1	2221
GLI2	4614
GLI3	3972
GLI4	1095
GLIPR1	1593
GLIPR1L2	1529
GLIPR2	1671
GLIS1	2607
GLIS2	3541
GLIS3	2815
GLMN	1663
GLMP	1334
GLO1	1816
GLOD4	1118
GLP1R	6482
GLP2R	2102
GLRA1	1516
GLRA2	1994
GLRA3	4647
GLRB	1437
GLRX	739
GLRX2	1053
GLRX3	1002
GLRX5	859
GLS	1517
GLS2	2223
GLT1D1	2702
GLT8D1	1293
GLT8D2	1642
GLTP	2193
GLUD1	2966
GLUD1P3	696
GLUD2	2285
GLUL	1565
GLYAT	969
GLYATL1	782
GLYATL2	1288
GLYCTK	1320
GLYR1	2339
GM2A	3393
GMCL1	3785
GMCL2	2730
GMDS	1435
GMEB1	3014
GMEB2	4081
GMFB	1312
