genes	453W	684C	CR3L	FLWA	FY2H	CYFZ	925L	9JD4	G4YW	4DUY	CZJE	36TS
PSMD14	47.1302	59.613901	35.873606	50.873652	55.33257	48.555279	37.583019	29.146503	29.757375	40.4771878	43.51095	38.9445341
SLC4A10	6.31543	7.9890697	5.42393453	7.353381	4.146821	3.37978403	3.15663313	4.0391349	6.4122366	3.424413157	10.19091897	1.786782957
RP11-334E15.1	1.14293	1.11112	1.19731	0.718569	1.27013	1.31416	2.02352	0.709576	0.964261	0.606575	1.26609	0.694051
DPP4	14.06959858103	24.24053	22.414386	28.47928	19.881734	14.0368234	20.476724	32.250452	19.799376	29.839778	18.210878	18.843894
IFIH1	13.25788	17.35093	18.46456	19.82349	32.33211	21.12266	18.93101	16.97933	17.792617	20.00323	16.36213	14.99216
GCA	243.165411	183.152347	216.189114	214.439959	221.126205	169.326361	226.81923	165.01886	266.98765	323.1625	160.03589	239.250247
KCNH7	0	0	0.268305	0.0983442	0	0.284551	0.077307	0.0460817	0.118117	0.126149	0	0.04982331
FIGN	0	0	0	0.494785	0	0	0.135076	0	0	0	0.00815476	0
COBLL1	4.4579904397812	7.219012	7.186095	7.7789678	3.677371	9.729275	23.620933	8.9539765208	10.7780539	14.4621229	9.1717021	7.7335688
AC013463.2	0.2167004	0.0263338	3.276256	0.283884	1.0543018	1.300892	0.8095972	0.3932566	0.9696891	0.7180461	0.3936047	0.7931448
SLC38A11	0	0.0246964	0.330139	0.5295634	5.48477400067877	1.169325	4.355126	1.327126	1.7563162	1.931859	0.0216161	0.743353
SCN3A	0.030690921411886	0	1.736886	0.348914	2.64734841448	0.6672536444549	2.077099	0.04791787068627	0.246633063	0.883258	1.912006	0.364370167
SCN2A	0.275944	0.1980344	0.63560073390468	0.36751446	0.179292	0.266671	0.3089786	0.230714	0.18482134	0.186677690775899	0.108036	0.09439094
GALNT3	25.138265	24.332424	30.029827	13.17273	18.87133	27.424614	11.985801	17.097932	12.159382	20.584231	22.4166620011736	13.253138
AC009495.2	9.15699	3.03649	3.84436	2.17139	4.26195	5.56881	3.2362	1.14693	4.12049	4.82595	7.8429	2.1063
TTC21B	8.250107	4.852546	7.363846	9.5806493	12.127411	11.092401	15.288078	13.113167	11.960794	9.774825	11.050727	9.026435
SCN9A	0.08222178	0.01817315	0.06237674	0.5961356	1.5683	0.93549659	1.407378838974	1.0705688	0.8979308	1.599082	1.0601342	1.405979
SCN7A	0.620712	0.159697	1.25528	0.481966	0.07627414	1.192328	0.5496501	0.9131716	0.714628	0.689185	0.4806578	0.347295
STK39	3.282112	4.40876	1.490378	6.124452	3.821027	2.483147	6.483316	4.12382	5.85977	2.216337	3.1741756	6.22393
CERS6	2.28018	2.873683	3.536023	4.068382	5.02064	2.571164	2.788758	3.4942	5.0498	3.1027	4.179316	3.435211
CERS6-AS1	5.0630677	8.552451	8.46603	5.01631	4.119829	8.263854	9.959006	8.170445	8.102448	4.27054	7.002071	5.362458
SPC25	0.997203	5.59985	1.41433	0.142932	0.747632	3.1581	0.729595	1.08402	1.1727	3.91376	1.760906	1.66528
DHRS9	7.025469	18.223292	6.5105998	5.744842	25.989328	12.322471	7.259609	7.798088	10.374781	16.040004	9.08064	7.951883
AC007556.3	0	13.5209	0	0	5.01984	1.74925	0	6.05359	0	1.08411	5.75079	0
BBS5	2.712841	1.439963	3.648305	2.85819	0.179225	1.801831	0.99506	1.330861	1.835447	0.460875	2.533315	1.862871
FASTKD1	42.060472	29.180762	25.680736	28.43724	25.293867	21.608246	35.676219	22.824475	24.829963	17.387667	22.553405	12.73934
PPIG	86.61055	88.513636	91.87858113	60.48499	79.7924	76.05022044288	79.677712	83.083161	75.15318	69.43890053	94.52343	76.91267
CCDC173	4.31716	1.27197	3.457184	0	2.8595722	0	0.26243	0.461565	0	0.0563475	2.8827241	3.186323
PHOSPHO2	16.081434070582	7.365178	9.012176	10.09571125	4.21785	13.316073	13.700687	5.996266	9.5560266	8.761156	8.681355	9.292307
KLHL23	1.724805	1.171665	6.827208745885	1.00005	0	1.86003	2.9359251	2.596147	2.501454	3.948135	0.3277423	2.1247377
SSB	142.820604013924	150.3561	100.19726	187.697534	122.7968046	111.748038	100.46213	103.233155	94.247741	86.593469	124.151836	101.4526058
METTL5	29.573104	49.633788	35.432658	32.299246	29.813566	44.128818	34.855311	38.723296	44.165445	35.249559	35.503786	26.4453930068516
UBR3	8.273405911	5.6737111511	14.142766339367	6.997631515	7.465144	7.719792247	8.4526360390736	8.74682549	13.68470622	5.945128	10.200159	8.57319098
MYO3B	0.3026109	0.942209	0.6006404	0.842762	0.086217	1.952817432865	1.4278529	0.0785904	0.4413846	0.751116	0.2835575	0.9897074
GORASP2	117.755448	82.922432	112.04061	116.688627	85.729192	88.0163119	73.276916024981	82.533575	90.711851	98.56339	98.986116	71.649801
TLK1	97.9419259	121.513672065588	97.2264600718604	98.50795462566	115.3087167594	69.1564372	79.281176	61.89576354914	55.850472201688	68.292653035578	91.87395800249	48.1898830339392
METTL8	13.6395095613	23.082275	28.855061864	21.0129298189234	24.288742	17.9529220003934	37.681816709	26.546922214549	28.0587520477505	17.689987	13.149424445	18.77851234
DCAF17	11.42112	9.53873	16.105243	9.958604	7.935396	12.043311	11.268017	10.295317	13.44817	13.154963556894	7.43772450973	11.1520465172
CYBRD1	31.60616	25.76325	24.940536	21.740435	29.35384	31.49552	40.13152	21.6954863	21.09621	26.26059	26.66656	18.875665
DYNC1I2	75.772323	60.550347	46.42463860866	43.6637569	58.352138	58.689321	45.573957	43.030376	49.432986	53.89874446	55.245077	41.43101
SLC25A12	12.565842	9.852145	10.743369	14.421222	14.6394313	16.835011	20.2933941	24.8775	16.465145	21.528215	16.323668	14.22891
HAT1	72.26343	76.936811	38.767941	78.009445	67.936188	55.594306	51.741131	56.627186	55.085905	74.385541	56.619633	51.774237
METAP1D	5.08016	6.812074	9.13707	6.353005	6.008364	10.646427	6.786638	11.154506	5.650663	12.978139	4.006548	2.12018
ITGA6	22.34523	35.53681	21.03705	18.526503	14.177914	16.92369	30.06525	37.595328	17.934883	16.279189	21.237883	28.732899
AC078883.3	7.59289	5.688273	8.03479	6.07219	8.49588	1.58092	0.977026	10.02912	3.577204	6.66855	6.69605	1.991927
AC093818.1	7.76662	10.42595	11.044847	10.972391	5.876374	10.94172	10.644078	7.989386	8.324446	7.99893	5.52526	13.51533
PDK1	15.09479	26.328449	28.48043	17.612776	23.326024	20.393351	25.873616	16.76109	21.646915	26.33295	17.28056	22.50808
MAP3K20	14.793121	17.503417	17.927516	12.67186	13.9084656	16.695761	12.80894	18.01069	13.7438	18.669355	19.342116	18.891956
CDCA7	3.535996333666	15.059331	6.718201	4.638205	7.886708	2.39586	4.577089	6.397276	4.105905	11.84389642	8.077082	5.244667529374
SP3	55.937146	42.78678	80.57572	45.430016	44.472009	38.82816	61.951763	66.735859	67.653703	55.799233	57.208636	46.641724
OLA1	56.931956	43.580627	48.44254	51.91788	34.320376	64.891186	53.937477	61.022738	51.98538	58.434995	69.888955	58.53392
CIR1	46.49076	48.420739	37.895263	45.156664	44.364537	45.29905	24.420581	26.94289	27.951854	23.581954	35.04571	34.720191
SCRN3	11.73898351	32.2795853	17.481135	12.9214285	18.1139670603	20.609828	22.941575	17.958346040292	27.464711	16.827304	16.11745	11.999482
GPR155	25.747269	20.46092	20.406897853	12.442101	18.58679	24.1804	14.10163	21.364361	17.206733	21.166167	26.76023	17.931341
RP11-483E17.1	0.84127	1.92129	3.73799	0.709937	0.60201	0.998538	1.24198	1.09332	1.57159	3.21213	1.14899	0.229419
WIPF1	233.0302	213.71906	215.788839	230.49371	205.572323	212.022685	181.508466	150.028601	159.71323	183.018533	232.686048	169.16077
AC010894.5	6.08932	7.31548	16.0546	7.93943	3.85967	9.57055	3.95345	5.53027	4.25469	5.44346	6.87321	10.1776
H3F3AP4	200.758	237.552	263.035	273.916	246.013	323.053	488.454	466.369	505.087	418.117	279.473	555.567
CHN1	5.5879015	3.7821245	5.447572	9.158945	4.6468473	1.2398934	4.847133	2.7240489	2.566915065	2.824282	5.470176	2.843933
ATF2	34.482375670037	34.615234	32.9131820380853	16.8548620005726	35.09678587291	30.902659984109	37.349513	28.471170747	27.69950738399	40.9000833884675	30.39141333493	26.209635
ATP5G3	82.28578	82.71444	82.56195	115.66	84.61683	99.18765	113.313577	110.77667	115.30467	114.95243	114.02961	97.00197
LNPK	14.810328	12.380112	10.50552	12.513	10.64682	9.93133	11.459323	15.272872	11.4597070055626	13.1519829038	15.50781	10.6394600019506
MTX2	19.60003	23.59985	21.414591	21.92351	10.66402	25.52159	15.40139	20.90276	23.16312	18.57551	24.14858	14.30735
HNRNPA3	64.02538	56.382094	134.598526	67.087363	86.831981	52.22626	33.88002	32.481782	31.2858156	30.39771	125.56819	80.1493
NFE2L2	137.757970002463	89.965218	217.3744339636	109.86923	99.640086	101.51643	90.32442	87.7711	98.490812	87.1194144229	166.35804490859	132.73981
AC074286.1	12.4111191	5.7649221	6.613262	5.2467771	6.816215	9.1754867	4.320986	4.547527	7.87698	9.431831	5.488538	6.3522946
AGPS	7.707153	14.546024	15.53341	10.725317	7.018091	7.178103	7.45847	11.303065	9.007636	12.87069	9.499008	4.981775
TTC30B	1.42878	1.38821	1.20052	0.558043	1.89078	1.1357	2.18639	2.16277	2.1302	1.24463	1.06479	0.663531
TTC30A	0.162019	0.863897	0.505049	0.237007	0.39567	0.36775	0.730592	0.390487	0.179642	0.95726	0.200152	0.212153
PDE11A	0.724003	0.578966	0.767404	0.46	0.67907	0.650028	0.571226	0.486948	0.548785	0.416347	0.474242	0.544707
RBM45	16.124168	21.026359	17.727547	20.866547	25.93911	19.92121	19.592338	16.883543	20.76510243204	19.472168	15.878349	8.848329
AC009948.5	14.114918	15.562945	11.434239	17.134974	23.397865	17.610288	13.014002	12.458578	16.076739	9.97699	9.695892	6.574789
PRKRA	57.97493	65.280474	56.08814	85.03349	54.287381	49.616001	48.1454932	31.783597	47.172055	29.337	59.823418	38.312941
DFNB59	0	2.279956	0.179819	1.248736	1.809004	1.127949	0.921968	0.303409	1.082254	1.76117	0.290506	0.25465
FKBP7	0.783849	1.856351	0.878492	6.105982	0.791217	2.399746	2.082133	2.4883	1.4786435	1.7658132	1.824654	1.010179
PLEKHA3	8.42184	7.368096	4.52696	6.317526	3.0539	5.034583	3.78896	3.073017	3.01398	5.377856	5.125864	5.569867
TTN-AS1	32.97237	42.365488	44.76305	36.6694280186375	36.034726	39.258143	50.111374	28.02888605	25.273011	29.00402	33.624185	33.4457418
TTN	7.8521517	9.7039142	14.28580000745	4.8338912	5.4886072417	4.0488692438908	10.03116470747	11.0398191	3.3458554	3.498710300015	7.7022737668923	5.18118964
RP11-65L3.4	0	0.874466	1.84517	0.572811	3.7134	2.98013	3.08285	1.22122	2.9433	2.16133	3.85344	2.38123
RP11-65L3.2	0.120826	1.49436	0.862437	2.92137	0.696714	1.7792	0.553141	0.6142	1.01263	1.40753	0.975013	0.943151
RP11-65L3.3	0.54257	0.799552	0.470449	0.0736545	0.111046	0.906321	1.11634	1.55998	1.4328	0.674256	0.772134	0.279085
RP11-171I2.2	1.22961	1.45173	0.221578	2.30671	0.2195	0.745792	0.801994	0.515611	1.11148	0.813128	2.61818	2.03085
CCDC141	7.2064354	3.879178	8.98468	1.3544869	6.9893617	7.6066842	13.608632	10.3821216	8.399105	6.686251	8.882263	3.894847
SESTD1	10.0129100793173	5.6167929534	18.704021	30.3615	9.277219	6.784991	30.488455	16.51935	14.202456	20.83838	17.071982	20.370710161923
CWC22	29.6249	34.5684	29.3923	31.0257	31.743	29.8033	33.5104	31.8607	33.4242	29.8677	35.2704	18.59609
UBE2E3	64.772468	48.690332	62.577561	82.3897938659	60.417151	45.179725	53.766812	49.5064067974731	62.1152190419654	52.685289	42.281609	57.082541
LINC01934	4.29194	7.445697	4.905538	6.20955	5.52035	4.62994	20.668107	7.080211	12.29468	9.137324	9.294373	5.109843
ITGA4	169.154639	176.80101	210.505906	116.914428	221.92382	190.67705	235.74273	215.45034	167.399309	255.65576	228.34224	152.475618
CERKL	48.870808	57.876783	52.0678733	45.57867	63.593006	49.933661	35.411692	38.766748	32.523364	46.493761	50.999984	38.117041
RP11-366L5.1	0.142782	1.60564	0.965441	0.10006	0.0888165	0.33994	0.716572	0.243421	0.200164	0.165015	0.052146	0.226446
SSFA2	25.486525128413	21.3990610125071	31.5858940616479	31.25504835225	28.2495665176894	24.48839	18.34070974	29.085635	34.781861	27.55484671	25.8335984079231	29.139352
DNAJC10	72.8858	72.73021	66.23547	71.92364	80.480015	50.3143540072747	75.36379	47.3705410016509	42.152812	49.304427	67.36465156	48.075476702181
FRZB	0.0296227	0	0	0	0	0.27655	0	0	0	0	0.0258467	0
NCKAP1	1.691044	3.4278662	1.1812371	4.1621558	1.971365	0.8804451	0.1849925	0.9766465	1.563778	0.323049	0.3104447	0.383367
DUSP19	2.045614	0.418631	1.581056	0.857488	0.837238	1.14346	0.999431	0.731629	0.979519	0.803418	0.550902	0.251522
NUP35	10.313401	12.33806	16.40594	10.6439	13.720562	9.262014	16.911503	14.434096	16.365478	14.188482	9.83192	9.435204744
RP11-363K21.1	1.06444	0.481908	0.856641	0.888654	0.930145	1.33683	1.85596	1.12421	2.56055	2.75982	0.632617	1.35627
ZNF804A	0.143286	0	0.138209	1.003229	0.888479	0.1679201	0.565604	0.744086	0.455847	0.904351	0.686303	0.0572873
FSIP2	4.445429	2.561105	6.248016	2.9704538	3.465635	3.2126766	5.72074497	4.474289	4.77101	3.0803793	3.925595	3.554085
LINC01473	0.724122	2.17564	0.742243	0.237302	0	2.483802	2.23993	4.22813	2.748317	1.317674	0.2088055	3.099841
ZC3H15	98.95118	95.05701	107.482161	97.190113	79.706403	90.721475	50.842479	60.2107254	63.172486	69.302802	104.85466	71.375612
ITGAV	5.94328000029972	11.48896	7.167626	7.77608000015531	7.52803	13.238573632	19.704508	3.359568	3.971888	10.292482396985	4.461889	6.015502
FAM171B	0.853942	0.650064	1.5025	1.07158	0.311543	0.901741	0.529402	0.777143	0.029043	0.529777	0.35244	0.963328
AC007319.1	0	0.302618	0	0	0.303104143	0	0	0	0	0	0.131353	0.413877
CALCRL	3.5384000311605	2.47570800072508	5.697906	3.9084400507229	2.1159110877333	4.1380657846	6.559378	3.0894490954699	6.157227	2.588523	8.9858373	4.420278
TFPI	4.2088	4.441727	4.820552	6.661815	6.081529	7.25192	5.9378294724	4.52779	2.639476	4.663789	4.440161	4.283382
GULP1	1.2067455	1.6698115	0.8530259	0.900368	1.731416	1.0372276	2.3047592	1.7361294	1.342455	1.0977794	2.0330207	2.275437
COL5A2	0.0281692	1.554217	0	0.0138872	0	0.0730356	0.280602	0.397281	0	0.0177978	0.23712700131534	0.172819
WDR75	26.39923469	35.621402	26.52039	15.956587	26.54838	31.183379	26.387788258191	24.9094350624906	29.910291091	29.4487910018891	17.949120131329	16.19448482976
SLC40A1	70.958333	63.654723	84.7395	103.407	86.962293	61.64298	55.707338	53.346262	51.849537	62.84768	58.367782	49.561211
ASNSD1	53.9675621702	38.440357883	35.594845	68.92498077883	49.1403800059733	40.64107	58.7413000992083	45.28945	39.45858	48.01048	44.63800531	32.541664
ANKAR	8.996256006	5.013138	16.5279	7.1639328	9.94602	11.561996	10.998822	12.57551016659	11.057251	8.05917019320441	5.9944574	4.3391185
OSGEPL1	15.524618	11.240672	11.919344	12.2075024	8.108712	13.660895	17.820012	22.802988	11.925376	12.238829	5.81651992714	5.24377
OSGEPL1-AS1	6.937132	4.88796	7.32656	5.189446	10.1114	10.049382	5.035254	1.65428	2.50161	3.34539	5.35419	7.69021
ORMDL1	441.74811	487.15104	341.80849868	459.21688242	326.103415	331.8708	354.2721	308.137653	292.63716	371.224087	356.022854	242.20501
PMS1	26.50490983817	31.093719251052	20.25462	29.26976331	18.883095	24.83186782871	28.571889	24.78348122387	22.4943742	22.459222	24.2608875026686	25.08524213
C2orf88	13.247067	13.1025534	26.496825	27.576860583	16.637874	22.778467	36.430936	29.196721	21.523236	24.545192	30.567982	24.231279
HIBCH	49.439793	41.810027	41.632275	27.9968986	29.626353	34.593194	43.9781436	30.6533183	32.292522	28.158437	19.9416396	21.5346997
INPP1	12.026725	15.87358	6.699657	6.043376	13.524619	14.497862	13.124873	9.136652	11.427039	17.88115	13.834763	6.824328
MFSD6	10.263916	6.5935	11.653972	8.193346	4.438419	9.042637	10.373714	13.4155820004902	11.430158	13.31233972457	12.4242348767	9.7286528
NEMP2	10.10704	10.0541	10.3443112	9.465063	11.045647	10.14822	15.4589366	8.928693	12.70641	18.695357	9.4932	11.150134
RP11-284E5.1	2.7520361	1.3570597	2.756121	1.818503	2.71936	4.2281183	1.334173	1.973812	1.13448	0.740241	1.623885	1.202617
NAB1	11.018313	7.617254	6.95039	11.120048	24.921045	7.174707	11.313948	6.120768	9.036716	4.989436906	11.759037	10.957241
GLS	49.775868	33.820473	35.632318	38.592306	42.24747	42.7975959	35.248534	48.056255	30.911170839086	35.313336	28.1897802	30.619999
STAT1	189.457935	209.71234	161.04705164577	168.114775	476.38495	194.764946	144.13027	182.732592	153.246723003617	165.817736483053	117.076453	194.319710001563
AC067945.4	25.01286	5.41776	18.42419	19.09	8.1068	15.73271	11.1876	8.8261	12.326021	11.6063	8.73895	8.96511
STAT4	159.48827	103.08125	118.41435	132.9211	86.56012	133.688944	121.415581	122.1348	102.06858	106.504095	116.42065	95.357277
MYO1B	0.170152	0.728673	0.0715937	1.374197	0.814926	1.437741	2.7732402	0.74076049	0.348812	1.06133	0.765779	0.161026
NABP1	94.58473	133.13428	72.71378	82.36826	135.68813	118.05531	118.343892	111.08811	112.58534	199.43413	86.09442	62.153232
SDPR	109.3	99.6622	163.264	230.194	191.938	168.083	143.999	144.062	96.2789	129.754	153.24	143.199
AC098617.1	0.309589	0.641037	0.394778	0.452927	0.519496	0.205617	0	0.453127	0.493718	1.09952	0.313578	0.262422
TMEFF2	0	0	0	0	0	0	0	0	0.0259173	0	0	0
LINC01825	1.81579	0.139612	1.51263	3.02457	1.95861	0.580371	1.29905	0.889306	1.43483	0.177971	2.78962	0.133311
SLC39A10	16.508905	12.089569	14.133691	13.018781	14.01179785	15.739913	14.851523	12.481102	12.864279	12.532093462	15.14426579383	14.806411
DNAH7	0.9995547	0.2790324	2.011599	3.8502469	0.173421	0.4239691	2.938147	3.370533	1.417464	3.505015	2.0838685	0.80612
STK17B	378.69015	334.530734	317.62736	359.853348	331.55985	249.915221	204.367847	205.417428	198.262022	231.428938	367.103237	313.13916
RP11-347P5.1	18.5882	24.3264	15.0298	24.2949	20.4348	16.2533	14.1977	10.0658	12.2404	13.1649	22.0413	20.2357
HECW2	2.072788	0.0405876	0.161072	2.0522134	5.3309949	5.503348	2.123366	0.311859	4.444121	0.305826	4.5121304	2.51848
AC020571.3	7.22706	8.817515	7.82594	10.63543	2.160931	2.28348	4.155762	5.1846	3.04962	4.506242	3.53034	5.88187
CCDC150	0.654526	1.1465	2.72349	0.8781901	2.0692206	1.014714	0.471713	0.721788	1.763852	0.848109	2.207991	0.335228
GTF3C3	49.3375	41.44364	37.855098	28.248302	44.35961	35.235106	31.352451	20.266298	33.44589	33.680228	40.671779	40.33869
PGAP1	4.01955903	2.5999058	2.55044168	1.411744	8.6986282	3.7205792	3.5506442	4.4334705	2.3567821	1.55430040677	2.5343523	1.8993663959
ANKRD44	338.216665	276.187421	376.49293	294.5323486	244.770262	305.243506	350.833721	332.721373	280.109997	282.999658	247.745471	237.077466
AC017035.2	0.881732	1.17404	3.57231	1.35076	1.07998	1.62744	1.72106	0.980439	1.83071	0.248995	0.681832	1.96373
ANKRD44-IT1	5.70426	8.27001	6.75936	10.0228	10.398	7.04614	13.6778	7.74916	7.92944	5.24758	3.23423	3.54461
ATP5G2P3	5.17251	4.75933	22.4444	5.92982	5.16307	12.5578	16.4682	11.328	4.40508	6.66613	6.67495	0.409947
SF3B1	625.92889	654.4623809	734.91294	586.960380609346	552.26156	514.95343	423.06675	375.312586	419.03705	531.2507	517.4515	401.84984
COQ10B	101.51075	79.06169	88.68252	66.22356	81.70088	63.50106	46.73309	48.009826	43.912946	44.34691	102.60487	89.43376
HSPD1	122.239275	145.402398	133.58955	141.138996	104.7036403	136.0162	125.68601	121.65593	110.619945	121.59709	147.4422	112.178783823477
HSPE1	51.13433	48.80425	66.80549	68.43846	39.609067	40.883621	27.680027	34.66998	32.28423	26.271168	46.01259	41.001172
HSPE1-MOB4	17.7885	11.4008	6.97504	12.7586	12.156	9.02202	15.3638	17.2204	21.6863	21.0916	19.573	5.26611
MOB4	43.74311	71.45461228543	49.43758210116	48.35067	43.09762	66.60092	46.2324941	56.5376049043306	47.88403	48.30549	52.97074	44.73229
RFTN2	0.414018	0.282204	0.43925	0.303287	0.2459340223628	0.188103	1.005902	0.31066	0.344834	0.3120241	0.44438	0.228089
MARS2	6.50833	3.85063	7.28921	4.60446	1.6555	3.00415	8.17282	6.85675	5.96949	8.39113	4.89044	5.94489
PLCL1	1.997867	1.20527	1.0471349	2.826434	2.74778	3.958621	0.629104	1.04098300073224	2.270992	3.111313	3.58269	2.212387
SATB2	1.0933629	2.5448763	0.934117	0.9178693	0.981471	1.081546	1.197361	0.0989144	0.671333	1.765299	0.9921273	0.346476
FTCDNL1	1.42474	2.504192	1.988939	2.392271	5.6853	3.094795	1.72505	1.40112	3.30173	1.49345	2.555642	2.011822
AC073043.1	5.230049	5.013745	12.264866	8.967818	5.8932976	4.527257	7.149651	1.060495	0.95193	2.34284	3.249071	4.281206
C2orf69	12.9156	10.4085	9.81788	11.888	15.236427	14.9317	11.7289	11.2521	9.38204	10.0844	17.5479	10.5007
TYW5	7.153856	6.086564	5.346579	4.95794025	6.995163	5.605527	5.931963	7.972882	6.83703200019622	4.072805	6.5287200303054	5.23212
MAIP1	15.92487	17.764	16.442251	16.12021	17.50783	10.21212	12.633637	14.19831	22.494794	18.75816	9.10284	22.40185
SPATS2L	8.335361569	8.509840627	7.354756763	10.30974414245	11.872467249	5.281472167	6.119530705	7.3453291852	7.683550733	9.886458655	6.619109925	4.368120584721
KCTD18	7.819561	8.858597	11.232904	16.43341	9.575681	6.774581	10.28017	11.499329	14.06499	8.935304	17.82706	10.703944
SGO2	5.356007	6.503915	5.077828	4.827072921	3.55879	3.802213	4.68486	1.827757	3.443302	5.8412	5.811118	3.19487
AOX3P	0	0	0	0	0	0	0	0.357872	0	0	0	0
AOX3P-AOX2P	0	0	0	0	0	0	0	0	0	0.968611	0.432949	0
AOX2P	0.144998	0.0713928	0.470661	0.354018	0.287665	0.219999	1.0710003	0.132161	0.247606	0	1.2592422	0.0687495
BZW1	249.564984	211.335575	221.682322601779	228.44722	189.7508256379	184.508445	158.920022	126.07925	127.941975	151.88541	273.42391309865	219.989559
CLK1	437.12271	332.6216	474.2777	336.5103	338.4259006	298.5199	219.893054	268.09337	249.9534602	310.747874	550.07107	560.252544
Y_RNA	0	12.709	8.43497	12.2587	0	3.34156	13.2083	8.51265	0	7.84628	0	8.78322
PPIL3	60.09696826	67.905678	45.342323	50.523605	70.5670797	70.485572	52.078013	43.600683	60.662094	61.655721	52.0883	23.270336
NIF3L1	28.625325	28.249572	15.64387	21.2385910107039	29.86102	31.606637	32.99768	31.164149	17.8566912069271	32.67258	31.155295	9.92272
ORC2	12.242813	21.11356	19.23983	26.20831	24.3815	21.640293	25.595	16.537152	23.62372	29.19072	14.706811	17.016938
FAM126B	32.748786	19.01557	32.190354	24.498584	32.547759	23.50536	30.752107	24.04429	18.501595	22.116148	27.624778	15.451415
NDUFB3	32.54674	35.44916	21.82395	52.6992	52.39319	39.83587	31.47119	38.527296	41.81972	38.94765	25.89929	29.57448
CFLAR	150.50590618	142.699432330532	137.80853736	139.73455	156.029465	218.817212	158.758580007414	134.809835	144.26075338287	141.943657	138.907798	133.854704
IMPDH1P10	6.07605e-09	0	0	0.409945	0	0	0	0.0079456	0	0	0.35214	0
CFLAR-AS1	5.195367	19.260649	7.30635	10.331427	7.822545	17.729919	13.2474291	7.2757459	9.911988	7.498771	5.353301	24.061301
CASP10	25.534388	28.826012	27.3651207	21.966295384302	31.716658	30.34186	24.54714421113	25.7121390558676	33.563577	29.99292	18.30686	20.63542
CASP8	117.34413801449	93.515142	96.835351	178.94656	124.877816	142.9221911	122.108395	107.811865	111.059282	129.581392	125.1628453	76.242075
ALS2CR12	5.7924127	5.945418	11.428522	6.44615731946	4.159068	1.9564309	6.2520883	2.967079	5.931308	3.476798	2.712597	3.529894
TRAK2	18.135861	15.009868	22.249041	12.92747	17.09088	18.906079	18.59332	16.299199	12.271838	24.683947	18.48335	10.799687
STRADB	117.486219	54.268302	75.10133	85.219604	135.468567	119.81876	80.899645	81.717229	45.98747	108.817745	46.59029	65.413921
AC007256.5	0.348543	1.78921	1.03066	1.36944	0.0345591	1.19515	0.833356	0.824099	0.645159	0.788863	0.8196	0.36743
TMEM237	0.847042	3.76730003187691	5.222905	4.8784798	3.69313550333	4.216135	3.237153	3.973633015	2.21526506962	4.497212449	8.2583221035329	1.36534887287
ALS2	9.738633	9.381304	5.8756230412295	5.1125253	5.690312	4.762695	2.1773502	5.9685713	4.0875395	7.88758	8.683467	6.268703
CDK15	1.457953	0	0	0	0.0254228	0.447283	0.514775	0.0232151	0.0238553	0.0320663	0.0221211	0.0242954
KIAA2012	0.567933	0.468399	1.006376	0.646186	0.5107753	0.490892	0.535099	0.4171853	0.5495047	0.6583134	0.504326	0.428687
SUMO1	158.432102	134.789968	123.38582	125.249035	129.4691946254	134.031507	84.14108311409	86.954609469	97.14276	88.36674890645	173.180796	110.043935
NOP58	201.211841	168.293963	134.604112	162.045181	114.580735062559	147.562332	85.45961	100.541498	100.218301	85.828074	196.56463	119.919422
BMPR2	6.48804432479	5.044536	7.88988	6.28938	3.495109	2.63255800031594	4.260178	4.30454	6.564996	3.41904703487	4.678667	2.967536
FAM117B	16.902756	20.9714	29.55695	23.068705	21.965192	11.40032	22.274439	20.67028	22.63401	23.408208	23.075537	12.421
ICA1L	4.762728	7.146446	8.728477	4.4759071	5.8600477	6.90304669	6.980434	3.4995370409	3.3344836	3.6555614	5.917203	4.557164
WDR12	9.566906	66.79119	27.5001607	51.39089	37.303804	34.2107763	36.178002	28.2114	46.07238	28.970122	37.34681	29.27109
CARF	16.712189	9.9135757778	9.572758198903	8.6809763	5.1580070573822	7.0282934	11.2925670121523	8.659086	7.388728392941	13.5744152	8.231473	6.812578
NBEAL1	18.76044	14.691926	18.225603	13.565354	12.712341	15.15424	38.26141	15.690763944	16.23192	12.013964	15.907207	15.44724
CYP20A1	44.791922	24.323743	28.972018183453	31.5660993662013	35.69917	36.021763	29.072963076	27.70007	32.58144	27.823563	35.78484	28.023140154891
RN7SL670P	38.2657	22.7575	64.8501	44.7016	30.8173	39.7552	41.2432	24.3031	24.2299	21.7325	30.0654	34.9622
ABI2	23.755643	11.0204721	16.3994	27.310277	19.694843	20.161702	21.387724	26.5724673	14.730697	17.89895556912	20.067551	17.0624940199
RAPH1	1.699055	0.425034	2.65381622414	0.82822946064	0.50567240748	3.15464816531	0.4837059	0	0.677053	0.839968	1.333818	2.02601490019
CD28	24.6027150029593	24.180545	21.97692	17.672	14.6634	15.7622	24.121479	21.4812	23.867461	42.08041	28.08766	22.580588
CTLA4	25.60437	1.5306484	14.68212	2.982714	28.87314	3.934497	4.77511	9.27842	1.715019	2.243243	3.520811	7.37985
ICOS	28.8387	26.2868	30.6291	18.0053	17.8168	21.5239	15.1593	15.7043	17.6857	33.9013	35.4752	36.4515
NRP2	0.706566	1.7888989886	1.7972262	2.1025292	1.558578	2.3120496	1.4455423	0.883209	2.564209	2.0923245	4.5532461	1.429309
