gene	LAU125	LAU1255	LAU1314	LAU355
AC051642.1	8.85	3.59	2.85	14.84
AC051649.1	0	0	0	0
AC051649.12	0	0	0.17	0
AC053481.2	1.11	0.09	1.27	1.7
AC053503.11	0.27	0	0	0
AC053503.2	0	0	0	0
AC053503.4	0.12	0.03	0	0
AC053503.6	0	0	0	0
AC053527.1	0	0	0	0
AC055715.1	0	0.02	0.05	0.55
AC055758.1	0	0	0	0
AC055764.1	0	0.17	0.06	0
AC055813.1	0	0	0	0
AC055839.1	0.35	0.57	1.98	2.18
AC055855.1	0.03	0.04	0.05	0.22
AC055869.1	0	0	0	0
AC055873.1	0	0	0	0
AC055876.2	0.12	0	0.08	0.28
AC055876.3	0	0	0	0.04
AC055876.5	0	0	0	0
AC058333.1	0	0	0	0
AC058791.1	0.6	1.27	0.5	0.55
AC060225.1	0	0	0	0
AC060764.1	0	0	0	0
AC060780.1	1.2	1.17	1.75	1.93
AC060834.2	0	0	0	0.01
AC060834.3	0	0	0	0
AC060835.1	0	0	0	0
AC061961.2	0	0	0.07	0
AC061975.1	0	0	0	0
AC061975.2	0	0	0	0
AC061975.3	0	0.1	0	0
AC061975.4	0	0	0	0.77
AC061975.5	0	0	0	0
AC061992.2	0.1	0.09	0.42	0.19
AC061999.1	0	0	0.79	0.11
AC062016.1	0	0	0	0
AC062016.2	0	0	0	0
AC062016.3	0	0	0	0
AC062017.1	0	0.12	0.16	0.05
AC062020.1	0	0.04	0.19	0
AC062020.2	0	0	0	0
AC062021.1	0	0	0	0
AC062022.1	0	0	0	0
AC062028.1	0.02	0.01	0.01	0.02
AC062029.1	1.63	0.72	2.11	1.97
AC062031.1	0.1	0	0	0
AC062032.1	0	0	0	0
AC062037.1	0	0.11	0	0.19
AC063927.1	0	0	0	0
AC063927.2	0	0	0	0
AC063927.3	0	0	0	0
AC063927.4	0	0	0	0
AC063927.5	0	0	0	0
AC063927.6	0	0	0	0
AC063927.7	0	0	0	0
AC063927.8	0	0	0	0
AC063944.1	0	0	0	0
AC063950.1	0	0	0	0
AC063956.1	0	0	0	0
AC063962.1	0	0	0	0
AC063965.2	0.11	0.1	0.67	0.69
AC063976.1	0	0	0	0
AC063976.2	0	0	0	0
AC063976.3	0	0	0	0
AC063976.6	0.06	0	0	0
AC063976.7	0.01	0.01	0.03	0.01
AC063979.1	0	0	0	0
AC063980.1	0	0	0	0
AC064801.1	0.62	0.44	0.91	0.98
AC064834.1	0	0	0.03	0.03
AC064834.2	0	0.23	0.6	1.8
AC064834.3	0	0.05	0	0
AC064836.1	146.19	407.11	438.11	1098.729
AC064836.2	0	0	0	0
AC064836.3	0.07	0	0	0
AC064843.1	0	0	0	0
AC064847.4	0	0	0	0
AC064850.4	0.03	0.03	0	0
AC064852.4	0.2	0	0	0
AC064853.2	0	0	0	0
AC064853.3	0	0	0.07	0
AC064853.4	0.06	0.13	0	0
AC064865.1	0	0	0	0
AC064871.3	0	0	0	0
AC064874.1	0	0	0	0
AC064875.2	5.92	0.56	0.09	0.03
AC066616.1	0	0	0	0
AC066616.2	0	0	0	0
AC066616.3	0	0	0	0
AC066616.4	0	0	0	0
AC066692.1	0.18	0	0	0
AC066692.3	0.06	0	0	0
AC067717.1	0	0	0	0
AC067718.1	0	0	0	0
AC067721.1	0	0	0	0
AC067735.1	0	0	0	0
AC067742.1	0	0	0	0
AC067930.1	0	0	0	0.16
AC067940.1	0	0	0	0
AC067941.1	0	0	0	0
AC067945.1	5.23	6.91	10.5	11.16
AC067945.2	0.01	0	0	0
AC067945.3	0.08	0.12	0.04	0
AC067945.4	0.17	0.25	0.85	0.9
AC067956.1	0	0	0	0
AC067957.1	0	0	0	0
AC067959.1	0.06	0.22	0	0
AC067960.1	0	0	0	0
AC067961.1	0	0.04	0	0.08
AC068020.3	0	0	0	0
AC068035.1	0	0	0	0
AC068039.4	3.02	6.22	3.38	4.73
AC068042.1	0	0	0	0
AC068044.1	0	0	0	0
AC068057.1	5.05	0	0	0
AC068058.1	0	0	0	0
AC068062.1	0	0	0	0
AC068134.10	0.16	0.28	0.35	0.06
AC068134.6	0	0	0	0
AC068134.8	0	0	0	0
AC068135.1	0	0	0	0
AC068137.1	0	0	0	0
AC068137.10	0	0	0	0
AC068137.11	0	0	0	0
AC068137.12	0	0	0	0
AC068137.13	0	0	0.14	0.04
AC068137.2	0	0	0	0
AC068137.3	0	0	0	0
AC068137.4	0	0	0	0
AC068137.5	0	0	0	0
AC068137.6	0	0	0	0
AC068137.7	0	0	0	0
AC068137.8	0	0	0	0
AC068137.9	0	0	0	0
AC068138.1	0	0.02	0	0
AC068152.1	0	0	0	0
AC068152.2	6.72	2.38	5.6	3.79
AC068152.3	3.1	0.55	2.74	0.76
AC068193.1	0.08	0.12	0.16	0.19
AC068196.1	0	0.05	0.34	0
AC068228.1	0	0	0	0
AC068234.1	0.22	0	0.51	0.89
AC068279.1	0	0	0.06	0
AC068279.2	0	0	0	0
AC068279.3	0.14	0.03	0.11	2.58
AC068280.1	0.9	0	0.08	0
AC068282.3	0.27	0.52	0.52	1.35
AC068286.1	0	0	0.06	0.11
AC068287.1	0	0	0	0
AC068288.1	3.78	1.33	3.16	2.38
AC068292.1	0	0	0	0
AC068302.1	0.12	0.22	0.5	0.32
AC068338.1	0	0	0	0
AC068338.2	0	0	0	0
AC068338.3	0	0	0	0
AC068338.4	0.09	0.05	0.12	0.12
AC068353.1	8.48	0.54	7.47	6.84
AC068476.1	0	0	0	0
AC068481.2	0	0	0	0
AC068483.1	0	0	0	0
AC068489.1	0	0	0	0
AC068490.1	0	0	0	0
AC068490.2	0	0	0	0
AC068491.2	0.04	0	0	0
AC068491.3	0	0.04	0.02	0
AC068492.1	0	0	0	0
AC068499.6	0	0	0	0
AC068506.1	0	0	0	0
AC068522.4	0	0	0	0.11
AC068533.1	12.18	4.83	5.87	5.3
AC068533.7	6.7	2.29	3.14	3.16
AC068535.2	0	0	0	0
AC068535.3	0.4	0	0	0
AC068538.1	0	0	0	0
AC068538.2	0	0	0	0
AC068538.4	0	0	0	0
AC068539.1	0.02	0.01	0.01	0.02
AC068542.1	0	0	0	0
AC068570.1	0	0	0	0
AC068580.5	0	0	0	0
AC068580.6	0.14	0.2	0.21	0.17
AC068580.7	0.09	0	0	0
AC068584.1	0	0	0.09	0
AC068587.1	0	0	0	0
AC068587.2	0	1.78	0	0
AC068587.3	5.19	0.86	3.61	1.55
AC068594.1	0	0	0	0
AC068620.1	0.08	0.22	0	0
AC068643.1	0	0	0	0
AC068648.1	0.92	0.45	0.36	0.64
AC068657.2	0	0	0	0
AC068669.1	0	0	0	0
AC068669.2	0	0	0	0
AC068669.3	0	0	0	0
AC068704.1	0	0	0	0
AC068706.1	0	0	0	0
AC068718.1	0	0	0	0
AC068754.1	0	0	0	0
AC068756.1	0	0	0	0
AC068765.1	0.1	0.05	0.1	0
AC068799.1	0	0	0	0
AC068831.10	0.67	0.19	0.28	0.32
AC068831.2	0	0	0	0
AC068831.3	0	0.16	0	0.16
AC068858.1	0	0	0	0
AC068870.1	0	0	0	0
AC068888.1	12.92	4.84	3.19	1.44
AC068896.1	0	0	0	0
AC068946.1	0	0	0	0
AC068988.1	0	0	0	0
AC068993.1	0	0	0	0
AC069061.1	0	0	0.08	0
AC069063.1	0	0	0	0
AC069067.1	0	0	0	0
AC069082.1	0	0	0	0
AC069113.1	0	0	0	0
AC069154.4	0	0	0	0
AC069155.1	0	0	0	0
AC069157.1	0	0	0	0
AC069200.1	0	0	0	0
AC069209.1	8.06	4.03	0.58	1.17
AC069213.1	0.22	0.08	0.25	0.43
AC069213.4	0	0	0	0
AC069224.1	0	0	0	0
AC069240.1	0	0	0	0
AC069257.6	0	0	0	0
AC069257.8	0	0.46	0	0.72
AC069259.1	0.04	0.07	0.03	0.02
AC069271.1	0.08	0.08	0.16	0.28
AC069277.2	0.02	0.05	0.07	0.18
AC069282.6	4.92	0.35	4.07	2.04
AC069286.1	0	0	0	0
AC069287.1	0	0	0	0
AC069294.1	0	0	0	0
AC069304.1	0	0	0	0
AC069356.1	0	0.06	0	0
AC069363.1	0.16	2.8	0.44	0.57
AC069368.3	25.33	15.82	10.71	8.44
AC069394.1	0	0	0	0.04
AC069462.2	0	0	0	0
AC069509.1	0	0	0	0
AC069509.2	0	0	0	0
AC069513.4	0.24	0.22	0.58	1.17
AC069542.1	0	0	0	0
AC072028.1	0	0	0	0
AC072052.7	0	0	0.22	0
AC072061.2	0.18	0	0	0
AC072062.1	0.06	0.06	0.06	0.16
AC072062.3	0	0	0	0
AC073043.1	0	0.06	0.41	0.24
AC073046.25	0.54	0.95	0.85	2.53
AC073052.1	0.22	0.38	0.59	0.19
AC073055.2	0	0	0	0
AC073063.1	0	0	0	0
AC073063.10	1.02	0.43	0.33	0.34
AC073063.13	0	0	0	0
AC073063.2	0	0	0	0
AC073065.1	0	0	0	0
AC073065.3	0.05	0.05	0.06	0.18
AC073069.2	0	0.12	0	0
AC073071.1	0	0	0	0
AC073072.1	0	0	0	0
AC073072.2	0	0	0	0
AC073072.5	0.13	0.23	2.4	1.69
AC073072.6	0	0	0	0
AC073072.7	0.09	0	0	0
AC073082.1	0	0.02	0.18	0.16
AC073091.2	0	0	0	0
AC073094.4	0	0	0	0
AC073101.1	0	0	0	0
AC073107.1	0	0	0	0
AC073109.2	0.03	0	0	0.02
AC073115.6	0	0.09	0.89	0.34
AC073115.7	0.05	0	0.28	0.31
AC073130.1	0.2	0.03	0.04	0
AC073130.3	0.77	0.09	0.24	0.14
AC073133.1	0	0	0	0
AC073133.2	0	0	0	0
AC073135.1	2.03	0	0	0
AC073135.2	0	0.05	0.04	0
AC073135.4	0	0	0	0
AC073135.6	0	0.08	0	0.07
AC073138.1	0	0	0	0
AC073143.1	0	0	0	0
AC073149.3	0	0	0.31	0.4
AC073150.1	0.02	0.03	0	0
AC073150.6	0	0	0	0
AC073210.1	1.95	1.14	1.39	1.45
AC073215.1	0	0	0	0
AC073218.1	0	0	0	0
AC073218.3	0	0	0	0
AC073254.1	0	0.09	0	0.08
AC073255.1	0	0	0	0
AC073255.2	2.66	1.75	1.94	1.73
AC073257.1	0	0.05	0	0.18
AC073257.2	0	0	0	0.05
AC073261.1	0.02	0.03	0	0.05
AC073263.2	11.78	15.54	41.69	37.51
AC073264.1	0	0	0	0
AC073264.10	0.16	0	0	0
AC073264.6	0	0	0	0.29
AC073283.4	0.02	0.06	0.01	0
AC073283.7	0	0.03	0.06	0.1
AC073284.1	0.24	1.41	2.81	3
AC073284.4	0	0	0	0
AC073308.1	0	0	0	0
AC073310.4	0	0	0.08	0
AC073316.1	0	0	0.03	0.04
AC073316.2	0	0	0	0
AC073321.4	0	0	0	0.03
AC073321.5	1.94	0.17	5.45	6.75
AC073325.1	0	0	0	0
AC073325.2	0	0	0	0.33
AC073326.3	0.05	0.19	0.2	0
AC073333.8	0.08	0	0.04	0.04
AC073342.12	0.45	0.21	0	0
AC073343.11	0.19	0	0.58	0.08
AC073343.13	0.61	0.39	0.1	0.53
AC073343.2	6.1	0.1	1.77	3.56
AC073346.1	0	0	0	0
AC073348.1	0	0	0	0
AC073352.1	0	0	0	0
AC073352.2	0.29	0.21	0.4	0.34
AC073365.1	0.13	0	0	0
AC073366.1	0	0	0.08	0
AC073387.2	0	0	0	0
AC073409.1	0	0	0	0
AC073410.1	0.18	1.39	0	0.08
AC073415.2	0.84	0	0	0
AC073416.1	0	0	0	0
AC073416.2	0	47.75	59.21	1.66
AC073416.7	0.19	0	8.62	7.28
AC073421.1	0	0	0	0
AC073464.11	0	0	0	0
AC073464.4	0	0	0	0
AC073464.6	0	0	0	0
AC073464.7	0	0	0	0
AC073465.1	0	0	0	0
AC073465.2	0	0	0	0
AC073465.3	0	0	0.11	0
AC073476.1	0	0	0	0
AC073488.1	0	0	0	0
AC073493.1	0	0	0	0
AC073493.2	0	0	0	0
AC073493.3	0	0	0	0
AC073525.1	0	0	0	0
AC073534.1	0	0	0	0
AC073539.1	0	0	0	0
AC073544.1	0	0.02	0.19	0.04
AC073548.2	1.96	1.6	1.77	2.54
AC073551.1	0.03	0.03	0	0.1
AC073573.1	1.94	1.56	1.67	2.03
AC073585.1	0	0	0.26	0.11
AC073585.2	0	0.24	0.61	0.89
AC073588.1	0	0	0	0
AC073610.1	0	0	0	0
AC073621.2	0	0	0	0
AC073624.1	0.26	0	0	0
AC073626.2	0	0	0	0
AC073628.1	0	0	0	0
AC073635.5	0.05	0.05	0	0
AC073636.1	0	0	0	0
AC073641.2	0.07	0.07	0	0.12
AC073648.1	0	0	0	0
AC073657.1	1.03	0.46	1.32	0.92
AC073834.1	0.56	0.17	0	0.41
AC073834.3	0	0	0	0
AC073840.1	1.16	0.37	1.29	2.17
AC073842.19	0	0	0.28	0
AC073850.6	0	0	0	0
AC073869.1	0	0	0	0
AC073869.10	0	0	0	0
AC073869.11	0	0	0	0
AC073869.12	0	0	0	0
AC073869.13	0	0	0	0
AC073869.14	0	0	0	0
AC073869.15	0	0	0	0
AC073869.16	2.9	2.07	2.93	4.9
AC073869.2	0	0	0	0
AC073869.20	0	0	0	0
AC073869.3	0	0	0	0
AC073869.4	0	0	0	0
AC073869.5	0	0	0	0
AC073869.6	0	0	0	0
AC073869.7	0	0	0	0
AC073869.8	0	0	0	0
AC073869.9	0	0	0	0
AC073900.4	0	0	0	0
AC073905.4	0	0	0	0
AC073928.2	0	0	0	0
AC073934.1	0	0	0	0
AC073934.6	0	0	0	0
AC073940.1	0.21	0.21	0.44	0
AC073957.1	0	0.25	0	0.04
AC073957.15	0	0	0	0.04
AC073987.1	0	0	0	0
AC073987.2	0	0	0	0
AC074008.1	0	0	0	0
AC074011.2	0	0	0.05	0.12
AC074019.1	0	0	0	0
AC074019.2	0.44	0.54	1.51	0.99
AC074035.1	0	0	0	0
AC074051.1	0	0	0	0
AC074091.1	0	0	0	0
AC074099.1	0.12	0.13	0.44	0.36
AC074117.10	4.72	8.64	6.76	6.49
AC074117.13	0.08	0.14	0.3	0
AC074121.4	0	0	0	0
AC074129.1	0	0	0	0
AC074135.1	0.06	0.11	0.06	0.02
AC074135.2	0	0	0	0
AC074136.1	0	0	0	0
AC074138.1	1.67	0.8	2.01	1.56
AC074183.4	0	0	0.03	0
AC074257.1	0.47	2.11	2.24	2.23
AC074286.1	3.71	1.44	1.43	1.87
AC074289.1	7.07	6.14	15.72	12.75
AC074290.1	0	0	0	0
AC074322.1	0	0	0	0
AC074322.2	0	0	0	0
AC074338.4	0.31	0	0	0
AC074338.5	0	0	0	0
AC074363.1	0.12	0	0	0
AC074366.3	0	0.14	0.1	0.09
AC074367.1	0.07	0	0.15	0.11
AC074375.1	0.09	0.04	0.09	0.09
AC074386.1	0.41	0	2.07	2.76
AC074389.1	0	0	0	0
AC074389.5	0	0	0	0
AC074389.6	0.02	0	0	0
AC074389.7	0	0	0	0
AC074391.1	0.28	0.09	0.02	0
AC074391.2	0	0	0	0
AC076966.1	0	0	0	0.74
AC077690.1	0.15	0	0	0
AC078785.1	0	0	0	0
AC078794.1	0	0	0	0
AC078794.2	0.11	0.13	0.03	0.25
AC078799.1	0.03	0.05	0.01	0.1
AC078809.1	0	0	0	0
AC078811.1	0	0	0	0
AC078814.1	0.09	0.06	0.42	0.24
AC078816.1	0	0	0	0
AC078819.1	0	0	0	0
AC078842.3	0.1	0	0	0
AC078842.4	0	0	0	0
AC078851.1	0	0	0	0
AC078851.2	0	0	0	0
AC078852.1	0	0	0	0
AC078852.2	0	0	0	0
AC078855.1	0	0	0	0
AC078881.1	0	0	0	0
AC078882.1	0	0	0	0
AC078883.3	0.47	1.18	2.83	2.99
AC078883.4	0	0	0	0
AC078899.1	0.12	0.14	0.52	0.54
AC078899.2	0	0	0	0
AC078917.1	0	0	0	0
AC078927.1	0	0	0	0
AC078941.1	0.15	0	0.2	0
AC078942.1	0	0	0	0
AC078953.1	0.02	0.02	0.05	0.03
AC078974.1	0	0	0	0.01
AC078974.2	0	0	0	0
AC078983.1	0	0	0	0
AC078983.2	1.84	0.36	0.96	0.58
AC078992.1	0.05	0.09	0.14	0.22
AC078993.1	0	0	0	0
AC078994.1	0	0	0	0
AC079005.1	0	0	0	0
AC079005.2	0	0	0	0
AC079035.1	0	0.17	0	0
AC079062.1	0.05	0	0.02	0
AC079080.1	0	0	0	0
AC079089.2	0	0.12	1.03	0
AC079096.1	0	0	0	0
AC079112.1	0	0	0	0.02
AC079117.1	0.02	0	0.1	0
AC079117.2	0	0	0	0
AC079120.1	0	0	0	0
AC079135.1	0	0	0	0
AC079140.1	0	0	0	0
AC079140.2	0.15	0.03	0.51	0.07
AC079145.4	0.05	0	0	0
AC079150.2	0	0	0	0
AC079150.3	0	0	0	0
AC079154.1	0	0	0	0
AC079163.1	0	0	0	0
AC079193.1	0.43	0.18	0.51	0.51
AC079199.1	0	2.49	3.56	6.23
AC079199.2	0	0	0	0
AC079235.1	0	0	0	0
AC079248.1	0	0	0.02	0
AC079250.1	0.06	0	0.24	0
AC079305.10	0.39	0.59	0.06	0.53
AC079305.11	0	0	0.15	0
AC079305.5	0	0	0	0
AC079305.8	0	0	0	0
AC079316.1	0.06	0.05	0.12	0.06
AC079325.5	0	0	0	0
AC079325.6	0.11	0.16	0.45	0.82
AC079328.1	0	0	0.03	0.02
AC079336.1	0.02	0.02	0.11	0.06
AC079354.3	0.01	0.01	0.02	0
AC079354.5	0.74	0.2	0.32	0.27
AC079354.6	0	0	0	0
AC079355.1	0	0	0	0
AC079355.2	0.27	0.27	0.61	0.93
AC079395.1	0	0	0.56	0
AC079411.1	0.06	0	0	0
AC079448.1	0	0	0	0.14
AC079449.1	0	0.04	0	0.04
AC079460.1	0	0	0.23	0.35
AC079467.1	0	0	0	0
AC079584.2	0	0	0	0
AC079586.1	0	0	0.07	0
AC079587.1	0	0	0	0
AC079595.1	0	0	0	0
AC079595.2	0	0	0	0
AC079598.1	0.22	0	0.14	0
AC079598.2	0	0	0	0
AC079600.1	0	0	0	0
AC079601.1	0	0	0.02	0.12
AC079603.1	0	0	0	0
AC079610.2	1.92	1.5	2.78	3.2
AC079612.1	0	0	0	0.01
AC079612.2	0	0	0	0
AC079613.1	0	0	0	0
AC079628.1	1.22	1.58	0.19	0.3
AC079630.2	0	0	0.15	0
AC079630.4	0	0.18	0.6	0.28
AC079741.2	0	0	0	0
AC079742.4	0	1.86	0	0
AC079753.1	0	0	0	0
AC079753.4	0	0	0	0
AC079753.5	0.05	0	0	0
AC079767.2	7.63	2.93	2.26	1.53
AC079767.3	0.31	0	0	0
AC079767.4	0.68	8.69	90.82	125.74
AC079776.1	0	0	0.29	0.08
AC079776.2	0.23	0	0	0
AC079776.3	0.04	0.05	0.08	0.21
AC079776.4	0	0	0	0
AC079776.6	0	0	0	0
AC079779.4	0	0	0	0
AC079779.5	0	0	0	0
AC079779.6	0	0	0	0
AC079779.7	0	0	0	0
AC079780.3	0	0	0	0
AC079781.1	0	0	0	0
AC079781.2	0.31	0.11	0.2	0.32
AC079781.5	0	0	0	0
AC079781.7	2.59	0.31	0	0
AC079781.8	0	0.08	0	0
AC079790.2	0	0	0	0
AC079799.2	0	0	0	0
AC079804.1	0	0	0	0
AC079807.1	0	0	0	0
AC079807.2	1.29	0.67	1.47	0.84
AC079807.3	0.19	0	0	0
AC079807.4	0.08	0	0	0.02
AC079809.2	0	0	0	0
AC079811.1	0.04	0.01	0.08	0.11
AC079834.1	0	0	0	0
AC079834.2	0	0	0	0
AC079896.1	0	0.11	0	0
AC079915.1	0	0.03	0.09	0.05
AC079920.1	0	0	0	0.3
AC079920.2	0.37	0.44	0.85	0.79
AC079922.2	0.84	0.31	0.75	0.67
AC079922.3	0.36	0.62	0.2	1.29
AC079922.4	0.39	0.41	0.05	0
AC079944.1	9.79	6.07	1.87	3.37
AC079945.1	0.48	0.32	1.37	1.42
AC079949.1	0.62	2.65	2.83	9.94
AC079987.2	0	0	0	0
AC079988.1	0.11	0	0	0.34
AC079988.3	0	0	0	0
AC080002.1	0	0	0	0
AC080032.1	0	0	0	0
AC080037.1	0	0	0	0
AC080037.2	2.35	0.36	0.16	0.02
AC080075.1	0	0	0	0
AC080094.1	0	0	0	0
AC080112.1	0.11	0	0	0.05
AC080112.2	0.44	0.23	0.13	0.25
AC080125.1	0	0	0	0
AC080129.1	0	0	0	0
AC083799.2	0.01	0	0.05	0
AC083805.1	0	0	0	0
AC083809.1	0	0	0	0
AC083810.1	0	0	0	0
AC083811.1	0	0	0	0
AC083822.2	0	0	0	0
AC083829.1	0	0	0	0
AC083843.2	0	0	0.12	0.03
AC083849.1	0	0	0	0
AC083849.3	0.02	0.04	0.99	0.54
AC083849.4	0	0	0.02	0.05
AC083855.5	0	0	0	0
AC083862.1	0.61	0	0	0
AC083862.6	0.06	0.06	0.12	0
AC083863.5	0	0	0	0
AC083863.7	0.71	0.53	0.46	0.66
AC083864.3	0	0	0	0
AC083864.4	0	0	0	0
AC083867.4	0	0	0	0
AC083868.1	1.83	0.76	0	0.13
AC083873.4	0.09	0	0	0.04
AC083875.1	0	0	0	0
AC083875.2	0	0	0	0
AC083883.1	0.11	0.05	0	0.16
AC083884.7	0	0	0.16	0.22
AC083884.8	0.32	0	0.05	0
AC083899.1	0.07	0	0	0.03
AC083899.3	0.71	0.88	1.22	0.91
AC083900.1	0.12	0.29	0.12	0.52
AC083906.1	0.77	0.58	0.55	0.83
AC083906.2	0	0	0.1	0
AC083928.1	0	0	0	0
AC083939.1	0	0	0	0
AC083949.1	0.08	0.82	5.13	6.82
AC084018.1	0	0	3.27	1.13
AC084082.1	0	0	0	0
AC084082.3	0	0	0.13	0
AC084083.2	0	0.04	0.04	0.02
AC084121.14	0	0	0	0
AC084121.17	0	0	0	0
AC084125.1	0	0	0	0
AC084149.1	0.03	0	0	0
AC084149.2	0	0	0	0
AC084193.1	0	0	0	0
AC084219.4	6.27	4.04	7.8	7.36
AC084251.1	0.12	0.04	0.45	0.25
AC084262.1	0	0	0	0
AC084290.2	0	0	0	0.14
AC084368.1	0	0	0	0
AC084381.1	7.21	1.59	0.29	0.34
AC084398.2	0	0	0	0
AC084398.3	0	0	0	0
AC084782.1	0	0	0	0
AC084809.2	0.27	0.13	0.18	0.43
AC084809.3	0.05	0.1	0.22	0
AC084851.2	0	0	0.1	0
AC084872.1	0	0	0	0
AC084881.1	0	0	0	0
AC084882.1	0	0	0	0
AC087069.1	0	0	0	0
AC087069.2	0	0	0	0
AC087071.1	3.23	0.84	0.59	1.27
AC087071.2	24.91	5.03	5.82	5.66
AC087073.1	0	0	0	0
AC087163.2	0.15	0	0.12	0.41
AC087163.3	0	0	0.08	0
AC087164.1	0.15	0.11	0.33	0.66
AC087190.1	0	0	0	0
AC087237.1	0	0	0	0
AC087269.1	0	0	0	0
AC087284.1	1.58	0.46	1.56	1.64
AC087284.2	2.78	1.86	3.23	3.39
AC087289.1	0.12	0.21	0.44	0.49
AC087289.2	0.41	0.21	0.36	0.36
AC087294.2	0.06	0	0	0
AC087301.1	0.22	0	0.07	0.16
AC087380.14	0.03	0.09	0.25	0.15
AC087392.1	1.87	0	0.41	0.25
AC087392.4	0	0	1.26	0.13
AC087430.1	0	0	0	0.06
AC087433.1	0	0	0	0
AC087439.1	0	0	0	0
AC087482.1	0.03	0	0	0
AC087491.2	0	0	0	0.04
AC087499.10	0	0	0	0
AC087499.4	0	0	0	0
AC087499.5	0	0	0	0
AC087499.6	0	0	0	0
AC087499.7	0	0	0	0.08
AC087499.8	0	0	0	0
AC087499.9	0	0	0	0
AC087500.1	0.47	0.29	1.15	0.89
AC087501.1	0	0	0	0
AC087590.1	0	0	0	0
AC087620.1	0	0	0	0
AC087632.1	0.24	0.09	0.11	0.06
AC087650.1	0	0	0	0
AC087650.2	0.12	0.18	0.3	0.63
AC087650.3	0.59	0	0.6	2.06
AC087699.1	0.01	0	0	0.01
AC087738.1	0	0	0	0
AC087742.1	0	0	0	0
AC087749.2	0.35	0.99	1.11	1.2
AC087749.3	0.03	0.06	0.25	0.53
AC087763.1	0	0	0	0
AC087854.1	11.65	3.84	1.28	0.71
AC087878.1	0	0	0	0
AC087882.1	0	0	0	0
AC087893.1	0	0	0	0.04
AC089987.2	0	0	0	0
AC089999.1	0	0	0	0
AC090018.1	0	0	0.08	0
AC090044.2	0	0.97	0.51	0.29
AC090051.1	0	0	0	0
AC090058.1	0	0	0	0
AC090079.1	0	0	0	0
AC090099.1	0	0	0	0
AC090099.2	0	0	0	0
AC090150.1	0	0	0	0
AC090179.1	0	0	0	0
AC090186.1	13.08	9.6	21.08	15.36
AC090193.1	0	0	0	0
AC090204.1	0	0	0	0
AC090204.2	0	0	0	0
AC090204.3	0	0	0	0
AC090204.4	0	0	0	0
AC090204.5	0	0	0	0
AC090204.6	0	0	0	0
AC090204.7	0	0	0	0
AC090204.8	0	0	0	0
AC090204.9	0	0	0	0
AC090206.1	0	0	0	0
AC090283.3	0	0	0	0
AC090286.2	0	0	0.14	0.04
AC090286.4	0.04	0.15	0	0
AC090287.1	0	0	0	0
AC090338.1	0	0	0	0
AC090340.1	0	0	0	0
AC090360.1	0	1.27	4.39	4.7
AC090377.1	0.08	0	0.07	0
AC090393.1	0	0	0	0
AC090420.1	0	0	0	0
AC090421.2	0	0	0	0
AC090425.1	0.14	0	0.16	0.59
AC090427.1	0.03	0.1	0.11	0.11
AC090453.1	0	0	0	0
AC090505.1	0	0.06	0	0
AC090505.2	0	0	0	0
AC090505.3	0	0	0	0
AC090505.4	0.08	0	0	0.11
AC090505.5	0	0.06	0	0
AC090505.6	0.01	0.06	0	0.03
AC090518.1	0	0	0	0
AC090519.10	0.25	0.48	0	0.56
AC090519.11	0	0	0	0
AC090519.3	0	0	0	0
AC090519.4	0	0	0	0
AC090519.6	0	0	0	0
AC090519.7	0	0.22	0.27	1.39
AC090519.8	0.62	1.04	6.59	7.36
AC090519.9	0	0	0	0
AC090527.1	0	0	0	0
AC090559.1	0	0	0	0
AC090573.1	0	0	0	0
AC090582.1	0.03	0.02	0.1	0.09
AC090587.1	0.11	0.06	0.16	0.09
AC090587.2	0.03	0.08	0.09	0.09
AC090587.4	0	0.15	0.32	0.14
AC090587.5	0	0.05	0.29	0.29
AC090602.2	0	0.14	0	0
AC090616.1	3.49	0.6	0.55	0.91
AC090616.2	0.03	0.07	0.06	0
AC090617.1	0.09	0	0	0
AC090625.1	0.41	0	0	0.18
AC090642.1	0	0	0	0
AC090644.1	0	0	0	0
AC090646.1	0	2.19	2.62	0.64
AC090651.1	0.03	0.12	2.21	0.8
AC090660.1	0	0	0	0
AC090666.1	0	0	0	0
AC090669.1	0	0	0	0
AC090670.1	0	0.06	0	0
AC090673.1	0	0	0	0
AC090673.3	6.36	0.41	0	0
AC090691.1	0.12	0.04	0	0.33
AC090691.2	0.05	0.08	0.46	0.57
AC090691.3	0.05	0.08	0.29	0.4
AC090696.1	0	0	0	0
AC090696.2	0	0	0	0
AC090771.1	0	0	0	0
AC090771.2	0.03	0.03	0	0.05
AC090772.1	0	0	0	0
AC090772.2	0	0	0	0
AC090774.2	0	0	0	0
AC090804.1	0.32	0.14	1.14	0.68
AC090821.1	0	0	0	0
AC090821.2	0	0	0	0
AC090821.3	0	0	0	0
AC090821.4	0	0	0	0
AC090825.1	0	0	0	0
AC090825.2	0	0	0	0
AC090841.1	0	0	0	0
AC090939.1	0	0	0.19	0
AC090939.2	0	0	0	0
AC090945.1	0.14	0.07	0	0.11
AC090952.5	0	0	0	0
AC090954.1	0	0	0	0
AC090954.2	4.46	3.32	1.8	3.39
AC090954.3	0	0.03	0	0
AC090954.5	0.09	0.08	0.26	0
AC090955.5	0	0	0	0
AC090957.2	0	0	0.02	0.02
AC090958.5	0	0	0	0
AC090960.1	0	0	0	0
