Gene	ERR2228756.fastq.gz	ERR2228757.fastq.gz	ERR2228758.fastq.gz	ERR2228759.fastq.gz	ERR2228760.fastq.gz	ERR2228761.fastq.gz	ERR2228762.fastq.gz	ERR2228763.fastq.gz	ERR2228764.fastq.gz	ERR2228765.fastq.gz	ERR2228766.fastq.gz	ERR2228767.fastq.gz
C5AR2	1.17	1.1	0	0.21	0.17	0	1.97	0	0	0.25	0.13	0
C5orf15	0	0	0.57	0	0	1.19	0	0	0	0	0	0
C5orf22	0	0	0	0	4.4	0	0	0	0	0	0	0
C5orf24	0.72	0	0	0	1.08	1.14	0	0	0	0	2.17	0
C5orf38	0	0	0	0	0	0	0	0	0	0	0	0
C5orf47	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49	0	0	0	0	0	0	0	0	0	0	0	0
C5orf58	3.72	1.89	22.11	6.21	14.94	11.13	2.78	2.95	55.94	33.12	4.89	31.61
C6	0	0	0	0	0	0	0	0	0	0	0	0
C6orf118	0	0	0	0	0	0	0	0	0	0	0	0
C6orf136	3.45	1.27	0	1.35	1.24	0.53	0	0.26	3.73	0.72	4.05	0
C6orf141	0	0	0	0	0	0	0	0	0	0	0	0
C6orf15	0	0	0	0	0	0	0	0	0	0	0	0
C6orf163	0	0	0	0	0	0	0	0	0	0	0	0
C6orf223	0	0	0	0	0	0	0	0	0	0	0	0
C6orf47	0.8	0.11	0	1.3	0.58	0.18	0.5	0	0	0.12	0	0
C6orf62	0	0.11	0	0	5.45	0	0	0	0	0	0	0
C6orf89	0	0.12	0	0	0.45	0	0	0	0	0	0.34	0
C7	0	0	0	0	0	0	0	0	0	0	0	0
C7orf25	0	0	0	0	0	0	0	0	0	0	0	0
C7orf26	0	0	0	0	0	0	0	0	0	0	0	0
C7orf31	0	0	0	0	0	0	0	0	0	0	0	0
C7orf33	0	0	0	0	0	0	0	0	0	0	0	0
C7orf50	0.55	0	0	0.27	0	0.22	0	0	0	0	0.79	0
C7orf57	0	0	0	0	0	0	0	0	0	0	0	0
C7orf77	0	0	0	0	0	0	0	0	0	0	0	0
C8A	0	0	0	0	0	0	0	0	0	0	0	0
C8B	0	0	0	0	0	0	0	0	0	0	0	0
C8G	0	0	0	0	0	0	0	0	0	0	0	0
C8orf33	0.72	0	0	0	0	0.15	0	0	0	0	0.89	0
C8orf34	0	0	0	0	0.25	0	0	0	0	0	0.1	0
C8orf37	0	0	0	0	0	0	0	0	0	0	0	0
C8orf44	0	0	0	0	0	0	0	0	0	0	0	0
C8orf48	0	0	0	0	0	0	0	0	0	0	0	0
C8orf74	0	0	0	0	0	0	0	0	0	0	0	0
C8orf76	0	0	0	2.22	0	0	0	0	0	0	0	0
C9	0	0	0	0	0	0	0	0	0	0	0	0
C9orf116	0	0	0	0	0	0	0	0	0.2	0	0	0
C9orf131	2.53	3.95	0.68	35.8	8.36	1.29	3.83	18.73	44.49	18.57	10.01	38.09
C9orf135	0	0	0	0	0	0	0	0	0	0	0	0
C9orf163	0	0	0	0	0	0	0	0	0.19	0	0	0
C9orf24	0	0	0	0	0	0	0	0	0	0	0	0
C9orf40	0.74	0	0	0	0	0	0	0	0	0	0	0
C9orf57	0	0	0	0	0	0	0	0	0	0	0	0
C9orf64	0	0	0	0	0.23	0.19	0	0	0	0	0	0
C9orf72	0	0	0	0	0	0.49	0	0	0	0	0	0
C9orf78	0	2.47	0	0.98	1.79	0.39	0	0	0.34	0	0.61	2
C9orf85	0.23	0	0	0	0	0	0	0	0	0.29	0	0
CA1	4.26	2.23	0	0	0	0.39	0	0	0	0	0	0
CA10	0	0	0	0	0	0	0	0	0	0	0	0
CA11	0	0	0	0	0	0	0	0	0	0	0.13	1.22
CA12	0	0	0	0	0.28	0	0	0	0	0	0	0
CA14	2.77	4.74	13.98	9.11	2.62	3.98	0.83	7.26	1.38	0	0.59	0
CA2	0	0	0	0	0	0	0	0	0	0	0	0
CA3	0	0	0	0	0	0	0	0	0	0	0	0
CA4	0	0	0	0	0	0	0	0	0	0	0	0
CA5A	0	0	0	0	0	0	0	0	0	0	0	0
CA5B	0	0	0.03	0	1.31	0	0	0	0.04	0.13	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0
CA7	0	0	0	0	0	0	0	0	0	0	0	0
CA8	0	0	0	0	0	0	0	0	0	0	0	0
CA9	0	0	0	0	0	0	0	0	0	0	0	0
CAAP1	0	0	0	0	0	2.55	0	0	0	0	0	0
CAB39	1	1.35	0.06	0.93	0.82	0.59	0	0	0	0	1.94	0.65
CAB39L	0	0	0	0	0	0	0	0	0	0	0	0
CABCOCO1	0	0	0	0	0	0	0	0	0	0	0	0
CABIN1	1.05	1.31	0	0.2	0.78	0.19	0	0	0.71	0	0	0
CABLES1	0	0	0	0.14	0.4	0.33	0	0	1.17	0.12	0.3	0.81
CABLES2	0.71	0	0.19	0.19	0.91	0.42	0	3.39	0.51	4.98	0.06	0
CABP1	0	0	0	0	0	0	0	0	0	0	0	0
CABP2	0	0	0	0	0	0	0	0	0	0	0	0
CABP4	0	0	0	0	0	0	0	0	0	0	0	0
CABP5	0	0	0	0	0	0	0	0	0	0	0	0
CABP7	4.12	4.4	14.38	3.42	3.09	4.43	2.19	0.15	0.44	1.84	2.78	0.92
CABS1	0	0	0	0	0	0	0	0	0	0	0	0
CABYR	0	0	0	0	0.53	0	0	0	0	0.57	0	0.63
CACFD1	2.41	16.67	2.08	8.01	9.7	2.04	3.88	35.06	7.87	1.83	0	10.63
CACHD1	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	0	0	0	0	0.08	0	0	0	0	1.26	0.25	0
CACNA1B	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	0	0.09	0	0	0	0.24	0	0	0.59	0	0	0
CACNA1D	0	0	0.17	0	0.16	0	0	0	0	0.22	0	0
CACNA1E	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1F	0	0	0	0	0	0	0	0	0	0	0.14	0
CACNA1G	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1H	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1I	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1S	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D1	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D2	0	1.37	0	0.57	0	0	0	0	0	0	0	0
CACNA2D3	0.37	0	0.65	0	0.61	0.7	0	0	0	0.44	0	0
CACNA2D4	3.01	4.57	0.28	0.27	0.89	1.03	0	0	0	0.61	0.59	13.13
CACNB1	0	0	0	0	0.58	0	0	0	1.28	0	0	0
CACNB2	0.04	0.37	0.89	1.35	1.1	0.86	1.31	0	0	0.15	0	1.32
CACNB3	0	0	0	0	0	3.18	0	0	0	0	0	0
CACNB4	0	0	0	0	0	0	0	0	0	0	0.04	0
CACNG1	0	0	0	0	0	0	0	0	0	0	0	0
CACNG2	0	0	0	0	0	0	0	0	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0
CACNG4	0	0.76	0	0	0.24	0	0	0	0	0	0	0
CACNG5	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0	0	0	0	0	0	0
CACNG7	0	0	0	0	0	0	0	0	0	0	0	0
CACNG8	0	0	0	0	0	0	0	0	0	0	0	0
CACTIN	0	0	0	0	1.04	0	0	0	0.42	0	0	0
CACUL1	0	0.51	0	0.33	0.08	0.04	0	0	0.11	0	0	0
CACYBP	8.16	18.03	11.84	33.52	14.5	13.15	7.19	1.86	7.79	24.77	36.83	23.46
CAD	0	0	0	0	0	0	0	0	0	0	0	0
CADM1	0	0	0	0	0	0	0	0	0	0	0	0
CADM3	0	0	0	0	0	0	0	0	0	0	0	0
CADM4	0	0	0	0	0	0	0	0	0	0	0	0
CADPS	0	0	0	0	0	0	0	0	0	0	0	0
CADPS2	0	0	0	0	0	0	0	0	0	0	0	0
CALB1	0	0	0	0	8.12	0	0	0.18	0	0	0	0
CALB2	0	0	0	0	0	0	0	0	0	0	0	0
CALCA	0	0	0	0	0	0	0	0	0	0	0	0
CALCB	0	0	0	0	0	0	0	0	2.46	0	0	0
CALCOCO1	0.5	0.26	0	0.18	3.32	0.27	0	0	0.63	0	0	0.13
CALCOCO2	5.48	17.11	22.05	17.17	12.61	3.77	0.17	0	1.9	12.4	11.49	0.96
CALCR	0	0	0	0	0	0	0	0	0	0	0	0
CALCRL	0.37	0	0	0	0.43	0	0	0	0	0.92	0	0
CALD1	0	0	0	0	0	0.46	0	0	0	0	0	0
CALHM2	0	0	0	0.39	2.73	0.72	0	16.14	1.48	1.4	0	0
CALHM3	0	0	0	0	0	0	0	0	0	0	0	0
CALHM4	0	0	0	0	0	0	0	0	0	0	0	0
CALM1	0	2.1	0.23	0.17	4.45	0.26	0	0	6.27	1.79	0.24	0
CALM2	1.2	0.88	3.05	8.74	1.62	0	0	3.91	1.33	4.43	0.94	0
CALM3	8.06	2.47	8.28	19.49	10.95	7.02	3.87	11.38	19.95	12.05	9.56	11.44
CALML3	0	0	0	0	0	0	0	0	0	0	0	0
CALML4	8.97	11.11	9.95	39.53	23.6	11.62	5	6.29	12.71	21.49	4.83	4.92
CALML5	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0
CALN1	0.03	0	0	0	0	0.02	0	0	0	0	0.02	0
CALR	3.19	2.73	12.45	14.45	2.37	5.08	8.35	2.95	2.52	4.75	1.8	24.17
CALR3	0	0	0	0	0	0	0	0	0	0	0	0
CALU	0	0.67	0	0	0	0	0	0	0	2.92	0	0
CALY	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1	1.48	3.42	0.51	0	2.97	6.71	3.8	0	0	0.67	0	0
CAMK1D	0	0	0	0	0.54	0	0	0	0	0	0.37	0.61
CAMK1G	0	0	0	0	0	0	0	0	0	0.57	0	1.54
CAMK2A	0	0	0	0.45	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0.11	0	0	0	0.15	0	0
CAMK2D	0	0	0	0.42	0	0.57	0	0.71	0	0	0.07	0
CAMK2G	0.27	0	0.38	1.3	2.02	0.06	0.8	0.95	0.89	0.55	0.34	0
CAMK2N1	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N2	0	0	0	0	0	0.32	0	0	0	0	0	0
CAMK4	0.1	0	0	0	0.02	0	0	0	0.74	0.3	0.05	0.7
CAMKK1	0	0	1.91	1.69	0	0	0	0	0.97	0.71	0	0.58
CAMKK2	0.26	0	0	1.51	1.33	0.12	0	0.59	1.45	0.7	0.3	2.74
CAMKMT	0	0	0	0	0	0	0	0	0	0	0	0
CAMKV	0	0	0	0	0	0	0	0	0	2.33	0	0
CAMLG	0.11	0	0	0	0	0	0	0	0	0	0.3	0
CAMP	0	0	0	0	0	0	0	0	0	0	0	0
CAMSAP1	0.06	0	0	0.31	0	0.12	0	0	0	0	0.08	0.81
CAMSAP2	0	0	0	0	0	0	0	0	0	0	0	0
CAMSAP3	0	0.06	0	0.39	0	0	0	0	0	1.51	0	0
CAMTA1	0	0.52	0	0	0	0	1.23	0	0	0	0	2.83
CAMTA2	0.5	1.46	0	0	2.04	1.09	1.5	1.2	0	2.17	0.24	0
CAND1	0	0	0	0	0	0	0	0	0	0	0	0
CAND2	0	1.83	0	0.64	0.19	0.51	0	0	0.38	1.56	0.15	0.77
CANT1	2.65	0.91	3.22	2.19	1.23	0.34	1.99	0	0.91	3.6	0	0
CANX	12.44	12.21	15.29	15.88	9.67	9.99	15.33	1.03	9.59	10.17	8.1	16.18
CAP1	0.3	1.93	4.77	2.52	11.43	4.98	22.69	0.16	1.24	8.57	4.36	4.01
CAP2	0	0	0	0	0	0	0	0	0	0	0	0
CAPG	0	2.14	6.31	2.21	3.4	0.88	0	12.7	2.41	0.54	1	0
CAPN1	0.24	0	0.55	0	3.78	0.91	1.33	2.51	1.49	0.53	1.01	7.26
CAPN10	1.72	0.37	0	0	0	0	0	0	0.42	0	0.05	0
CAPN11	0	0	0	0	0	0	0	0	0	0	0	0
CAPN12	7	7.12	10.8	17.41	15.85	5.72	5.8	3.42	12.2	17.55	2.39	12.6
CAPN13	0	0	0	0	0	0	0	0	0	0	0	0
CAPN15	0	0	0	0	0.29	0	0	0.69	0	0	0.6	0
CAPN2	8.19	3.13	7.47	15.16	23.78	10.36	13.05	2.79	2.03	6.48	1.38	8.03
CAPN3	1.42	2.39	0.81	7.45	0.37	4.8	0	5.62	1.89	0.16	6.85	3.72
CAPN5	0	0	0	0	0	0	0	0	0	0	0	0
CAPN6	0	0	0	0	0	0	0	0	0	0	0	0
CAPN7	0	2.22	0.63	0	0	0.89	0	3.17	1.59	2.33	2.93	1.78
CAPN9	0	0	0	0	0	0	0	0	0	0	0	0
CAPNS1	5.62	4.47	5.77	0.64	13.12	12.87	11.01	1.7	0	3.88	2.58	4.94
CAPNS2	0	0	0	0	0	0	0	0	0	0	0	0
CAPRIN1	3.86	0	6.34	0.77	6.12	0.43	0	0	0	11.44	0	2.74
CAPRIN2	0	0	0	0	0	0	0	0	0	0	0	0
CAPS	0	0	0	0	0	0	0	0	2.28	0	0	0
CAPS2	0	0	0	0	0	0	0	0	0	0	0	0
CAPSL	0	0	0	0	0	0	0	0	0	0	0	0
CAPZA1	0	0	0.41	4.24	2.95	0	0	0	0	2.52	0.64	0
CAPZA2	0	2.8	0	1.82	0	0	0	0	0	2.84	0	0
CAPZA3	0	0	0	0	0	0	0	0	0	0	0	0
CAPZB	0	0	1.1	0	8.92	3.24	0	2.36	1.2	0.6	0	0.21
CARD10	0	0	0	0	0	0	0	0	0	0	0	0
CARD11	0	0	0	0	0	0	0	0	0	0	0	0
CARD14	3.06	0.94	0.95	6.32	10.16	1.06	0	9.4	6.49	3.83	2.55	0.16
CARD16	0	0	0	0	0	0	0	0	0	0	0	0
CARD18	0	0	0	0	0	0	0	0	0	0	0	0
CARD19	1.22	0.81	0	4.06	4.88	0.1	0	32.58	6.23	0.9	0.88	5.74
CARD6	0	0.07	0	0.7	0	0.17	0	0	0	0	0	0
CARD8	0	0	2.79	0.21	1.45	2.61	21.02	0	0	0.98	1.98	0
CARD9	2.67	1.33	0.65	4.33	1.22	0	0	0	1.4	0.29	0	0
CARF	0	0	0	0	0	0.4	0	0	0	0	0	0
CARHSP1	5.35	17.76	7.91	9.55	21.51	3.47	4.71	10.64	6.04	7.46	0	3.27
CARM1	1.16	1.45	3.19	2.5	2.29	2.06	1.13	4.01	0.94	2.07	1.52	0.5
CARMIL1	4.34	0	1.93	5.16	1.38	2.85	0	0	0	2.47	0.87	0.82
CARMIL2	0	0	1.25	0	0	0	0	0	0	0	0	0
CARMIL3	0	0.5	0	0	0.86	0	0	0	0	0	0	0
CARNMT1	0	0	5.49	0	0.6	0	0	0	0	0	0	0
CARNS1	0.31	0	0	0	0.06	0.22	0	0	0	0	0	0
CARS1	0	0.25	4.73	0.43	2.77	0.94	0	0	0.38	0	0.09	0
CARS2	1.72	0.54	3.28	2.77	7.49	1.09	1.27	0	1.12	11.46	18.67	4.58
CARTPT	0	0	0	0	0	0	0	0	0	0	0	0
CASC3	0	0.84	0.52	12.43	1.72	0.57	0.66	0	3.46	0.44	2.46	0.37
CASD1	0	0	0	0	0	0	0	0	0	0	0	0
CASK	0	0	0.94	0	0	0.89	0.21	0	0.08	0.76	0.3	0
CASKIN1	2.12	4.8	0.81	5.08	8.43	0.81	2.38	6.92	2.48	4.32	0.77	0.81
CASKIN2	0	0	0	0.07	0	0	0	0	0	0	0	0
CASP1	41.36	36.62	128.1	16.04	31.93	73.83	167.72	0	4.24	22.64	31.18	13.35
CASP10	0	0	0	0.27	0	0	0	0	0	0.05	0.05	0.61
CASP14	0	0	0	0	0	0	0	0	0	0	0	0
CASP16P	0.46	0	0	0	0	0	0	0	0	0	0	1.82
CASP2	0	0	0	0.12	0	0	0	0	0	0	0	0
CASP3	0	0	0	0	0	0.54	0	0	0	0	0.09	0
CASP4	0	0	0.4	0	0	1.29	0	0	0	0	0	0
CASP5	0	0	0	0	0	0	0	0	0	0	0	0
CASP6	2.33	0.98	0.45	0	2.39	4.32	0	1.74	6.94	0.37	0.17	0.65
CASP7	0	0	0	0	0	0	0	0	0	0	0	0
CASP8	1.07	4.65	0.53	6.75	9.97	1.93	0.48	0.4	25.99	3.4	3.87	0
CASP8AP2	0.04	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	1.8	0.23	0	1.62	0	0	0	1.82	0.66	0.38
CASQ1	0.8	0	0	0	0	0.12	0	0	0.53	1.66	0.7	3.33
CASQ2	0	0	0	0	0	0	0	0	0	0	0	0
CASR	0	0	0	0	0	0.79	0	0	0.36	0.85	0	0
CASS4	0	0	0	0	0.79	0.24	0	0	0	0.24	0	0
CAST	2.3	6.63	6.05	14.91	9.32	5.42	4.59	2.94	11.12	6.58	3.71	7.15
CASZ1	0	0	0	0	0.06	0	1.09	0	0	0.19	0	0
CAT	1.76	17.76	2.58	0.94	2.56	6.51	18.92	0	0	3.29	1.53	0
CATSPER1	0	0	0.47	0	0.33	0	0	0	0	0	0	0
CATSPER2	0	0	0	0	0	0	0	0	0	0	0	0
CATSPERB	0	0	0	0	0	0	0	0	0	0	0	0
CATSPERG	0	0	0.37	0.68	0	0.31	0	0	0.06	0	0.41	1.04
CATSPERZ	0	0	0	0	0	2.8	0	0	8.27	5.67	9.98	0
CAV1	0	0	0	0	0	0	0	0	0	0	0	0
CAV2	0	0	0	0.24	0	0	0	0	0	0	0	0
CAV3	0	0	0	0	0	0	0	0	0	0	0	0
CAVIN2	0	0	0	0	0	0	0	0	0	0.1	0	0
CAVIN3	0	0	0	0.37	0	0	0	0	0	0	0	0
CBFA2T2	0	0	0	0	0	0.18	0	0	0.53	0	0	0
CBFA2T3	0	0	0.51	0	0.24	0.38	0	0	10.27	0	0.34	0
CBFB	0	3.13	0	0	6.16	0	0	0	0.37	0	0.4	0
CBL	0.51	0.61	0.79	0	0.49	0.14	1.38	0	0.45	0	0.04	0.12
CBLB	0	0	1.47	0	0	0.03	0	0	0	0	0	0
CBLC	0	0	0	0	0	0	0	0	0	0	0	0
CBLIF	0	0	0	0	0	0	0	0	0	0	0	0
CBLL1	0	0	0	0	0.14	1.49	0	0	0	0.63	0	0.69
CBLL2	0	0	0	0	0	0	0	0	0	0	0	0
CBLN1	0	0	0	0	0	0	0	0	0	0	0	0
CBLN2	0	0	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	0	0	1.24	0	0.74	1.74	0	0	0	0.32	0	0
CBR3	0	0	0	0	0.3	0	0	2.57	0	0	0	0
CBR4	3.04	1.11	0	0	4.75	6.95	16.44	0	7.07	1.26	0	10.63
CBS	0	0	0	0	0	0	0	0	0	0	0	0
CBWD1	0	0	9.11	0	0	0.75	0.73	0	0	0	0	0
CBWD2	0.47	0	0	0.11	0	0	0	0	0	0	0	0
CBWD5	0.47	0	16.01	0	1	0	9.02	0	0	0	0	24.37
CBX1	4.11	3.92	11.36	0	1.33	0	0	0	0	0	1.8	0
CBX2	0	0	0	0	0	0	0	0	0	0	0	0
CBX3	0	1.65	1.18	0.34	0.82	0.48	0	1.16	0	0	0.62	2.35
CBX4	1.34	0.1	0	0	0.43	0	0	0.91	0.37	0	0.32	0.93
CBX5	0.66	0	0	0	0.48	0	0	0	0	0	0	0
CBX6	0.9	0.09	0	0.66	0.39	0.19	0	0.08	0.83	0.87	0.15	0.22
CBX7	0	1.36	0	0	1.6	0.46	0	0	0	0	0	0
CBX8	0	0	0	0	0	0.36	0	0	0	0	0	0
CBY1	0	0	0	0	0	0	0	0	0	0	0	0
CBY2	0	0	0	0	0	0	0	0	0	0	0	0
CC2D1A	0	0.15	0	0	0	0.06	0	0	0	0	0	0
CC2D1B	0.98	0	0	0	0.57	0	0	0.58	0	0	0	0.36
CC2D2A	11.03	14.2	10.26	0.94	18.32	26.36	3.48	0	13.41	0.81	1.54	1.36
CCAR1	0.11	2.74	3.8	0.44	0	0	0	0	0.61	0.76	0	0
CCAR2	3.47	13.3	4.22	17.34	18.18	3.02	8.02	21.48	24.2	35.25	6.24	8.73
CCBE1	0	0.05	0	0	0	0	0	0	0	0	0	0
CCDC102A	0	0	0	0	0	0	0	0	0	0	0	0
CCDC102B	0	0	0	0	0	0	0	0	0	0	0	0
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0
CCDC106	0	0	0	0	0	0	0	0	0.87	0	0.14	0
CCDC107	0	0	0	0	0	0	0	0	0	0	0	0
CCDC112	0	0	0	0	0	0	0	0	0	0	0	0
CCDC113	0	0	0	0	0.11	0	0	0	0.05	0.06	0	0
CCDC115	0	0	0.24	0	0.97	0.78	1.68	0	3.46	3.07	0.53	0
CCDC116	0	0	0	0	0	0	0	0	0	0	0	0
CCDC117	0	0.76	0	0.18	0.29	0.24	9.52	0	0	0	0	0.36
CCDC12	0	0	0	0	0	0	0	0	0	0	0	0
CCDC120	0	0	0	0.1	0.37	0	0	0	0	0	0	0
CCDC121	0	0	0.97	0	0	0	0	0	0	3.09	0.28	0
CCDC122	0	0	0.07	0.18	0.14	0	0	0	0.07	0.09	0.31	0.1
CCDC124	0.45	0.53	0	3.26	0	0	0	0	1.89	0	1.39	0
CCDC125	0.12	0	0	0	0	0.25	0.27	0	0	0	0	0
CCDC126	0	0	0	0	0	0	0	0	0	0	1.07	0
CCDC127	0	0	0	0	2.23	0	0	0	0	0.13	0	0.4
CCDC13	0	0	0	0	0	0	0	0	0	0	0	0
CCDC134	0	0	0	1.46	0	2.42	0	0	0	0	0	0
CCDC136	0	0	0	0	0	0	0	0	0	0	0	0
CCDC138	0	0	0	0	0	0	0	0	0	0	0	0
CCDC14	0	0	0	4.23	0	0.12	0	0	0	0	0	0
CCDC140	0	0	0	0	0	0	0	0	0	0	0	0
CCDC142	1.09	0.39	0	0.6	0.42	0	0	0.52	0	0.3	0	0
CCDC144A	0	0	0	0	0	0	0.12	0	0.11	0	0	0
CCDC146	2.81	0	0	0	2.87	1.23	0	0	0	1.23	0	0
CCDC148	0	0	0	0	0	0	0	0	0	0	0	0
CCDC149	0.09	0	0	0	1.07	0.18	0	0	0	0	0.42	0
CCDC15	0	0	0	0	0	0	0	0	0	0	0	0
CCDC159	0	4.37	0	15.36	8.35	2.77	0	8.4	8.62	2.57	0.9	0
CCDC162P	0	0	5.46	0.86	0	0	0	0	0	0	0.35	0
CCDC163	0.66	0	0	0	0	0	0	0	0	0	0	0
CCDC167	10.12	0	0	4.91	0	0	0	0	2.4	3.01	5.94	0
CCDC17	0	0	0.39	0	0.34	0.23	0	0	0	0	0	23.2
CCDC170	0	0	0	0	0	0	0	0	0	0	0	0
CCDC171	0	0	0	0	0	0	0	0	0	0	0	0
CCDC173	0	0	0	0	0	0	0	0	0	0	0	0
CCDC174	0	0	0	0.13	0	0	0	0	1.17	0.23	0	0
CCDC177	0	0	0	0	0	0	0	0	0	0	0	0
CCDC181	0	0	0	0	0	0	0	0	0	0	0	0
CCDC183	0.32	0.15	0	0	0	0.14	0	0	0	0	0	0
CCDC185	0	0	0	0	0	0	0	0	0	0	0	0
CCDC186	0	0	0	0	0	0	0	0	0	0	0	0
CCDC189	0	0	2.01	0.41	0.91	2.64	0	0	3.62	15.35	4.5	0
CCDC191	0	0	0	0	0	0.12	0	0	0	0	0	0
CCDC198	0	0	0	0	0	0	0	0	0	0	0	0
CCDC22	0	1.2	0	0	0.75	0.33	0	0	0	0	0	0
CCDC24	0	0	0	0.14	0	0	0	0	0	0	0	0
CCDC25	0	0	0	0	0	0.06	0	0	0	0	0.78	0
CCDC26	0	0	0	0	0	0	0	0	0	0.19	0	0
CCDC27	0	0	0.99	0	2.89	0.51	0	0	0	0	0	0
CCDC28A	0	0	0	0	0	0	0	0	0	0	0	0
CCDC28B	3.07	0	0	13.8	8.69	1.49	0	10.1	3.38	3.6	0.47	5.87
CCDC3	0	0	0	0	0	0	0	0	0	0	0	0
CCDC32	1.75	0	0	0	0	0	0	0	0	0.05	0	0
CCDC33	0	0	0	0	0	0	0	0	0	0	0	0
CCDC34	0	0	0	0	0	0	0	0	0	0	0	0
CCDC38	3.07	0	0	0	5.01	0	0	0	0	1.41	0	0
CCDC40	0	0	0	0	0	0	0	0	0	0	0	0
CCDC42	0	0	0	0	0	0	0	0	0	0	0	0
CCDC43	0	0	0	0	0.45	0	0	0	0	0.6	0	0
CCDC47	0	12.82	5.9	0	5.74	1.4	0	0	0	3.26	0	0
CCDC50	0	0	0	0	0	0	0	0	0	0	0.34	0
CCDC51	2.57	7.01	2.44	7.21	0	0	0	0	2.97	11.32	7.61	37.2
CCDC54	0	0	0	0	0	0	0	0	0	0	0	0
CCDC59	4.51	0	0	1.43	0	5.46	0	0	0	0	0	0
CCDC6	0	0	0	2.13	0	2.72	0	3.63	0.46	0	0	0
CCDC60	0	0	0	0	0	0	0	0	0	0	0	0
CCDC62	0	0	0	0	0	0	0	0	0	0	0	0
CCDC63	0	0	0	0	0	0	0	0	0	0	0	0
CCDC65	0.6	0	0	0.17	0	0	0	0	0	1.64	0.21	0
CCDC68	0	0	0	0	0	0	0	0	0	0	0	0
CCDC69	1.19	0.16	4.33	13.92	2.67	1.7	16.43	2	0.77	5.1	0.45	1.61
CCDC7	0.73	0.2	0	0.27	0.71	0.62	0	0	0.06	0	0.62	0.77
CCDC70	0	0	0	0	0	0	0	0	0	0	0	0
CCDC71	0	0.93	0	0	0	0	0	0	0.28	0	0	0
CCDC71L	0	0	0	0	0.08	0	0	0	0	0	0	0
CCDC74A	0	0	0	0	0	0	0	0	0	0	0	0
CCDC74B	0	0	0	0	0	0	0	0	0	0	0	0
CCDC77	22.22	8.29	1.6	26.84	20.29	12.12	6.19	17.76	4.96	6.23	21.42	2.78
CCDC78	3.52	0	5.1	0	1.04	1.03	0	0	0	0	0	0
CCDC8	0	0	0	0	0	0	0	0	0	0	0	0
CCDC80	0	1.27	0.06	0	0	0.31	0	0	0	0	0.15	0.05
CCDC81	0	0	0	0	0	0	0	0	0	1.14	0	0
CCDC82	0.3	0	0	0.44	0	0.13	0	0	0	0	0	0
CCDC83	0	0	0	0	0	0.35	0	0	0	0	0	0
CCDC85A	0	0	0	0	0	0	0	0	0	0	0	0
CCDC85B	0.27	2.1	0	1.18	0	0	0	0.53	0	3.04	0	4.13
CCDC86	0.13	1.95	0	0	0	0	0	0	0	0.24	0	0
CCDC87	0	0	0	0	0	0	0	0	0	0	0	0
CCDC88A	0	0	0.15	0.47	2.08	0.13	0.33	0	2.11	0	0.95	6.82
CCDC89	0	0	0	0	0	0	0	0	0	0	0	0
CCDC9	0	0	0	5.05	0.43	0.23	0	0	0.49	0.61	0	3.53
CCDC90B	0.53	0	0	0	0.57	0	0	0	0.21	0	0.14	0
CCDC91	3.65	0.56	3.79	0	0	0	0	7.68	6.06	1.02	3.75	0
CCDC92	0	0	0	0	0	0	0	0	0	0	0	0
CCDC93	0	0	0	0	3.21	0	0	0	0	1.95	0.16	0.1
CCDC97	2.82	2.91	0	2.46	6.09	5.95	5.92	17.51	15.29	20.91	4.04	70.31
CCER1	0	0	0	0	0	0	0	0	0	0	0	0
CCHCR1	0	0	0	0.14	1.11	0	0	0	0	0	0.26	0
CCIN	0	0	0	0	0.15	0	0	0	0	0	0	0
CCK	0	0	0	0	0	0	0	0	0	0	0	0
CCKAR	0	0	0	0	0	0	0	0	0	0	0	0
CCKBR	0	0	0	0	0	0	0	0	0	0	0	0
CCL1	0	0	0	0	0	0	0	0	0	0	0	0
CCL11	0	0	0	0	0	0	0	0	0	0	0	0
CCL13	0	0	0	0	0	0	0	0	0	0	0	0
CCL14	0	0	0	0	0	0	0	0	0	0	0	0
CCL15	0	0	0	0	0	0	0	0	0	0	0	0
