gene	Hugo_Cell_2016-Pt1	Hugo_Cell_2016-Pt2	Hugo_Cell_2016-Pt4	Hugo_Cell_2016-Pt5	Hugo_Cell_2016-Pt6	Hugo_Cell_2016-Pt7	Hugo_Cell_2016-Pt8	Hugo_Cell_2016-Pt9	Hugo_Cell_2016-Pt10	Hugo_Cell_2016-Pt12	Hugo_Cell_2016-Pt13	Hugo_Cell_2016-Pt14	Hugo_Cell_2016-Pt15	Hugo_Cell_2016-Pt19	Hugo_Cell_2016-Pt20	Hugo_Cell_2016-Pt22	Hugo_Cell_2016-Pt23	Hugo_Cell_2016-Pt25	Hugo_Cell_2016-Pt27A	Hugo_Cell_2016-Pt27B	Hugo_Cell_2016-Pt28	Hugo_Cell_2016-Pt29	Hugo_Cell_2016-Pt31	Hugo_Cell_2016-Pt32	Hugo_Cell_2016-Pt35	Hugo_Cell_2016-Pt37	Hugo_Cell_2016-Pt38
DAG1	62.37575	39.4465	56.17085	37.1194	40.8121	47.64245	38.7284	32.11935	66.6298	94.93755	167.7175	43.80525	47.0562	100.6357	34.68675	21.614	22.74925	34.1025	68.55175	65.5986	23.87875	59.48175	43.0379	9.68708	30.0688	55.0979	32.3927
DAGLA	1.11716	0.622645	13.76515	1.638405	1.403365	0.658548	2.975815	1.78547	4.18499	1.0342105	2.07161	4.171735	2.32229	3.8014	0.69175	11.6848	1.686	2.63514	1.390565	1.3467	0.403474	1.803565	1.66585	2.30841	3.49494	1.61879	0.805465
DAGLB	6.176125	8.141955	8.42437	5.060875	11.7607	15.85035	12.69795	8.278025	5.83653	7.8922	8.35455	7.337595	18.40635	18.09015	8.07358	5.354965	8.817475	10.246995	6.72628	6.435645	12.93495	8.44782	15.8041	12.9549	6.79206	10.4913	6.27235
DALRD3	15.1366	15.95405	20.5788	18.6727	15.1534	28.5675	18.0197	16.5156	15.76875	21.91255	12.4241	15.2738	45.88395	38.10905	21.21	7.80507	19.70925	29.80905	19.19625	20.08815	16.9284	18.1129	27.9684	19.0322	7.52958	33.5467	16.7427
DAND5	0.0082105	0	0.0215041	0.03478815	0	0.0847275	0	0	0.04935575	0.0667513	0.0395341	0	0	0	0	0.01018185	0.1467545	0.13177435	0.0105822	0.0238983	0	0.02634645	0.0619148	0.189287	0.0414058	0.113535	0
DAO	0.0147936	13.4373	0.0391307	0.00781315	0	0	0	0.04050995	0	0	0.0280777	0	0	0	0	0.06816345	0	0.020169	0.04846475	0	0.1698785	0	0	0	0	0	0
DAP	35.15905	54.5249	17.19555	53.14675	63.90635	41.1192	57.15605	55.7484	50.90985	36.64195	68.9059	243.0105	37.48785	46.39145	50.31075	40.2031	59.6269	44.7294	61.74555	60.1164	34.91455	26.72195	107.582	88.8065	45.7889	95.1117	56.2954
DAP3	49.98235	96.4202	109.7425	83.7955	48.10365	42.0927	52.51955	44.56085	78.8524	55.8145	59.585	49.0959	71.18775	65.1472	60.5202	55.53825	111.269	107.9245	27.20875	25.8267	48.4632	48.14245	78.9773	40.4442	66.9456	88.4934	48.4019
DAPK1	11.3278	6.54535	19.8768	11.40815	6.232205	10.73675	6.615375	11.39855	1.09703	1.71006	4.66148	3.572545	12.4973	7.95467	9.61363	26.28385	7.680865	15.6833	8.7353	7.76744	1.26636	26.46575	8.20498	4.05998	6.91257	15.1203	5.68716
DAPK2	0.9712965	0.4441535	0.285941	0.1765095	0.204515	0.270329	0.781927	1.276715	0.390648	0.29525	0.932838	0.4623365	0.597287	1.240745	2.71465	1.81173	0.846879	0.663451	0.4211065	0.1783295	14.8709	1.678955	0.647575	0.963627	0.424099	0.385518	2.32789
DAPK3	25.2387	12.5324	14.62235	46.83095	25.866	43.59105	54.1499	17.2507	16.36565	21.8283	20.72905	61.28015	46.55455	74.26935	33.0743	22.3659	33.8275	53.5575	33.87515	25.86615	50.9716	26.03895	126.032	58.9968	25.5801	37.7147	24.839
DAPL1	1.60644	0.082495	0.202645	81.95725	0.337778	105.459	0.1160815	4.9604799999999996	0.402624	0.1114255	0	0.06076	0.056688	3.726675	0.157403	0.138226	1.5563	13.217	0	0	98.48315	0.29573	0	0	0.870961	0	0
DAPP1	1.71464	2.759945	1.615725	0.1349485	0.6740935	0.287219	0.7637055	1.41188	0.3760005	0.5481475	3.67519	1.397755	1.295885	0.388316	5.710955	5.51163	2.245225	0.7773665	2.19926	1.775245	13.19795	2.59176	0.258025	0.584347	0.709981	0.234183	19.6766
DARS2	11.65975	13.9579	32.99555	19.2558	19.2872	5.68627	4.643985	10.37205	14.78735	18.55085	7.971315	8.11424	10.74315	9.96723	5.69731	17.9785	11.33665	13.60985	4.796785	4.65034	4.853995	9.662075	10.5536	3.0781	13.1287	13.2184	6.02108
DAW1	0.156283	0	0	0.3000115	0.02055325	0	0.233697	0	0.7314215	0.0261296	0.5997335	0.4036655	0.0487908	0	0	0.02185185	0.021108	0	0.0091602	0	0.04079785	0.1006596	0.0523624	0	0	0	0
DAXX	0.4229205	0.619072	1.3963	1.158195	0.778885	0.9607125	1.2024035	0.833714	0.409024	0.558353	1.10322	1.164885	0.9137845	1.0232905	0.9299145	0.9907045	1.70976	3.551535	0.691805	0.7274005	1.314245	0.8717835	1.15945	1.02033	0.84601	1.97459	1.43316
DAZAP1	40.42125	28.30655	64.6008	48.64375	22.5567	61.8433	69.65915	34.2891	41.87365	35.36745	33.4388	86.1194	29.02155	92.65365	52.90445	38.20945	43.4594	91.26555	75.2163	60.1967	82.12705	43.39275	84.2997	48.5889	55.093	58.381100000000004	81.61
DAZAP2	176.3615	143.799	145.755	144.1565	140.568	81.64135	134.061	116.332	113.99	110.189	134.1465	80.8563	81.44265	124.0975	169.778	154.689	90.52255	72.6952	153.862	151.218	104.91	96.53405	60.8249	91.3882	300.382	107.752	213.714
DAZL	0.1782645	0.0240979	0	0.0074205	0.02884915	0.02671335	0.08438925	0.177938	0.09132775	0.2545585	0	0.013643	0.1720065	0.1010051	0.04948715	0.1042421	0.00487261	0	0.07028425	0.0514822	0.10376595	0.0070899	0	0	0	0	0.0492075
DBF4	4.12045	2.60462	4.844685	2.75091	6.17925	5.990195	5.41647	7.01761	11.8982	16.3652	2.36799	6.675115	8.442905	3.28773	3.967585	4.762935	6.46315	2.501335	4.577655	3.313785	3.03019	9.173165	3.89805	3.83907	9.72355	2.35483	6.97755
DBF4B	1.58208	1.90613	6.46975	2.774485	6.75631	2.55187	2.40298	2.248565	3.871905	2.65281	2.286255	4.31142	3.197265	13.9602	1.284095	2.65478	2.608945	5.442945	2.323235	2.115835	1.68928	3.84974	5.80946	3.17195	7.26008	4.5182	2.86156
DBH	0.025646	2.01916	0.1990785	0.017278725	0.008588535	0	0.0411169	0.07286415	0.245388	0.03954275	0.272812	0.05290985	0.164321	0.0949984	0.643641	0.1492755	0.2497265	0.04172335	0.10058815	0.05609745	0.205736	0.283243	0.0368151	0	0.119451	0	0.285508
DBI	489.5525	621.9555	173.1595	677.558	200.259	2356.435	386.549	599.966	420.817	257.3685	204.8275	195.09	298.618	415.309	351.673	294.277	358.2985	197.7445	300.4285	262.201	1074.405	162.0945	226.562	200.946	429.959	307.077	425.71
DBN1	30.974	5.41587	60.0712	24.06955	5.796525	72.84065	31.98575	28.02775	39.08645	51.70235	31.8576	113.708	59.08315	63.17235	21.6832	35.67905	53.2627	71.13025	22.515	18.9533	8.07654	29.2783	47.5983	90.6166	33.1123	2.75266	9.74452
DBNDD1	45.0503	18.96175	21.98835	50.57235	20.23535	24.68475	17.35065	9.996075	30.0197	47.70695	8.314915	2.70868	18.2431	60.48255	5.764055	5.798605	17.02265	16.992	47.65215	45.1181	2.30382	3.995665	16.1997	7.89016	36.3031	44.0944	8.17357
DBNDD2	34.24415	21.65005	43.5085	52.17405	19.4957	75.7513	25.65485	14.92115	5.982165	58.9919	11.0978	96.54905	64.6892	41.6765	15.6499	18.14455	23.3562	11.48286	49.1174	45.30965	58.2129	47.20035	11.1456	9.19856	13.3021	8.57986	11.6771
DBNL	37.1717	35.87335	53.0404	19.86595	33.83385	107.6645	58.3657	70.4358	46.63875	44.23355	62.56685	40.6777	91.31215	132.027	57.99225	55.109	74.6495	83.4635	44.8107	35.21735	147.9035	66.47575	88.5528	47.9374	56.493	41.2508	108.034
DBP	8.29748	9.804045	3.310715	20.18755	3.85457	18.6246	5.052615	4.987385	1.65608	1.93129	3.77307	1.87405	4.985575	22.94565	17.0485	4.90335	5.261535	41.56915	14.83905	18.2272	9.037375	5.12399	13.442	12.6544	10.3798	25.2125	12.3192
DBR1	7.58416	7.231955	12.9479	10.1484	10.9023	10.56	6.231085	7.36358	8.3856	9.787395	8.56056	7.329505	10.3333	5.078425	10.28355	11.93675	6.273865	4.28231	7.546605	8.341315	6.475875	11.11715	3.45537	3.26847	7.51711	5.36853	6.65713
DBT	4.062125	5.944865	1.72197	4.226925	4.057705	2.87474	1.69999	3.288425	2.54854	4.886345	4.018415	2.4644	1.985895	0.7711605	1.77648	3.32973	1.405605	1.094955	2.381095	3.450875	2.209345	3.183915	1.02931	4.6875	3.35852	2.632	2.07028
DBX1	0	0	0	0	0.0147688	0	0	0.06760765	0	0	0	0.01859985	0.04371735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF10	4.59659	7.437515	5.726015	4.468835	5.64371	4.53152	3.12472	2.648075	5.00319	4.973975	3.11111	4.070705	3.0902	2.344905	3.066335	4.285615	3.36574	2.504525	7.161525	7.8815	4.26659	5.1939	15.3512	5.72292	5.60528	6.50978	5.34619
DCAF11	14.59155	35.917	18.26115	17.72475	29.47555	11.10085	9.655165	16.549	8.838625	15.2537	17.9693	9.96755	12.38895	19.00835	17.284300000000002	15.5518	9.009415	12.81115	23.12425	24.9004	16.328	16.73065	16.2271	18.4558	16.9844	20.2849	23.6837
DCAF12	14.9966	18.32815	14.96255	19.03185	16.03545	15.56675	12.6815	11.6573	10.37105	10.50655	10.49495	12.5381	10.75955	8.19663	11.62735	15.32205	12.2879	11.76835	21.8723	24.4026	16.9092	18.94835	12.4947	10.9168	23.148	10.7619	14.5255
DCAF13	20.43545	20.45755	26.6541	19.3909	19.861	13.21665	29.1297	30.94135	38.06735	38.71075	27.70985	23.78565	23.8224	7.68354	23.3849	23.4716	31.9655	25.83035	17.06775	18.1751	21.7911	20.6118	16.153	24.8877	25.0449	25.6396	17.0604
DCAF15	10.6286	8.472285	10.27305	11.40485	11.10045	24.3369	17.59125	18.76235	16.20895	22.07375	12.3172	16.12085	18.91715	44.16405	13.81635	10.84585	17.07545	43.42905	12.3464	11.9353	19.65605	13.56755	33.7317	37.5938	15.2196	21.6057	22.3252
DCAF16	9.530445	6.477015	7.331495	20.9765	9.961315	6.119575	11.65555	8.956215	6.690265	8.13349	6.569415	17.6872	6.40445	4.48901	9.86475	7.625575	6.818945	12.37465	15.4226	20.28675	5.860445	11.56705	1.84194	7.07592	13.5075	8.8903	9.89288
DCAF17	5.2335	3.446325	3.635125	3.982345	4.209115	3.78111	3.003895	1.845045	7.48112	2.92367	3.666755	5.293515	2.62349	1.95704	2.886415	4.385445	3.052605	3.001545	3.825405	4.86549	3.272465	3.01553	0.948807	2.47142	3.14332	1.74569	3.80599
DCAF4	7.85467	8.460155	10.3906	8.015665	14.4927	5.873445	3.63877	5.81732	5.39883	2.63969	5.905625	5.04259	5.985165	5.269545	7.407965	5.989285	3.5673	7.82725	7.77594	9.840175	10.7163	4.52174	6.02639	4.79224	4.61713	5.70913	5.96265
DCAF5	9.402925	6.66497	8.97775	12.2622	16.7066	5.23994	4.84647	8.15107	6.160105	4.67106	9.290555	6.1854	4.86541	6.0691	9.666425	11.35825	4.898565	3.83053	9.876015	11.43125	9.425865	7.435155	10.0859	22.4936	12.095	9.95439	12.0252
DCAF6	26.34735	30.8658	11.25705	25.48245	15.19545	21.8673	12.2053	26.4314	26.21055	35.8727	18.4977	10.83215	14.58745	12.3851	19.4165	15.1097	13.1952	9.267115	9.665055	9.676695	16.7972	11.438	8.17204	13.228	8.63791	9.70311	11.3678
DCAF7	31.4529	38.77765	58.6118	31.1781	29.3384	15.6746	27.77965	16.3912	28.49415	16.0536	22.72545	19.36395	9.88491	40.33235	26.05045	31.07495	15.855	21.45965	37.2004	38.62825	17.49505	49.74975	56.2739	46.0132	33.5325	46.1055	33.9249
DCAF8	23.36115	36.9029	33.4541	26.28525	24.3784	22.9788	20.32175	26.6865	20.78095	23.4551	28.17805	20.7008	27.79035	16.60195	30.6124	21.95845	24.43105	28.04635	22.5595	26.3827	23.25875	18.91355	22.5513	29.3601	15.5977	31.7075	23.7381
DCAF8L1	0	0	0	0.3543905	0.1667	0	0	0	0.01722285	0.3780555	0	0	0	0	0	0	0.004691875	0	0.054439	0.1699115	0	0	0	0	0	0.0230416	0
DCAKD	8.23304	15.53225	25.22715	3.52504	20.1838	13.465	11.1354	5.746355	19.53115	5.84483	13.7164	12.3796	6.188925	58.6237	8.997965	11.3785	7.80312	24.298	20.13635	19.36135	9.78931	10.59685	15.0206	30.2955	17.6493	45.158	12.724
DCBLD2	74.5638	8.001165	14.28015	28.198	27.9562	40.9601	17.14975	42.9971	70.89545	61.25965	88.41235	194.948	12.68215	13.39945	10.04886	11.47105	21.62005	3.474315	21.38835	21.1976	2.876715	13.75855	22.8125	8.95458	17.1317	6.10184	6.98381
DCC	0.03931125	0	0.05233945	0.0065982	0.1733595	0	0.00745805	0.00130805	0.0160061	0.0424595	0.02615635	0.0039854	0.02271725	0.003882345	0.09138485	0.02860705	0.0076326	0.013465685	1.201435	0.409097	0.00588545	0.1844445	0.00801299	0.00707545	0.00523891	0.0293386	0.0194199
DCD	0	0	0	0	0	0	1.721385	207.4645	0	0	0	0.0316269	0	0	0	0	0.4236365	0	0	0	0	0	0	0	0	0	0
DCDC2	0.81773	1.0959615	4.211735	0.0155932	6.082055	1.521925	0.636684	0.2052325	0.1053673	0.221459	0.1459385	0.00215903	2.02768	1.06562	1.268115	0.0939799	0.775824	0.1370135	0.0123815	0.0104564	0.006125	1.17562	0.209861	0.130161	0.439052	0.716985	0.0445487
DCDC2B	0.01779415	0.10295465	0	0.0092839	0	0.21256	0.1179	0.19772700000000001	0.10678465	0.10956685	0	0.182286	0.03949275	0	0.2035245	0.011395	0.03261545	0	0.1115853	0.222019	0.1818345	0.178504	0.141563	0.0757598	0	0	0.109932
DCHS2	0.09665285	0.044054	0.04498265	0.001643765	0.01495295	0.1945435	0.01200951	0.01897565	0.704036	0.00646891	0.0657087	0.02070985	0.004035965	0	0.01212624	0.0545026	0.1182085	0.00788269	0.01890255	0.0344684	0.07658025	0.0531764	0	0.980669	0	0	0.0202266
DCK	20.5692	15.7725	12.41615	35.16805	16.032	15.00185	9.46725	14.4628	10.025545	18.1259	15.36015	15.18775	16.50115	7.19281	16.13485	18.74875	14.9615	3.36622	21.51395	21.05285	6.801715	17.3232	2.31999	7.7597	9.50641	7.73292	41.8053
DCLK1	11.91655	42.72825	8.67329	37.9812	24.7846	22.24075	3.9231	2.050215	2.339865	1.20927	1.22503	0.6924265	4.99788	4.117315	5.44721	9.42413	1.56435	1.99174	9.8212	10.51465	0.650738	13.1046	2.78488	2.76409	15.2723	3.39693	1.50816
DCLK2	2.556135	0.5555225	2.95683	1.909295	1.276475	4.82042	1.99296	1.440885	1.42338	1.27018	6.08975	1.1454	0.956482	2.86671	1.877635	2.511105	2.04673	1.814725	0.763586	0.6998435	0.4868345	1.908305	1.46671	1.20365	4.40478	3.14627	1.49184
DCLK3	0.247204	0.00463237	0.276612	0.02597335	0.04826785	0.0292494	0.1634625	0.04897185	0.4077835	0.1589105	0.110271	0.0856274	0.0814201	0.07289805	0.02461535	0.3883325	0.5028355	0.251999	0.180819	0.109952	0.1244885	0.1740655	0.352646	0.163126	0.171963	0.0260914	0.0230663
DCLRE1A	5.7252	4.665545	6.07489	4.38484	3.64881	2.19242	2.5434	2.629775	4.3159	8.314825	2.234115	4.870285	2.61435	1.680385	2.161305	2.584315	2.72442	1.763635	4.34377	4.531265	2.32299	4.834965	1.00237	0.992457	2.71857	2.58023	2.94291
DCLRE1B	4.64099	1.946925	4.524215	3.84727	3.66149	4.427315	3.14025	2.240405	3.353275	5.563195	4.347405	9.301365	3.11268	5.35628	3.306035	5.510355	4.140605	4.530405	4.824385	4.569195	3.79996	3.359695	2.96211	4.06581	5.17551	3.1381	2.83892
DCLRE1C	2.63701	2.76992	1.62715	2.853755	2.02225	2.09969	1.08152	1.857705	1.652405	2.93114	1.696725	1.886335	2.62639	1.1126135	2.53703	2.20637	2.781415	0.832175	4.168235	4.551515	1.836895	2.472985	1.25855	2.84014	3.54404	2.73264	9.11929
DCN	841.459	62.43575	8.770455	29.52025	99.8057	23.87205	107.9055	270.4445	197.386	222.5495	102.904	128.7815	40.938	100.8375	45.75585	768.205	91.6073	34.73145	80.89255	27.3253	120.592	163.349	26.129	337.056	27.7314	4.84735	13.0272
DCP1A	7.10793	5.46293	10.6443	6.499425	4.88313	5.330785	6.505815	4.42795	7.91165	7.560415	5.756655	5.51637	4.39226	5.42498	7.06031	5.519465	3.60193	3.645025	8.667245	9.043605	4.977575	6.535755	18.6654	11.1366	6.24138	12.6766	12.6615
DCP1B	5.76592	6.592465	8.74082	6.271685	8.206695	8.480145	4.130765	4.681315	6.287485	6.547365	6.51689	5.68547	4.217765	4.874095	5.809155	6.1689	5.667	12.1864	5.53728	5.09261	4.2435600000000004	4.59583	5.80824	6.99762	7.88576	3.94315	6.24203
DCP2	4.35447	4.30639	4.708295	3.41411	5.507365	3.30396	3.847375	5.65052	3.913865	2.578645	4.480965	2.794575	3.34071	2.2671	6.14372	7.443625	4.62	4.24398	4.90781	6.002585	3.319985	6.06362	1.57038	2.50624	4.65192	1.68958	6.8083
DCPS	14.795	12.08235	8.28242	22.7296	18.95825	13.3382	13.69025	25.5026	21.0628	14.30635	24.10765	18.71745	12.37795	80.6763	17.6711	20.49985	13.43605	48.1323	37.1848	31.602	15.72585	18.78755	48.4435	17.7889	21.5339	75.7701	30.6142
DCST1	0	0.07887405	0.07411195	0	0	0.1102581	0.0965201	0.121355	0.11531225	0.08838355	0	0.0815857	0	0	0.242516	0	0.0686392	0.0502409	0	0.0461509	0.0971465	0.2500635	0	0	0	0	0
DCST2	0.0729183	0.1207545	0.450423	0.0254467	0.0187528	0.2130015	0.3217755	0.2805555	0.1516715	0.009795	0.1297865	0.0299976	0.2087305	0.1928355	0.257409	0.1886865	0.394978	0.6132395	0.1434947	0.08090005	0.4000035	0.188775	0	0.1539	0.0613212	0.128411	0.258624
DCSTAMP	1.952385	0.1928425	0.0822789	0.03481975	0.1811775	0.219266	0.393046	1.29471	48.42325	79.6099	1.060495	0.153547	0.1540121	1.42712	0.3715935	0.8546185	2.26537	0.3726455	0.10764245	0.05742205	0.17764635	0.178152	0.398686	7.0822	0.138445	0.250083	0.113697
DCT	356.4835	0.479304	220.0055	1498.46	8.48556	1.55219	79.7567	0.346367	4.103935	0.00925465	7.62859	0.00490973	7.9943	16.8219	92.00085	250.7535	4.622585	95.1082	15.9076	54.92635	0.367318	19.0932	724.216	1.9827	1299.55	1015.24	5.89546
DCTD	46.28265	42.02425	24.38925	56.0459	30.83005	25.98615	46.79355	41.20705	40.4769	40.1029	45.78585	41.0995	26.7327	38.47905	37.9946	39.6684	31.004	32.17575	31.3234	27.6932	50.66045	28.50845	22.434	47.028	21.7064	15.2357	34.3569
DCTN1	32.78275	28.87445	43.6109	48.3013	33.867	60.39675	38.0939	32.3082	30.0818	39.0089	38.5015	46.35295	21.75815	97.45115	28.71055	36.1806	37.4659	92.27485	46.50475	44.0166	45.8429	26.52215	57.0913	50.6125	48.995	54.594	32.0997
DCTN2	49.36195	53.48835	41.37005	64.77895	39.6649	606.461	51.9081	47.56735	34.36975	53.615	47.46875	56.5194	88.87145	41.3675	44.52625	46.04325	50.6491	54.1178	52.03455	53.63285	82.5671	39.17625	57.8645	52.0745	39.463	53.9605	38.694
DCTN3	41.03815	74.82465	45.47715	48.27485	44.92275	83.5946	67.8296	86.3323	34.03835	38.33645	40.33415	69.4677	92.69715	49.49285	53.8223	49.4444	68.08	84.9263	65.03535	62.31285	90.15105	40.99765	95.7151	44.01	83.5286	86.4944	59.1946
DCTN4	19.8521	26.0441	21.12085	24.4201	32.71315	13.7358	10.96925	24.64295	18.79935	15.28545	22.0357	18.2126	26.0495	7.405715	15.33835	21.2348	16.9205	24.41655	22.09245	24.8739	17.53915	16.00975	8.17271	10.9686	15.221	17.3993	11.3699
DCTN5	13.90625	11.0911	19.037	21.70645	15.28815	6.705565	14.42295	10.034405	10.5472	11.2806	11.66615	10.48785	9.09651	3.8471	6.962525	11.93065	7.05436	8.74502	9.548945	10.5676	12.54845	9.631945	10.2222	7.38823	10.7323	10.0433	14.4441
DCTN6	40.63025	40.10055	57.1049	47.6898	46.2671	27.59155	48.8207	58.69265	22.0712	43.326	48.5226	24.92485	27.5197	21.9986	36.24445	62.01185	32.7548	35.2915	33.29595	36.47145	42.58355	25.466	17.431	20.5736	25.552	32.6622	18.9674
DCTPP1	29.3104	48.23235	71.0303	49.63955	26.9907	49.28085	70.61105	50.3154	24.39895	27.67125	32.98515	57.96115	75.0573	45.58725	29.67605	34.4182	53.7571	74.9121	43.64405	34.4781	53.37645	47.6416	50.3336	46.3271	43.1212	54.64	52.5232
DCUN1D1	9.485875	12.811	11.00935	10.69425	13.5518	7.925585	5.77413	8.39218	10.60505	6.64002	9.999125	17.9717	9.55367	4.63812	6.97031	11.87275	6.91218	1.95832	8.736415	10.92135	8.841805	12.56725	1.81149	3.32734	9.69666	3.18458	5.44288
DCUN1D2	3.557985	2.37528	2.644595	3.533335	3.570605	4.29716	6.12197	2.45405	2.264285	1.17134	2.40105	2.23599	3.40658	1.58375	4.504715	2.880375	3.062665	2.74281	4.17807	5.9351	3.37999	3.657355	1.18841	3.2718	4.10811	2.52472	2.70616
DCUN1D3	3.712965	2.82755	2.052345	3.347215	3.2694549999999998	1.132205	4.04103	2.32229	4.77908	4.90976	3.166275	4.087865	1.1187025	0.8345705	1.38786	2.76125	2.904355	1.45424	2.348355	2.652175	11.03545	1.53142	3.33038	4.93176	2.24835	2.74422	2.87815
DCUN1D4	10.28025	15.1239	6.958125	8.93532	11.0518	8.66867	6.79371	13.64855	6.81774	10.67085	8.171095	6.89252	5.04978	2.477935	6.08612	10.51365	8.865075	4.48917	8.64484	11.8859	3.691615	8.761155	1.24688	3.69655	4.35191	3.95233	3.6126
DCUN1D5	3.393525	2.23137	1.143435	3.58188	3.715105	1.503135	2.14655	2.94892	3.67632	3.23498	2.67355	6.41379	4.065295	1.452175	1.87646	3.139235	3.206455	12.4967	3.39728	4.25898	3.73218	2.45997	1.35285	4.12163	2.64031	3.07765	2.67496
DCX	0.0018272	0	2.162045	0	0	0	0	0.01068745	0.016794855	0.188383	0.004074185	0.005883775	0.00197015	0	0.3556455	0.02503685	0	0.05393095	0.001626645	0	0.0098211	0	0.00974424	0.306978	0	0.344004	0.0230844
DCXR	33.74085	304.8515	16.65465	31.9298	18.3567	351.3525	87.73805	62.0023	36.94525	50.01655	26.09555	36.9501	48.4211	388.596	85.00535	30.681	53.5399	180.6305	21.1972	20.4911	87.0914	19.51265	93.371	92.1713	54.2182	291.449	59.827
DDA1	11.1723	7.256685	12.839	14.8935	10.7958	14.61895	13.67885	10.8152	11.4567	11.3457	13.49115	17.3621	12.52675	27.00015	9.487905	11.55875	10.97775	18.61155	11.80625	10.66205	13.3165	12.1002	22.4512	19.7882	12.0968	21.6566	12.895
DDAH1	5.0534	8.97318	2.744395	1.91718	1.801455	1.573985	2.0673	1.996115	2.31587	1.67658	5.2444	13.7823	2.653315	4.16883	0.8579305	9.891335	4.31235	0.855842	2.67051	0.7152215	1.15076	4.214385	3.67014	5.26758	10.4243	1.42617	2.69846
DDAH2	5.68233	4.438835	8.693095	4.49657	1.0022935	3.446295	4.52881	3.01247	1.73439	4.51323	7.76355	5.00524	4.42174	11.71095	3.70772	5.876255	12.4019	15.05625	1.94569	1.16518	3.66235	4.714645	4.18624	6.37975	2.40252	9.26122	4.17417
DDB1	55.4127	31.71945	73.4258	98.6638	104.8715	84.7468	33.5771	51.88055	50.64415	51.74215	49.5016	61.70905	59.09665	72.5724	55.88215	53.60445	28.9402	48.5315	74.08685	76.21775	51.26675	32.1815	38.6391	52.5633	74.3968	103.085	61.2615
DDB2	5.013725	11.57235	10.4854	9.805035	11.38915	44.1288	10.20425	16.4232	21.57095	5.930725	14.95905	6.866755	13.0418	18.16585	17.9441	18.47405	12.4625	5.785095	15.7928	14.55775	23.27635	10.66915	14.6052	12.6661	13.0229	40.4157	20.8238
DDC	0.0082624	3.976575	0.1061294	0	0.0086875	0	0	0.02245015	0.10810865	0.0159111	0	0.148494	0.040256	0.0987786	0	0.0094652	0.0115089	0	0.00952175	0.02132275	0.08338745	0.1802995	0	0	0	0	0.0575535
DDHD1	1.50096	1.72152	1.20163	1.491805	3.826295	1.40736	0.8284415	1.597645	1.33645	0.3899215	2.323685	1.89547	1.185355	0.9093965	2.51921	2.388955	2.78444	0.564781	1.73801	2.304795	1.23876	2.28011	0.65329	1.3078	1.21255	0.756664	3.04415
DDHD2	18.55355	14.39375	12.09585	12.2748	8.414755	11.9618	13.7287	9.79275	4.46615	7.421245	12.48045	7.058225	5.73558	4.42613	11.3416	13.82945	6.148135	5.385005	12.41445	17.30755	4.957125	6.057105	3.9728	5.93823	5.69002	7.91349	8.92993
DDI2	6.11293	4.894605	2.922045	3.458735	9.239775	0.974507	1.793555	1.20763	4.04363	4.57303	3.41725	2.288845	1.88748	0.485775	1.936065	3.0214	1.77789	0.255117	4.24346	5.703765	3.416405	3.28413	1.67245	2.2978	5.55495	0.8289	2.35126
DDIT3	26.54725	39.90605	18.48445	23.40645	16.59545	557.816	128.263	42.8923	49.8417	57.68925	37.02855	38.64345	76.18625	32.3314	26.0541	20.1047	105.1925	37.63975	19.21295	18.3389	17.19905	47.54315	89.9326	25.2006	18.4567	46.9953	19.4818
DDIT4	57.52545	96.95925	37.13915	43.59255	56.73995	78.21985	30.2422	35.7809	121.8245	75.10495	89.62785	82.0457	35.328	32.2516	75.7296	64.8638	119.3525	117.016	104.8585	66.87705	85.4081	55.3031	116.182	37.2445	47.4363	120.097	164.179
DDIT4L	0.753244	0.1128825	3.36087	0.0871545	2.4505	2.331745	2.80316	0.688307	0.741808	31.1081	1.823195	0.400864	0.8513295	2.419195	1.781775	4.05243	0.169938	0.2345875	0.213092	0.06755235	0.8470655	0.3187005	0.567058	0.823383	0.456089	0	0.0863894
DDO	1.0303905	2.53636	0.2330775	0.345761	0.4219845	0.066789	4.357785	5.153515	0.469202	0.336063	3.69191	1.82733	1.446765	0.1542035	0.72969	1.211525	0.914277	0.4322825	0.376285	0.220715	0.2166665	0.6144875	0.0598998	0.663026	0.57668	0.542649	1.27102
DDOST	190.8105	113.936	135.176	189.6855	147.3965	153.683	253.4425	161.7145	310.9555	213.075	219.233	196.2355	218.376	166.628	162.797	148.947	133.843	220.1215	161.36	161.145	131.7185	158.6755	457.284	158.861	227.53	146.846	122.368
DDR1	6.470725	5.630115	6.151765	18.81005	7.37981	1.771335	2.40554	2.68697	2.051455	2.317205	22.75055	0.4788225	6.262075	12.44385	1.191065	2.586025	2.96614	0.8439175	7.430435	9.740135	4.87267	1.302215	1.45957	1.5769	1.23299	0.576768	0.473315
DDR2	16.06405	41.49935	20.781	28.7014	7.034615	3.054925	7.294215	6.207135	15.0958	5.44691	31.35165	8.435795	3.124965	2.19049	7.888135	10.8121	6.09007	4.61656	17.9839	17.8169	1.49761	2.33751	1.96535	13.9217	9.26011	6.0251	3.06857
