Gene	Cancer.cells	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells
BUB1B	47.905	0.7605955	0.2718635	0.289218	0	0.0754685	1.084162	0.3806965	0.3169695	2.55737	0.106097
EZH2	35.8	9.3435685	19.06706	12.22997	6.192654	0.5601636	21.73962	11.20029	9.095596	29.63565	12.04698
CDKN3	71.05	0.6757215	2.1044069	1.11061	0.63781737	0.460869665	0.74033331	6.656054435	0.874908365	4.63324	1.1027505
PBK	43.66	0.07084105	0.0793269	0	0.0324302	0	0.393848	0.09532285	0.09787545	0.513512	0
DEPDC1	19.655	0.115438	0.26450619289	0.06397427537	0.0141321	0.0127427525335	0.13253977329	0.0940183	0.0453082	0.3282230111123	0.08724838951241
KIF2C	47.125	0.609781	0.517961	0.591184	0.2512235	0.06527225	1.4416735	0.99267005	0.554557	1.219265	0.2712499
ORC6	36.635	14.366895	4.370221	6.087119	8.9025555	8.5208485	17.062375	8.021518	10.140219	20.79638	15.125175
SPC24	21.865	0	0.381472	0.358754	0	0	1.114274	1.096728	0.584108	2.714048	0.06491
NDC80	30.88	2.8318	0.666398	0.205278	0.04590365	3.67898	3.89193	3.93353	3.01061	13.5688	0.1440405
TARS	169.895	14.279515	82.84605	35.6467	15.337305	1.598671	26.936405	12.47605	13.05211	22.57363	20.172785
NCAPG	24.905	0.4348763	0.760483	0.364696	0.2142825	0.131335	0.90662025	0.3838945	0.337348	1.31814	0.290835
PKMYT1	41.61	0.1810065	0	0.174531	0.0727878	0.9981405	2.0540255	0.827012	0.371463	1.537673	0.2628615
CDCA5	50.28	0.6495695	0.445148	0.761694	0.407443	0.4392545	3.395685	0.7903535	0.87739	1.31088	0.4609885
NEK2	32.63	3.032002	0.916651	0.5661525	2.4204385	2.634298	4.723202	2.156751	2.130882	6.362786	4.835985
SHMT2	195.635	100.37149	58.48139	43.5802	36.489965	0.2879395	32.867215	35.05141	19.202935	68.94305	45.435695
CHEK1	38.07	2.98804	2.456207	4.62255	1.6980866	1.238589	7.7175346568645	4.1317345	3.70714145	20.47527	2.78522395
NUF2	33.79	1.329048	0.318995	0.857256	0.390023	0.066738345	3.178439	1.379826	1.0190005	2.4477	0.6767005
SPC25	25.315	4.01352	1.54474	3.03308	1.709845	1.521485	6.37083	1.991725	2.32321	4.90657	3.63351
SPAG5	71.31	1.638915	7.46693	8.43554	1.755015	0.270761	4.18268	2.796865	2.99336	9.87751	2.40316
RACGAP1	78.915	2.9095415	8.14037	10.36826	2.6051105	0.799523	5.49668	3.8054795	2.51252	6.238111	2.8640995
NOP56	337.89	123.68835	31.94854	62.05678	41.965215	7.6130315	130.5611	118.39795	129.24215	110.2167	73.381965
SMC4	98.46	20.31479	21.58839	15.45493	9.927859	14.96574	31.42462	18.646515	15.830735	62.67214	21.11811
TRIP13	36.9	2.638924	0.7867542	0.817776	1.1350835	1.478195	4.442971	1.963789	2.8944915	3.533245	3.1478395
FANCA	33.235	13.91869	17.90228	5.74891	10.490263	17.34946	19.571175	3.596894	5.1937625	5.934458	21.09809
SKA3	17.875	0.17182	0	0.172791	0.03626735	0	0.5163515	0.193156	0.07111315	0.110173	0.1239495
RAD51	17.75	1.5508515	1.07862	1.213745	0.7126155	1.7276365	5.767137	2.156284	1.826399	5.58851	2.3750215
PSRC1	29.27	0.0645628	1.599686	1.324806	9.4638455	5.797748	1.7207745	0.47475155	0.5829238	0.4870741	4.3268725
ASF1B	47.575	1.64095	9.4856	3.90589	5.503135	39.41765	6.236535	1.82658	1.488325	3.07838	12.7246
DTL	21.55	0.229386	0.211635	0.114867	0	0	1.166533901355	0.317682	0.3074175	0.346295	0.149514
CCNA2	41.035	0.741366	0.77901	0.749221	0.397862	0.4979435	2.2169	1.336925	1.029565	1.66111	1.015539
WDHD1	17.925	1.443405	2.74757	1.918399	0.2858255	0.0288429	1.8443465	0.952115	0.87509455	1.621742	0.792298
SHCBP1	24.785	1.231315	0.516012	3.24739	1.63544	0.4868825	1.39582	0.6200725	0.581208	2.20086	3.916855
IQGAP3	22.125	0.0624849	1.14353	0.251369	0.0777186	0.0372516	0.1556684	0.1043511	0.03762905	0.41153	0.189229
CKAP2L	16.515	0.064529775	0.18693	0.116689	0.1102433	0.354263	1.169663829	0.22632335	0.3193355	0.472566	0.0734099
CENPI	11.13	0.3526167	0.635896	1.14499	0.1398715	0.02301885	0.964149	0.401467	0.267922000343717	0.502677	0.5326895
APTX	38.17	13.135085668795	20.5097763492	22.77228169699	12.730993911046	3.878050374317	20.099894410088	13.97648448765	14.8678330892471	25.190725	18.8872332189485
SAPCD2	22.69	0.454472	0.207416	1.59844	4.903455	0.5216905	0.8405795	0.5385705	0.6967335	0.698529	2.123675
MTHFD2	116.57	7.578574	326.5617	106.5528	39.059105	4.772575	30.27663	16.221425	16.89539	52.65747	60.15012
KIF11	23.715	1.7676615	1.747294	2.344209	0.9024505	0.63305935	2.7084295	1.3550975	0.989057	2.86492	1.9757145
FAM111B	11.79	19.14638	1.5405	1.66687	1.23544	1.86305	3.079834	1.4925685	1.450384	7.094183	1.97369
MCM10	12.98	0.2406968	0.2433655	0.1271699	0.1801174	0.17228745	0.969573	0.24896985	0.2892952	1.36533	0.29399445
FANCD2	27.045	33.69157	8.371517	7.275631	4.5757865	8.6946095	12.726165	13.013735	11.9748615	22.68098	9.100495
RFC5	35.225	8.849645	8.817432	8.83533	3.8807435	5.029108	13.1705	7.87083	7.18445	9.974965	7.9153385
KPNA2	238.955	21.7092	48.19784	37.4815	25.9625	1.3062785	52.409185	27.067675	56.660085	39.91429	27.6731
POLE2	15.34	0.935381	0.724202	1.37957	0.1306625	0	2.605515	0.738023	1.0809945	2.1242	0.598778
CENPW	43.3	3.330675	12.2047	10.1781	16.2899	0.543646	2.196265	2.45847	2.974905	2.4601211	9.07405
CLSPN	16.6	0.187461	0.670318	0.229307	0.1345165	0.3645305	1.52809	0.320278	0.2763805	0.453682	0.5656625
CDCA7	29.525	3.4350535	0.0927665	0.797347	0.795351	0.1818458	3.3248825	5.080413	3.7619505	8.611020160775	0.995713
IGF2BP3	28.015	2.260906	6.489542	1.328333	2.0008915	1.8974045	1.7986085	0.6953205	0.842718	2.664427	1.579018
ESPL1	15.9	0.19896215	3.979501	2.514666	0.256554	0.1845666	0.64488505	0.17089515	0.213006	1.49201	0.2861465
INCENP	37.035	7.722507	7.710295	10.94879	5.7222805	3.4619535	13.828045	7.486705	8.0609805	10.829	8.7749215
DEPDC1B	17.95	0.10779035	0.264458	1.05554	0.08559465	0.0740431	0.8397955	0.2528795	0.305545	0.327356	0.158952
GINS4	16.13	3.2183605	3.4946	2.703769	1.2895195	1.34728	5.27124	2.793625	3.0531285	5.890022	2.4408855
HELLS	23.57	1.748665	0.1335025	0.134433	0.05241984	0	1.915281	1.180428	1.596481	7.453727	0.36829185
PAICS	144.695	12.398755	8.73487	21.06869	5.875574	1.961593	10.34761	13.61732	9.928978	10.09459	14.6381
TTK	20.105	0.44143435	0.33903	0.565141	0.046256895	0	0.8860788	0.313489	0.2176198	0.506197	0.34243425
CDT1	20.875	1.27148	1.05158	1.65758	0.9793415	0.9813665	4.404405	2.161815	1.939965	4.07372	1.470925
EME1	16.355	1.5621345	2.471444	2.027666	0.864479755	0.1241678715	2.395557	0.946594	0.9964365	2.07023	1.06763294
CENPL	13.93	3.78285606	2.056876	2.163341	1.605829153195	1.03104498299036	5.52140300049298	2.696031	3.6156417	7.212926	2.5007865
CENPU	33.37	2.548016	4.399200227323	5.51123	1.761148	0.716056500946935	6.4698945501	2.3894301	2.649955	3.642735	6.53126000424121
PLK4	17.72	1.5340155	0.729798	1.32319	0.62248695	0.07695115	3.2765	1.745115	1.9957675	3.88887	1.1798375
RCC1	80.98	1.003904	0	1.535172	2.8961395	0	1.9207985	0.873366	0.95545	0.929882	2.51364
DDIAS	12.115	2.82085650042186	2.0022237034	5.200647	3.148363895	1.4816025	1.4384935	0.7262205	0.9942775	0.89388	4.117041216283
SPDL1	40.845	5.10291	4.378091	3.960253	1.4218015	0.333094	8.104727	4.327192	4.202139	5.971542	5.035082
TIMELESS	36.33	27.72679	5.78202	7.55072	3.870063	0.6616355	14.599895	5.2730615	4.1591405	2.60359	7.761659
MCM2	61.67	13.27631	4.65012	5.447704	0.9709866	0.6320081	16.25506	6.481032	7.4656975	11.6902	2.137995
NDC1	28.205	6.050206	12.61478	13.4497	4.8433715	0.181172	6.387992	5.3629895	4.2318755	9.15453	10.023485
CHEK2	18.005	13.984927	9.81737	17.090448	7.791476	2.1099575	11.496677	6.347528	5.185605	6.832253	15.397983
EXOSC2	51.85	26.3715	8.11624	11.32028	10.98262	2.099841	30.728695	23.49092	26.9099	33.35538	16.200565
BRCA1	19.67	1.9927629065819	2.81002353626	3.927247480646	2.27367686026124	6.01697195039698	4.25918837268463	0.9552925155951	1.2487202190134	1.3420940212398	2.8416418329617
STIL	11.875	1.124642	0.8558799	1.041605	0.9062105	0.5825505	1.6813735	0.95863015	0.91562945	5.77384	1.556896
RFC4	64.77	16.3568	14.6163	23.26093	3.9862655	1.4073495	21.885755	12.60376	14.091265	22.24134	11.494955
