	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
ATR	23.45	13.01	51.1	41.18	28.01	12.59	13.54	26.29	56.02	46.16	22.99	40.8	31.36	32.11	25.89	26.93	32.92	9.22	33.43	13.62	26.81	11.28	11.27	16.42
ATRAID	22.4	9.93	22.3	27.94	18.43	32.54	19.61	23.64	43.49	22.98	19.63	20.99	46.49	36.91	22.96	20.27	30.96	62.76	22.17	17.48	16.43	46.08	30.73	22.26
ATRIP	2.99	1.66	8.12	3.14	1.46	0.96	2.62	2.46	2.53	2.52	2.48	6.19	2.62	14.26	2.91	2.54	1	2.55	1.46	8.07	2.71	1.13	3.13	1.34
ATRN	9.67	3.88	13.7	15.28	5.88	8.76	5.41	5.96	7.17	8.46	2.7	8.2	10.25	14.03	7.62	8.81	9.49	6.2	8.67	22.81	7.54	6.22	8	4.18
ATRNL1	2.12	0.22	0	1.06	0	0	3.43	0.47	0	1.17	3.86	0.82	1.19	0	0.79	0	0.5	0	0.91	0	0.04	0	0.11	0.53
ATRX	56.4	52.1	50.72	71.14	50.48	45.67	42.97	67.29	35.11	63.09	51.89	71.67	29.45	44.59	42.72	58.31	39.99	20.99	58.99	25.86	40.55	40.74	24.97	25.62
ATXN1	43.54	28.5	99.37	161	83.44	37.66	46.99	50.77	32.66	22.91	34.52	58.76	45.26	8.91	89.64	52.99	19.09	28.45	64.8	118.92	51.16	28.44	58.78	24.85
ATXN10	35.01	19.93	27.53	45.54	20.83	35.98	29.45	32.29	44.85	32.94	24.6	32.36	13.06	57.35	30.29	23.92	19.67	22.64	29.85	27.11	35.75	40.21	32.21	14.72
ATXN2	59.18	62.91	91.25	122.3	72.74	116.53	138.11	53.18	93.73	134.64	126.53	80.27	122.3	77.56	68.85	58.22	93.29	133.37	54.45	94.1	49.96	87.54	187.09	50.48
ATXN2L	109.77	66.69	79.37	102.76	74.16	191.85	164.94	58.52	71.35	68.51	114.23	76.15	177.32	63.06	54.86	81.14	106.1	123.29	47.06	110.86	45.9	426.21	357.05	46.56
ATXN3	14.71	10.5	35.95	55.6	20.3	13.94	15.85	13.49	12.18	18.48	6.38	23.7	17.24	64	15.97	14.2	7.65	14.77	22.44	7.98	19.16	16.59	12.57	9.89
ATXN3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN7	77.93	30.16	29.96	57.5	26.19	89.63	93.53	39.44	45.09	34.73	19.42	65.03	31.49	59.62	43.49	40.65	22.65	117.59	33.18	45.31	18.46	72.32	136.39	22.96
ATXN7L1	15.16	13.28	7.38	23.06	3.95	27.18	32.65	7.59	9.46	6.65	6.86	13.55	8.84	15.3	11.85	13.42	12.36	10.7	9.13	35.55	17.07	13.22	53.99	3.49
ATXN7L2	3.36	1.43	1.32	5.12	0.33	4.68	4.53	2.57	0.44	0.83	2.08	1.1	1.84	0.1	2.05	0.35	0.98	0.74	1.72	2.49	0.95	2.06	6.02	0.44
ATXN7L3	33.68	13.27	34.67	33.33	15.59	35.73	40.3	19.79	21.35	29.43	29.41	20.58	29.13	20.45	26.44	25.26	27.27	68.2	19.52	15.96	33.06	45.33	41.31	28.12
ATXN8OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUH	7.68	10.21	10.74	12.54	10.89	10.58	13.38	10.75	17.27	10.44	4.34	19.66	10.54	6.37	14.66	12.15	4	10.59	5.99	11.82	6.38	6.72	9.09	12.5
AUNIP	1.06	1.39	2.72	0.69	0	0.44	1.24	3.5	1.97	1.48	0.56	0.51	2.83	8.41	1.11	1.54	2.65	0	1.56	15.29	0.36	1.88	0.54	3.29
AUP1	48.34	38.79	41.4	65.76	17.83	56.91	43.09	23.75	39.27	29.3	16.77	35.83	50.62	48.18	48.34	39.75	49.94	58.39	16.88	59.89	39.67	35.25	82.26	33.14
AURKA	5.1	4.46	19.2	1.7	1.27	4.31	10.53	5.37	3.98	9.2	14.6	3.48	11.21	33.19	3.92	3.02	6.93	9.38	3.32	34.07	4.86	17.03	7.11	14.34
AURKAIP1	12.99	6.93	10.8	10.64	2.33	16.48	22.34	8.64	15.97	8.91	8.08	11	4.61	12.02	8.13	13.47	10.8	30.33	5.87	21.15	17.21	6.09	12.01	28.04
AURKAP1	6.98	0	0	0	0	6.88	0	1.52	1.45	1.88	0	1.6	0.46	0	1.19	0	0.86	0	0	2.1	2.48	4.56	0.18	2.77
AURKB	7.01	5.59	39.29	2.2	0	12.44	19.33	5.4	9.26	4.74	12.65	7.81	16.95	35.37	3.28	3.84	9.57	9.56	2.62	56.05	12.67	68.48	10.08	12.96
AURKC	1.51	1.48	1.24	0.46	0	4.54	0.33	3.09	0	0	3.48	1.21	5.05	2.12	0	0.9	1.36	1.1	0.44	3.82	3.24	19.5	7.04	1.68
AUTS2	106.57	40.99	14.15	72.63	76.26	84.54	174.23	33.98	4.15	42.18	20.07	122.41	20.35	9.75	80.79	133.98	33.86	180.48	89.79	68.88	40.55	78.32	162.35	6.85
AVEN	1.68	5.34	13.14	4.54	2.45	4.97	3.27	2.93	1	2.59	1.84	6.11	1.24	4.44	3.46	2.8	7.64	2.17	1.76	2.82	5.63	0.83	8.69	1.99
AVIL	27.46	9.75	5.47	21.68	29.95	3.43	14.21	5.14	3.31	9.61	4.53	17.29	4.31	2.01	8.86	4.11	4.4	2.22	5.48	6.66	8.94	0.92	31.92	1.03
AVL9	27.32	14.32	30.23	44.34	21	30.19	24.07	21.62	17.01	21.42	14.98	27.59	24.13	38.33	21.27	17.35	21.21	21.94	26.29	27.77	16.15	41.27	27.68	26.45
AVP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVPI1	1.36	22.28	1.18	3.83	0	12.15	2.77	1.36	29.34	2.73	0.89	7.21	2.5	6.03	2.78	6.43	12.29	7.84	2.97	4.54	6.49	17.89	6.3	2.18
AVPR1A	1.55	0.55	1.95	5.94	0	1.03	0.59	0.35	0.71	1.25	5.19	2.79	0	1.08	0.9	0.07	0.35	0.28	3.65	3.65	2.13	0	4.6	0
AVPR1B	0	0	0	0	0.11	1.24	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVPR2	0.72	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AWAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AWAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AXDND1	0.96	0	0	1.51	0	2.24	0	0.78	0.42	1.83	0	1.65	4.21	0.24	1.79	0	0	0	0	0	3.07	0	3.08	1.82
AXIN1	10.17	5.05	4.54	8.52	1.68	17.65	18.69	4.7	7.81	3.52	4.54	4.61	9.9	10.47	9.62	6.03	5.78	11.49	3.11	8.28	6.58	6.01	12.03	5.27
AXIN2	11.08	4.09	2.51	22.81	100.07	15.65	8.51	8.37	26.77	2.14	6.12	5.99	3.2	15.92	24.63	4.89	75.49	9.15	15.83	0.54	13.45	4.48	21.83	0.62
AXL	13.52	13.07	11.19	12.83	4.5	15.66	16.91	8.77	2.21	3.08	1.81	13.98	10.52	2.79	5.9	4.61	5.85	21.34	5.33	1.55	20.85	11.79	46.4	7.92
AZGP1	0	0	13.92	4.53	0	25.59	0	3.62	0.72	1.55	60.58	0	8.75	0	0	0.68	5.19	5.33	0.56	0	19.41	7.39	3.97	28.83
AZI2	9.42	20.95	11.89	19.42	35.1	18.86	17.7	24.11	33.06	21.27	4.93	43.05	7.56	52.28	24.57	13.47	5.61	13.13	16.8	28.04	31.85	18.19	26.74	22.97
AZIN1	49.65	21.67	71.02	37.79	13.13	56.87	73.03	66.26	44.35	44.11	93.49	57.38	29.76	101.18	50.27	97.38	61.8	37.29	64.03	41.99	41.44	155.19	70.37	51.28
AZIN2	9.14	12.38	1.62	9.21	2.59	10.92	16.07	5.21	1.71	1.52	23.14	8.25	4.58	0.64	1.48	4.36	3	12.48	5.45	11.15	15.71	8.1	27.61	1.71
AZU1	0.27	0	0.31	0.43	0	0.72	0.31	0	0	0	0.7	0	0	0	0	0	0	0	0.68	0.45	0	0	0	0
B2M	1412.49	357.02	923.31	1104.49	335.49	960.19	319.58	1411.43	687.89	1110.22	124.62	1512.46	280.42	1587.24	1492.55	1154.76	696.94	470.63	741.75	336.1	412.76	315.66	437.05	658.08
B3GALNT1	0.75	2.32	4.04	8.19	3.58	9.92	3.72	3.1	0	3.74	2.24	9.47	10.94	4.08	2.97	3.93	7.15	4.01	5.19	18.63	4.56	7.79	1.88	4.7
B3GALNT2	12.79	12.86	31.44	23.43	17.13	18.87	7.9	11.91	21.04	37.1	15.58	19.15	14.26	14.84	30.01	28.59	40.85	4.68	12.03	26.89	17.54	22.77	14.34	4.33
B3GALT2	0.25	0	0	0	0.15	2.3	0.14	0.2	0	0.71	3.92	0	0	2.2	0.41	0.34	0.12	0.32	0.62	0	0.21	1.84	0	0
B3GALT4	2.14	1.09	1.56	6.07	0	5.7	2.19	1.08	0	1.54	1.06	1.8	2.38	0.96	4.53	2.62	1.28	2.77	1.93	0	2.11	3.16	2.49	2.24
B3GALT5	0	0.43	0.27	5.94	0	17.34	1.23	0.13	0.03	0.07	0.04	0.05	2.78	0	0.13	0.06	0.58	0	0.08	3.5	1.47	34.08	30.17	0
B3GALT5-AS1	0	0	0	0.67	0	0.99	0	0.11	0	0.59	0	0	2.09	0	0	0	0	0	0	0.48	0.12	0.42	2.74	0
B3GALT6	12.25	2.72	5.52	8.18	3.14	6.92	11.01	5.47	5.05	5.81	2.5	3.15	6.31	5.46	7.42	4.3	3.94	15.32	1.79	12.18	3.99	10.77	7.82	8.73
B3GAT1	0.72	0.35	0.08	0.23	0	2.34	9.93	2.17	1.11	2.35	0	0	0.67	0	0.67	16.38	0.07	5.18	1	0.34	0	5.67	1.56	0.08
B3GAT2	0	0	0.1	0.13	0.1	0	0	0.07	0	0.29	0.11	0	0.12	0.08	0.07	0.08	0.06	0.17	0	0.14	0.07	0	0	0
B3GAT3	8.92	2.59	5.42	6.23	2.53	13.05	12.98	4.29	6.5	3.02	6.09	3.56	12.02	1.99	5.18	6.58	4.22	6.39	3.56	8.59	6.3	14.06	10.63	9.2
B3GLCT	1.54	2.39	2.28	5.82	1.46	1.24	2.64	0.83	1.65	2.14	1.64	2.95	1.38	0.41	1.54	1.13	3.46	0.27	4.03	0.35	2.97	0	1.12	0.27
B3GNT2	9.1	6.44	7.49	11.43	5.57	6.82	3.17	6.11	10.13	6.82	3.6	10.74	4.32	8.25	8.61	4.81	8.32	5.41	8.27	6.73	7.09	2.17	6.21	2.59
B3GNT3	3.12	4.19	11.48	7.47	1.5	55.1	13.5	1.72	7.62	4.36	5.51	4.16	6.94	9.2	3.2	11.82	1.9	23.83	1.56	14.62	5.13	91.77	77.94	8.06
B3GNT4	2.4	0.63	1.25	0	0	0.43	0.56	0.66	0.79	1.4	1.21	0	1.33	1	0.4	0.15	0.15	2.52	0	1.43	0.14	1.91	0.25	0.49
B3GNT5	9.69	16.97	76.8	9.54	11.41	8.71	15.58	16.32	26.11	17.74	5.77	17.18	2.43	10.82	3.3	16.43	12.68	15.12	7.37	26.01	22	3.16	9.67	86.05
B3GNT6	0	0.58	0.21	0.86	1.33	10.16	3.93	1	0	0	0.23	0.76	0.26	0	1.17	1.13	0	0	0.22	0.3	9.57	0	1.58	7.09
B3GNT7	29.93	0.51	20.84	3.01	0.77	8.72	16.26	7.87	0.85	3.27	0.16	3.18	1.84	6.86	37.64	4.06	4.05	6.6	3.23	19.92	1.57	42.33	10.55	3.71
B3GNT9	4.25	2.82	1.53	9.04	3.27	8.5	2.1	3.04	3.07	3.21	1.3	8.88	1.46	1.62	4.19	8.06	5.2	11.89	5.16	1.1	4.28	5.35	17.03	2.85
B3GNTL1	8.12	6.34	8.14	11.73	3.79	19.34	8.33	8.02	14.96	7.82	16.79	5.65	4.73	9.16	9.52	5.35	3.54	6.86	5.82	4.07	6.38	5.15	18.19	5.26
B4GALNT1	4.77	2.9	2.58	3.25	0.2	0.43	4.02	0.91	0.32	3.03	1.94	3.28	9.16	6.98	0.78	0.57	4.13	0	1.28	2.2	1.55	5.09	3.84	0.76
B4GALNT2	0	0.29	2.21	0.32	0.12	12.82	0.11	0.2	1.16	0.06	10.2	0.76	0.44	0.2	0.33	0.27	0.14	2.15	0.06	0.42	0	17.42	2.8	0.48
B4GALT1	25.36	53.98	44.88	144.44	45.64	50.15	59.46	46.15	95.07	71.24	125.07	96.09	49.87	50.2	19.83	65.18	47.5	163.66	27.2	71.05	42.78	47.84	64.16	73.22
B4GALT2	7.82	3.69	13.6	7.26	5.08	16.17	21.25	9.54	14.84	8.17	11.02	5.58	6.35	6.96	7.6	14.43	9.5	27.4	2.91	40.83	9.2	22.33	43.77	25.98
B4GALT3	31.89	9.49	22.81	17.51	4.34	17.92	17.92	11.75	13.57	20.68	8.35	21.48	16.54	32.73	17.55	24.12	21.54	36.29	12.74	42.72	11.32	18.55	26.39	19.33
B4GALT4	7.84	20.89	4.65	24.04	7.71	20.35	7.3	7.53	19.05	11.48	18.24	20.25	12.28	36.46	8.19	11.2	13.12	10.94	7.33	30.22	9.89	23.62	24.32	10.92
B4GALT5	26.77	7.11	44.65	18.19	13.76	21.74	53.17	21.53	11.92	18.48	32.8	17.17	28.94	60.08	15.79	28.15	27.61	16.58	16.1	43.08	10.03	27.93	33.9	26.57
B4GALT6	0.38	3.14	5.25	3.19	3.46	1.19	3.8	2.76	1.98	2.65	1.44	2.44	2.83	2.77	0.16	0.38	1.97	0	0.62	11.65	2.47	6.97	0.87	1.25
B4GALT7	17.71	6.95	4.35	15	12.91	23.19	31.31	7.63	5.67	10.69	15.13	11.3	14.07	3.43	11.6	6.29	14.72	12.7	17.12	29.13	5.61	50.85	32.1	20.24
B4GAT1	1.79	0.55	4.97	2.55	3.35	1.79	2.09	1.81	0.8	3.1	0.89	2.88	2	9.78	3.33	1.22	1.29	1.45	3.39	7.16	0.38	3.32	1.39	1.45
B9D1	7.48	0.72	11.47	6.09	4.6	21.55	8.89	5.15	5.28	5.86	7.49	6.01	24.85	5.44	6.16	10.73	10.85	8.34	8.58	12.68	4.59	1.86	19.99	4.59
B9D2	1.93	0.86	0	1.55	0	3.83	0	0	0.43	2.37	0	4.03	0.86	0.47	0	1.05	0.91	1.79	0	2.39	3.81	5.59	2.23	0.62
BAALC	0.33	1.82	0.19	0.53	1.44	6.51	32.34	1.85	0.44	15.13	33.92	9.1	2.75	0.16	2.06	0	2.35	6.03	0.42	0	0	3.26	7.37	0.11
BAALC-AS2	0	0	0	0	0	0	0	0	0	0	1.78	0	0	0	0	0	0	0	0	0	0	0	0	0
BAAT	3.75	0	0	0	0.16	0	1.36	0.73	0	0.46	0.17	0	0.39	0	4.72	0.12	0	0	0	20.52	0	0	0	0.13
BABAM1	32.32	19.68	32.28	32.28	17.45	45.51	40.68	37.11	33.08	27.5	20.63	31.22	61.42	36.53	11.94	19.43	22.71	39.62	21.87	48.66	17.31	20.48	30.07	22.54
BABAM2	38.1	24.21	18.77	42.9	18.63	70.85	51.6	28.81	29.95	17.19	17.11	34.27	32.53	35.15	28.51	22.64	27.35	54.48	22.07	20.83	18.67	40.77	33.34	20.03
BACE1	7.33	3.44	3.38	16.33	8.05	11.08	14.13	6.47	0.89	3.77	1.12	14.6	1.75	6.54	6.24	5.52	5.91	9.44	11.81	12.66	10.29	12.31	23.18	2.94
BACE2	19.75	33.05	29.86	19.38	0.6	149.87	10.97	8.96	41.58	13.54	17.52	36.09	7.32	5.59	7.37	6.49	74.1	29.71	5.37	9.75	45.84	11.45	45.58	6.76
BACH1	21.96	29.87	33.71	59.92	14.83	20.9	19.4	28.81	24.47	21.06	20.68	54.34	23.83	34.94	43.35	32.48	11.35	6.31	26.41	38.09	38.59	8.95	23.29	17.73
BACH1-IT3	0	4.64	1.67	9.68	1.83	2.01	5.42	3.51	1.39	1.78	3.75	8.44	0	1.49	2.45	0	0	0	0	5.04	0	0	0	0.97
BACH2	21.35	2.26	1.67	13.73	0	8.55	0.44	3.34	0	2.02	0.44	7	0.21	0.42	1.37	1	0.34	5.56	5.1	0.08	5.67	13.78	12.79	4.38
BAD	17.17	2.47	6.92	6.82	3.65	12.25	16.02	6.27	6.55	5.84	4.1	3.54	10.19	12.75	6.43	10.41	6.49	18.98	3.08	9.73	7.72	9.18	28.69	4.7
BAG1	14.07	28.94	18.67	67.09	14.6	137.29	46.84	31.41	29.22	35.42	48.02	21.55	12.48	17.99	29.47	49.71	43.82	105.29	9.69	21.57	33.6	13.94	22.83	27.94
BAG2	1.29	3.68	5.54	3.57	2.67	0.95	0.68	2.09	4.71	3.87	2.84	7.3	2.98	1.15	1.66	2.95	3.93	0.92	2.29	5.87	4.22	0	4.21	0.46
BAG3	20.42	4.53	27.22	9.52	1.51	26.4	41.48	6.13	11.69	11.53	9.59	15.35	1.79	14.66	8.54	26.44	20.4	35.73	4.35	6.78	11.78	6.66	43.31	33.33
BAG4	9.94	5.49	5.34	15.59	13.59	12.66	10.33	5.61	12.63	9.94	8.39	12.28	6.61	21.79	4.74	15.98	7.49	10.57	5.49	13.83	7.19	3.44	21.36	8.18
BAG5	13.84	4.38	31.08	20.57	8.84	14.9	9.67	17.63	13.99	18.41	7.31	9.44	8.37	36.04	10.61	7.67	10.57	12.54	10.31	9.05	12.19	6.58	8.11	9.18
BAG6	75.49	33.19	73.87	105.29	28.52	109.45	108.73	70.59	88.91	40.83	31.55	49.08	77.71	51.96	71.13	72.05	59.53	155.54	38.99	108.99	63.18	138.08	134.35	73.03
BAGE2	0	0	0	0	0	0	0	0	0	0	0	0	13.96	0	0.48	0.51	0	0	0	1.75	0.22	0	0	0
BAHCC1	6.59	4.96	5.26	9.9	1.03	13.14	13.57	2.92	0.6	4.82	0.44	2.77	3.76	1.54	8.76	4.33	5.48	30.02	4.94	2.18	3.48	7.91	7.18	5.03
BAHD1	10.17	2.66	4.01	10.05	2.22	10.62	31.49	5.97	0.48	5.34	5.96	5.45	5.24	4.68	5.53	7.72	8.39	3.43	5.58	8.86	5.77	4.38	11.58	9.88
BAIAP2	16.7	10.89	27.45	46.62	32.4	115.68	72.57	36.83	59.09	27.44	9.39	26.14	7.55	29.37	39.62	15.89	7.46	19.59	23.17	3.44	18.87	29.21	91.75	51.63
BAIAP2L1	18.79	28.47	41.68	25.91	9.95	52.66	94.11	21.96	36.4	5.53	45.33	10.85	38.39	47.07	25.47	27	7.24	26.18	10.1	61.35	24.98	50.87	69.61	57.96
BAIAP2L2	1.38	1.63	0.25	1.06	0	49.48	3.96	0	0.74	1.52	0	0.31	3.75	1.31	0.17	0.38	2.92	0	0.27	13.43	2.58	1.93	27.25	1.8
BAIAP3	0.94	0.88	3.78	7.98	1.04	15.16	2.75	1.2	1.72	3.97	3.61	1.56	9.16	3.21	1.23	1.15	0.18	22.99	2.9	0.55	4.13	7.33	5.8	3.49
BAK1	5.28	5.06	5.78	8.19	2.57	4.4	11.58	5.32	3.14	4.76	1.39	7.13	4.59	5.73	9.19	5.63	5.33	15.25	3.62	10.53	4.52	7.48	10.89	7.53
BAMBI	2.16	12.29	1.57	3.5	6.25	1.44	3.03	34.58	0	1.38	0.36	3.37	2	4.01	2.89	0.87	14.74	0.7	56.2	15.95	7.46	0	2.09	0.52
BANF1	111.46	20.03	120.79	78.14	38.57	128.77	105.99	51.53	58.91	74.03	187.66	51.64	277.71	87.05	36.61	99.61	238.78	211.3	51.57	268.72	50.83	656.68	109.69	56.31
BANF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02	0	0	0	0
BANK1	29.04	1.12	1.68	28.49	0.87	3.04	2.48	6.26	2.59	1.31	2.89	0.88	3.64	2.6	9.8	2.95	0.2	3.23	8.29	0	1.88	0	3.29	0.69
BANP	20.91	20.4	17.49	18.19	5.06	13.83	13.66	15.51	8.86	21.34	18.25	14.34	18.63	24.54	32.2	9.43	19.78	22.71	19.55	31.77	12.05	29.66	31.99	10.6
BAP1	18.41	11.12	8.75	14.24	7.92	19.59	29.95	16.75	12.98	15.93	13.25	9.12	20.89	13.49	10.14	16.62	13.43	32	7.38	26.41	8.44	30.14	23.11	17.69
BARD1	5.97	3.7	12.83	8.86	7.61	2.59	3.45	5.28	12.73	6.32	3.03	5.25	7.71	21.74	6.28	12.67	5.38	3.48	3.02	7.86	7.6	0	1.51	7.45
BARHL1	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX1	0	0	0	0	0	2.35	4.54	0	43.79	7.74	4.16	0	0	0	0	0	6.37	23.41	0.44	0	0.59	0	0.55	0
BARX2	0	0	3.54	0.38	0	9.26	4.2	0.76	1.88	0	0.94	0.34	0	0	0.94	2.94	0.68	7.97	0.6	0.4	1.35	11.61	1.47	2.91
BASP1	20.31	17.83	32.54	36.66	11.6	21.97	10.57	9.7	23.95	4.61	361	46.61	21.29	97.65	18.47	7.98	47.06	31.61	6.36	6.75	23.17	28.58	43.6	11.14
BATF	7.25	1.55	5.08	10.02	0	4.69	3.81	0	2.38	3.06	0	0	0	1.05	3.04	2.78	1.62	2.03	1.32	3.13	6.58	0	2.67	6.5
BATF2	1.13	1.66	0.81	0.38	0	3.68	3.6	1.86	0.41	0	0.61	0.56	1.5	0	4.35	1.45	1.11	5.64	0.55	1.21	0.77	2.74	0.59	1.76
BATF3	3.85	3.99	5.51	5.83	0.47	0.25	28.11	3.71	1.6	0.22	0.5	2.97	4.67	1.5	0.62	1.2	1.09	0	1.66	0	0.75	0	2.64	1.37
BAX	33.31	18	19.88	35.23	13.9	59.02	69.88	12.71	11.59	22.13	17.75	29.95	38.45	24.72	11.12	23.11	26.69	52.61	19.08	24.26	41.14	37.85	127.37	28.07
BAZ1A	31.35	17.99	63.1	49.04	15.3	21.32	15.15	37.72	27.5	40.32	16.61	21.49	8.7	66.66	35.17	28.02	14.82	11.47	24.64	29.95	26.91	27.84	8.29	16.15
BAZ1B	24.36	16.2	29.84	32.56	5.82	22.77	32.17	23.2	28.22	27.5	11.69	25.58	12.57	46.41	37.31	37.42	16.83	17.62	24.15	29.39	23.2	9.47	25.04	35.6
BAZ2A	99.51	51.71	107.24	122.43	167.5	116.73	134.91	39.72	57.42	89.47	115.67	59.95	175.32	128.3	73.43	58.95	58.52	88.78	41.87	79.6	41.09	241.81	163.26	50.16
BAZ2B	42	44.2	62.67	159.95	42.7	62.27	51.2	45.77	39.33	52.81	40.95	83.28	29.38	17.27	97.69	30.35	50.33	24.12	58.43	21.34	69.25	37.82	64.77	18.22
BBC3	3.73	1.36	3.61	2.93	2.58	11.91	5.39	0.87	2.58	1.83	1.64	4.14	2.64	1.91	3.46	3.86	2.17	1.28	4.62	3.82	2.47	1.47	8.62	5.02
BBIP1	14.63	6.2	10.11	22	3.08	12.25	7.79	14.11	12.14	13.52	8.62	17.56	22.17	4.82	16.19	11.63	22.56	4.81	16.66	6.15	8.5	11.31	7.02	2.55
BBOF1	4.13	1.05	10.43	2.53	3.12	11.98	1.31	3.56	9.51	12.78	0	8.9	1.05	5.37	6	5.04	3.53	4.03	6.44	5.01	5.21	0	5.82	4.4
BBOX1	0	0	0	0	0	3.75	0	0	0	0.3	0	0	0.42	0	0	0	0	1.11	0.36	0	1	0	0	0
BBS1	34.63	13.81	41.66	30.8	27.38	40.1	35.49	18.52	39.31	22.82	13	27.87	31.33	8.6	24.76	17.52	18.16	33.45	21.64	16.66	19.49	39.29	57.5	15.6
BBS10	1.59	1.41	5.31	4.78	3.52	0.98	1.14	4.46	15.71	8.32	2.11	5.42	5.1	2.19	5.67	2.01	5.67	0.48	3.71	4.12	5.08	4.38	0.95	3.4
BBS12	0.54	0.22	1.39	3.6	0.85	0.85	0.79	1.64	1.71	1.31	0.54	1.16	0.4	1.21	0.78	0.62	0.52	0.18	1.39	0.46	0.69	0	1.47	0.87
BBS2	27.32	15.39	33.02	40.32	28.28	25.37	43.78	21.55	26.86	24.88	20.95	22.98	21.73	18.31	18.02	26.15	14.22	12.38	35.56	14.15	22.29	28.44	25.56	28.43
BBS4	17.62	13.07	4.62	25.77	14.55	7.71	6.2	13.63	8.26	9.98	22.78	26.2	45.98	7.22	11.47	5.36	21.36	1.65	11.16	8.22	18.83	13.57	10.5	10.77
BBS5	1.74	2.82	3.8	10.44	4.96	8.35	3.46	7.27	1.48	2.67	2.09	17.94	11.42	3.54	6.75	5.65	3.26	1.48	3.69	0.83	4.47	1.94	4.94	3.39
BBS7	3.81	7.81	6.21	5.4	5.97	4.14	4.49	3.14	2.87	3.11	3.07	8.29	3.47	7.47	2.96	1.69	3.78	1.34	1.58	2.43	4.66	1.03	2.95	7.67
BBS9	19.95	15.24	13.22	51.5	21.36	28.49	19.94	15.07	9.94	14.33	7.07	29.59	13.01	14.68	15.24	9.7	7.21	14.41	22.01	5.49	11.24	49.3	34.99	14.8
BBX	28.62	11.17	58	51.31	35.03	23.17	30.12	22.93	30.2	13.73	10.91	38.35	13.46	51.05	23.4	13.5	19.1	16.17	26.87	6.25	17.58	6.32	30.92	22.87
BCAM	60.3	4.79	2.55	19.16	19.09	61.69	20.07	17.1	20.05	3.55	13.38	6.26	29.8	56.2	17.35	39.26	16.73	224.84	25.89	64.65	24.81	80.29	24.93	5.41
BCAN	0	0.2	0	0	0	0	1.61	0	0	0.76	1.17	0	8	0	0	0.54	1.03	0	0	0.29	0.56	0	1.39	0
BCAP29	14.47	21.51	27.29	15.39	10.92	14.81	20.88	13.97	20.2	14.33	16	35.07	11.88	17.11	25.62	17.23	9.26	7.84	21.37	20.06	16.71	8.22	12.28	16.51
BCAP31	51.39	14.73	77.13	44.72	27.83	98.72	101.58	31.56	18.29	36.65	73.35	23.18	61.63	37.09	28.61	66.02	95.16	72.37	20.81	75	41.41	85.9	75.18	76.1
BCAR1	17.94	35.74	31.08	55.87	4.45	107.36	39.07	8.07	12.56	10.35	19.81	19.49	40.67	14.08	13.17	30	39.97	42.35	11.53	92.32	26.83	88.94	257.33	11.2
BCAR3	6.27	10.79	20.18	20.88	1.35	9.74	16.76	5.89	6.45	1.44	2.34	5.63	2.52	13.49	3.34	8.15	3.69	5.9	2.4	19.08	6.11	3.87	51.06	9.77
BCAS1	0.58	2.46	1.72	7.84	0	66.34	38.07	0.88	0.94	7.07	13.78	4.88	10.51	0.07	1.07	1.38	7.82	3.97	2.45	1	35.44	11.48	16.23	0
BCAS2	8.11	5.79	10.94	8	1.38	7.82	3.44	14.73	16.45	18.26	6.41	8.36	5.97	20.09	9.98	10.09	3.17	5.21	4.43	14.36	7.35	8.02	4.56	19.35
BCAS3	28.68	33.7	53	111.4	37.94	34.47	23.5	41.67	29.5	22.08	28.17	34.59	45.19	30.72	62.51	33.24	38.42	36.76	42.54	19.94	29.61	33.16	25.83	15.33
BCAS4	13.02	2.11	3.07	6.1	2.58	7.09	1.81	3.37	0.29	2.88	1.77	1.95	3.48	5.36	10.79	5.3	1.29	2.78	11.08	4.57	1.12	15.38	4.04	3.09
BCAT1	6.14	3.65	7.62	9.2	91.77	6.93	9.15	38.94	2.39	7.89	16.25	15.7	3.56	92.89	3.22	10.13	8.17	18.23	3.45	3.01	16.24	3.01	32.24	5.39
BCAT2	16.72	5.78	8.99	13.85	8.04	20.63	22.31	3.82	4.16	9.97	8.29	8.67	17.27	27.42	9.97	11.94	6.45	18.74	10.37	8.83	11.7	25.91	20.19	4.11
